"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Azilsartan Medoxomil","52536-004-03","40 mg/1","TABLET","ORAL","NDA200796","Wilshire Pharmaceuticals, Inc.","52536-004","Azilsartan kamedoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","04/27/2026","N/A","NDA","30 TABLET in 1 BOTTLE (52536-004-03)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Azilsartan Medoxomil","52536-008-03","80 mg/1","TABLET","ORAL","NDA200796","Wilshire Pharmaceuticals, Inc.","52536-008","Azilsartan kamedoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","04/27/2026","N/A","NDA","30 TABLET in 1 BOTTLE (52536-008-03)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Azilsartan medoxomil","70748-236-06","40 mg/1","TABLET","ORAL","ANDA214489","Lupin Pharmaceuticals, Inc.","70748-236","Azilsartan medoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","05/14/2026","N/A","ANDA","30 TABLET in 1 BOTTLE (70748-236-06)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Azilsartan medoxomil","70748-237-06","80 mg/1","TABLET","ORAL","ANDA214489","Lupin Pharmaceuticals, Inc.","70748-237","Azilsartan medoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","05/14/2026","N/A","ANDA","30 TABLET in 1 BOTTLE (70748-237-06)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Edarbi","60631-040-77","40 mg/1","TABLET","ORAL","NDA200796","Azurity Pharmaceuticals, Inc.","60631-040","Azilsartan kamedoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","02/01/2017","N/A","NDA","7 TABLET in 1 BOTTLE (60631-040-77)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2026"
"Edarbi","60631-040-30","40 mg/1","TABLET","ORAL","NDA200796","Azurity Pharmaceuticals, Inc.","60631-040","Azilsartan kamedoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","02/01/2013","N/A","NDA","30 TABLET in 1 BOTTLE (60631-040-30)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2026"
"Edarbi","60631-080-30","80 mg/1","TABLET","ORAL","NDA200796","Azurity Pharmaceuticals, Inc.","60631-080","Azilsartan kamedoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","02/01/2013","N/A","NDA","30 TABLET in 1 BOTTLE (60631-080-30)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2026"
"Edarbi","60631-080-77","80 mg/1","TABLET","ORAL","NDA200796","Azurity Pharmaceuticals, Inc.","60631-080","Azilsartan kamedoxomil","AZILSARTAN KAMEDOXOMIL","HUMAN PRESCRIPTION DRUG","02/01/2017","N/A","NDA","7 TABLET in 1 BOTTLE (60631-080-77)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2026"
"Edarbyclor","60631-412-30","40 mg/1,                         12.5  mg/1","TABLET","ORAL","NDA202331","Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)","60631-412","Azilsartan kamedoxomil and chlorthalidone","AZILSARTAN KAMEDOXOMIL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","02/01/2013","N/A","NDA","30 TABLET in 1 BOTTLE (60631-412-30)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC]","N/A","No","12/31/2026"
"Edarbyclor","60631-425-30","40 mg/1,                         25  mg/1","TABLET","ORAL","NDA202331","Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)","60631-425","Azilsartan kamedoxomil and chlorthalidone","AZILSARTAN KAMEDOXOMIL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","02/01/2013","N/A","NDA","30 TABLET in 1 BOTTLE (60631-425-30)","Angiotensin 2 Receptor Blocker [EPC],  Angiotensin 2 Type 1 Receptor Antagonists [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC]","N/A","No","12/31/2026"
