"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Isosorbide Mononitrate","0228-2620-11","20 mg/1","TABLET","ORAL","ANDA075037","Actavis Pharma, Inc.","0228-2620","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","10/30/1998","04/30/2027","ANDA","100 TABLET in 1 BOTTLE (0228-2620-11)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","N/A"
"Isosorbide Mononitrate","0228-2631-11","10 mg/1","TABLET","ORAL","ANDA075037","Actavis Pharma, Inc.","0228-2631","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","10/30/1998","02/28/2027","ANDA","100 TABLET in 1 BOTTLE (0228-2631-11)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","N/A"
"ISOSORBIDE MONONITRATE","0615-7767-05","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200270","NCS HealthCare of KY, LLC dba Vangard Labs","0615-7767","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","02/02/2022","N/A","ANDA","15 TABLET, EXTENDED RELEASE in 1 BLISTER PACK (0615-7767-05)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
"ISOSORBIDE MONONITRATE","0615-7767-39","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200270","NCS HealthCare of KY, LLC dba Vangard Labs","0615-7767","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","02/02/2022","N/A","ANDA","30 TABLET, EXTENDED RELEASE in 1 BLISTER PACK (0615-7767-39)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
"ISOSORBIDE MONONITRATE","0615-7768-05","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","NCS HealthCare of KY, LLC dba Vangard Labs","0615-7768","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","02/03/2022","N/A","ANDA","15 TABLET, EXTENDED RELEASE in 1 BLISTER PACK (0615-7768-05)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
"ISOSORBIDE MONONITRATE","0615-7768-39","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","NCS HealthCare of KY, LLC dba Vangard Labs","0615-7768","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","02/03/2022","N/A","ANDA","30 TABLET, EXTENDED RELEASE in 1 BLISTER PACK (0615-7768-39)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
"ISOSORBIDE MONONITRATE","0904-6449-61","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200270","Major Pharmaceuticals","0904-6449","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","01/05/2015","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-6449-61)  / 1 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","0904-6450-61","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","Major Pharmaceuticals","0904-6450","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","01/05/2015","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-6450-61)  / 1 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-104-10","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200270","Torrent Pharmaceuticals Limited","13668-104","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","06/03/2011","N/A","ANDA","1000 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-104-10)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-104-01","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200270","Torrent Pharmaceuticals Limited","13668-104","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","06/03/2011","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-104-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-104-05","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200270","Torrent Pharmaceuticals Limited","13668-104","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","08/23/2024","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-104-05)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-105-10","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","Torrent Pharmaceuticals Limited","13668-105","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","06/03/2011","N/A","ANDA","1000 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-105-10)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-105-01","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","Torrent Pharmaceuticals Limited","13668-105","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","06/03/2011","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-105-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-106-10","120 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","Torrent Pharmaceuticals Limited","13668-106","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","06/03/2011","N/A","ANDA","1000 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-106-10)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"ISOSORBIDE MONONITRATE","13668-106-01","120 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200495","Torrent Pharmaceuticals Limited","13668-106","ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","06/03/2011","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-106-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"Isosorbide Mononitrate","42677-305-01","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA214115","Shandong New Time Pharmaceutical Co., Ltd.","42677-305","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","02/08/2024","N/A","ANDA","60 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42677-305-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"Isosorbide Mononitrate","42677-306-01","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA214115","Shandong New Time Pharmaceutical Co., Ltd.","42677-306","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","02/08/2024","N/A","ANDA","60 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42677-306-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"Isosorbide Mononitrate","42677-307-01","120 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA214115","Shandong New Time Pharmaceutical Co., Ltd.","42677-307","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","04/29/2022","N/A","ANDA","60 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42677-307-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"Isosorbide Mononitrate","42677-307-02","120 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA214115","Shandong New Time Pharmaceutical Co., Ltd.","42677-307","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","04/29/2022","N/A","ANDA","600 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (42677-307-02)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2027"
"Isosorbide Mononitrate","42799-958-02","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA075522","Edenbridge Pharmaceuticals LLC.","42799-958","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","07/01/2023","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE (42799-958-02)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
"Isosorbide Mononitrate","42799-958-01","30 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA075522","Edenbridge Pharmaceuticals LLC.","42799-958","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","07/01/2023","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (42799-958-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
"Isosorbide Mononitrate","42799-959-01","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA075522","Edenbridge Pharmaceuticals LLC.","42799-959","Isosorbide Mononitrate","ISOSORBIDE MONONITRATE","HUMAN PRESCRIPTION DRUG","07/01/2023","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (42799-959-01)","Nitrate Vasodilator [EPC],  Nitrates [CS],  Vasodilation [PE]","N/A","No","12/31/2026"
