"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Jantoven","0832-1211-01","1 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1211","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1211-01)  / 1 TABLET in 1 BLISTER PACK (0832-1211-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1211-00","1 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1211","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1211-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1211-10","1 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1211","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1211-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1212-10","2 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1212","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1212-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1212-01","2 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1212","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1212-01)  / 1 TABLET in 1 BLISTER PACK (0832-1212-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1212-00","2 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1212","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1212-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1213-10","2.5 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1213","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1213-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1213-00","2.5 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1213","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1213-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1213-01","2.5 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1213","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1213-01)  / 1 TABLET in 1 BLISTER PACK (0832-1213-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1214-01","3 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1214","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1214-01)  / 1 TABLET in 1 BLISTER PACK (0832-1214-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1214-00","3 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1214","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1214-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1214-10","3 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1214","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1214-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1215-10","4 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1215","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1215-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1215-01","4 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1215","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1215-01)  / 1 TABLET in 1 BLISTER PACK (0832-1215-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1215-00","4 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1215","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1215-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1216-01","5 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1216","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1216-01)  / 1 TABLET in 1 BLISTER PACK (0832-1216-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1216-10","5 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1216","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1216-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1216-00","5 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1216","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1216-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1217-00","6 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1217","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 TABLET in 1 BOTTLE (0832-1217-00)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1217-01","6 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1217","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0832-1217-01)  / 1 TABLET in 1 BLISTER PACK (0832-1217-89)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
"Jantoven","0832-1217-10","6 mg/1","TABLET","ORAL","ANDA040416","Upsher-Smith Laboratories, LLC","0832-1217","Warfarin Sodium","WARFARIN SODIUM","HUMAN PRESCRIPTION DRUG","02/23/2010","N/A","ANDA","1000 TABLET in 1 BOTTLE (0832-1217-10)","Vitamin K Antagonist [EPC],  Vitamin K Inhibitors [MoA]","N/A","No","12/31/2026"
