"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Alclometasone Dipropionate","0168-0263-15",".5 mg/g","CREAM","TOPICAL","ANDA076973","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0263","alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/12/2005","N/A","ANDA","15 g in 1 TUBE (0168-0263-15)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone Dipropionate","0168-0263-45",".5 mg/g","CREAM","TOPICAL","ANDA076973","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0263","alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/12/2005","N/A","ANDA","45 g in 1 TUBE (0168-0263-45)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone Dipropionate","0168-0263-60",".5 mg/g","CREAM","TOPICAL","ANDA076973","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0263","alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/12/2005","N/A","ANDA","60 g in 1 TUBE (0168-0263-60)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone dipropionate","51672-1306-3",".5 mg/g","CREAM","TOPICAL","ANDA076587","Sun Pharmaceutical Industries, Inc.","51672-1306","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-1306-3)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone dipropionate","51672-1306-1",".5 mg/g","CREAM","TOPICAL","ANDA076587","Sun Pharmaceutical Industries, Inc.","51672-1306","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-1306-1)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone dipropionate","51672-1306-6",".5 mg/g","CREAM","TOPICAL","ANDA076587","Sun Pharmaceutical Industries, Inc.","51672-1306","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-1306-6)  / 45 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone Dipropionate","51672-1316-1",".5 mg/g","OINTMENT","TOPICAL","ANDA076730","Sun Pharmaceutical Industries, Inc.","51672-1316","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/29/2004","N/A","ANDA","1 TUBE in 1 CARTON (51672-1316-1)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone Dipropionate","51672-1316-3",".5 mg/g","OINTMENT","TOPICAL","ANDA076730","Sun Pharmaceutical Industries, Inc.","51672-1316","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/29/2004","N/A","ANDA","1 TUBE in 1 CARTON (51672-1316-3)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone Dipropionate","51672-1316-5",".5 mg/g","OINTMENT","TOPICAL","ANDA076730","Sun Pharmaceutical Industries, Inc.","51672-1316","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/29/2004","N/A","ANDA","5 g in 1 TUBE (51672-1316-5)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alclometasone Dipropionate","51672-1316-6",".5 mg/g","OINTMENT","TOPICAL","ANDA076730","Sun Pharmaceutical Industries, Inc.","51672-1316","Alclometasone dipropionate","ALCLOMETASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","07/29/2004","N/A","ANDA","1 TUBE in 1 CARTON (51672-1316-6)  / 45 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
