"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Attero","87143-100-60",".05 mg/g,                         .5  mg/g","SOLUTION","TOPICAL","ANDA210765","Perfero Pharma, Inc.","87143-100","calcipotriene and betamethasone dipropionate","BETAMETHASONE DIPROPIONATE;  CALCIPOTRIENE","HUMAN PRESCRIPTION DRUG","06/01/2026","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (87143-100-60)  / 60 g in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Vitamin D Analog [EPC],  Vitamin D [CS]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0055-46",".5 mg/g","CREAM","TOPICAL","NDA019137","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0055","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","06/26/1984","N/A","NDA","1 TUBE in 1 CARTON (0168-0055-46)  / 45 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0055-15",".5 mg/g","CREAM","TOPICAL","NDA019137","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0055","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","06/26/1984","N/A","NDA","1 TUBE in 1 CARTON (0168-0055-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0056-46",".5 mg/g","OINTMENT","TOPICAL","NDA019141","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0056","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","09/04/1984","N/A","NDA","1 TUBE in 1 CARTON (0168-0056-46)  / 45 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0056-15",".5 mg/g","OINTMENT","TOPICAL","NDA019141","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0056","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","09/04/1984","N/A","NDA","1 TUBE in 1 CARTON (0168-0056-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0057-60",".5 mg/mL","LOTION","TOPICAL","ANDA070275","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0057","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","08/12/1985","N/A","ANDA","1 BOTTLE in 1 CARTON (0168-0057-60)  / 60 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0267-30",".5 mg/mL","LOTION, AUGMENTED","TOPICAL","ANDA077111","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0267","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","05/21/2007","N/A","ANDA","30 mL in 1 BOTTLE (0168-0267-30)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0267-60",".5 mg/mL","LOTION, AUGMENTED","TOPICAL","ANDA077111","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0267","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","05/21/2007","N/A","ANDA","60 mL in 1 BOTTLE (0168-0267-60)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0268-50",".5 mg/g","OINTMENT, AUGMENTED","TOPICAL","ANDA075373","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0268","betamethasone dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","06/22/1999","N/A","ANDA","50 g in 1 TUBE (0168-0268-50)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0168-0268-15",".5 mg/g","OINTMENT, AUGMENTED","TOPICAL","ANDA075373","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0268","betamethasone dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","06/22/1999","N/A","ANDA","15 g in 1 TUBE (0168-0268-15)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Betamethasone Dipropionate","0472-0380-15",".5 mg/g","CREAM","TOPICAL","ANDA070885","Actavis Pharma, Inc.","0472-0380","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","HUMAN PRESCRIPTION DRUG","09/03/2002","N/A","ANDA","1 TUBE in 1 CARTON (0472-0380-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
