"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"PULMICORT","50090-2239-0","180 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","A-S Medication Solutions","50090-2239","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","11/23/2015","N/A","NDA","1 INHALER in 1 CARTON (50090-2239-0)  / 120 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"PULMICORT","50090-7867-0","180 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","A-S Medication Solutions","50090-7867","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","01/27/2026","N/A","NDA","1 INHALER in 1 CARTON (50090-7867-0)  / 120 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"PULMICORT","61269-509-06","90 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","H2-Pharma LLC","61269-509","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","03/19/2007","N/A","NDA","1 INHALER in 1 CARTON (61269-509-06)  / 60 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"PULMICORT","61269-518-12","180 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","H2-Pharma LLC","61269-518","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","03/19/2007","N/A","NDA","1 INHALER in 1 CARTON (61269-518-12)  / 120 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"PULMICORT","85612-010-01","90 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","Rubicon Holdings Inc.","85612-010","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","08/14/2025","N/A","NDA","1 INHALER in 1 CARTON (85612-010-01)  / 60 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"PULMICORT","85612-011-01","180 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","Rubicon Holdings Inc.","85612-011","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","08/14/2025","N/A","NDA","1 INHALER in 1 CARTON (85612-011-01)  / 120 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"PULMICORT FLEXHALER","50090-6796-0","180 ug/1","AEROSOL, POWDER","RESPIRATORY (INHALATION)","NDA021949","A-S Medication Solutions","50090-6796","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","11/01/2023","N/A","NDA","1 INHALER in 1 CARTON (50090-6796-0)  / 120 AEROSOL, POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"PULMICORT RESPULES","0186-1988-04",".25 mg/2mL","SUSPENSION","RESPIRATORY (INHALATION)","NDA020929","AstraZeneca Pharmaceuticals LP","0186-1988","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","09/08/2000","N/A","NDA","6 POUCH in 1 CARTON (0186-1988-04)  / 5 AMPULE in 1 POUCH / 2 mL in 1 AMPULE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"PULMICORT RESPULES","0186-1989-04",".5 mg/2mL","SUSPENSION","RESPIRATORY (INHALATION)","NDA020929","AstraZeneca Pharmaceuticals LP","0186-1989","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","09/08/2000","N/A","NDA","6 POUCH in 1 CARTON (0186-1989-04)  / 5 AMPULE in 1 POUCH / 2 mL in 1 AMPULE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"PULMICORT RESPULES","0186-1990-04","1 mg/2mL","SUSPENSION","RESPIRATORY (INHALATION)","NDA020929","AstraZeneca Pharmaceuticals LP","0186-1990","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","09/17/2007","N/A","NDA","6 POUCH in 1 CARTON (0186-1990-04)  / 5 AMPULE in 1 POUCH / 2 mL in 1 AMPULE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
