"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"BYQLOVI","82667-021-00",".5 mg/mL","FOR SUSPENSION","OPHTHALMIC","NDA218158","Harrow Eye, LLC","82667-021","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","01/25/2026","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (82667-021-00)  / 3.5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2027"
"BYQLOVI","82667-021-05",".5 mg/mL","FOR SUSPENSION","OPHTHALMIC","NDA218158","Harrow Eye, LLC","82667-021","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","01/25/2026","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (82667-021-05)  / 3.5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Clobetasol Propionate","0168-0162-60",".5 mg/g","OINTMENT","TOPICAL","ANDA074407","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0162","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","02/23/1996","N/A","ANDA","60 g in 1 TUBE (0168-0162-60)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0162-46",".5 mg/g","OINTMENT","TOPICAL","ANDA074407","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0162","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","02/23/1996","N/A","ANDA","45 g in 1 TUBE (0168-0162-46)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0162-30",".5 mg/g","OINTMENT","TOPICAL","ANDA074407","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0162","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","02/23/1996","N/A","ANDA","30 g in 1 TUBE (0168-0162-30)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0162-15",".5 mg/g","OINTMENT","TOPICAL","ANDA074407","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0162","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","02/23/1996","N/A","ANDA","15 g in 1 TUBE (0168-0162-15)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0163-46",".5 mg/g","CREAM","TOPICAL","ANDA074392","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0163","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","09/30/1996","N/A","ANDA","45 g in 1 TUBE (0168-0163-46)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0163-30",".5 mg/g","CREAM","TOPICAL","ANDA074392","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0163","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","09/30/1996","N/A","ANDA","30 g in 1 TUBE (0168-0163-30)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0163-60",".5 mg/g","CREAM","TOPICAL","ANDA074392","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0163","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","09/30/1996","N/A","ANDA","60 g in 1 TUBE (0168-0163-60)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Clobetasol Propionate","0168-0163-15",".5 mg/g","CREAM","TOPICAL","ANDA074392","E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.","0168-0163","clobetasol propionate","CLOBETASOL PROPIONATE","HUMAN PRESCRIPTION DRUG","09/30/1996","N/A","ANDA","15 g in 1 TUBE (0168-0163-15)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
