"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"AIRSUPRA","0310-9080-12","90 ug/1,                         80  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA214070","AstraZeneca Pharmaceuticals LP","0310-9080","Albuterol sulfate and budesonide","ALBUTEROL SULFATE;  BUDESONIDE","HUMAN PRESCRIPTION DRUG","10/02/2023","N/A","NDA","1 INHALER in 1 CARTON (0310-9080-12)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"AIRSUPRA","0310-9080-28","90 ug/1,                         80  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA214070","AstraZeneca Pharmaceuticals LP","0310-9080","Albuterol sulfate and budesonide","ALBUTEROL SULFATE;  BUDESONIDE","HUMAN PRESCRIPTION DRUG","10/02/2023","N/A","NDA","1 INHALER in 1 CARTON (0310-9080-28)  / 28 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","Yes","12/31/2026"
"BREYNA","0378-7502-32","80 ug/1,                         4.5  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","ANDA211699","Mylan Pharmaceuticals Inc.","0378-7502","Budesonide and Formoterol Fumarate","BUDESONIDE;  FORMOTEROL FUMARATE","HUMAN PRESCRIPTION DRUG","07/31/2023","N/A","ANDA","1 POUCH in 1 CARTON (0378-7502-32)  / 1 CANISTER in 1 POUCH / 120 AEROSOL, METERED in 1 CANISTER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"BREYNA","0378-7503-32","160 ug/1,                         4.5  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","ANDA211699","Mylan Pharmaceuticals Inc.","0378-7503","Budesonide and Formoterol Fumarate","BUDESONIDE;  FORMOTEROL FUMARATE","HUMAN PRESCRIPTION DRUG","07/31/2023","N/A","ANDA","1 POUCH in 1 CARTON (0378-7503-32)  / 1 CANISTER in 1 POUCH / 120 AEROSOL, METERED in 1 CANISTER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"BREZTRI","0310-4616-39","160 ug/1,                         9  ug/1,                         4.8  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA212122","AstraZeneca Pharmaceuticals LP","0310-4616","budesonide, glycopyrrolate, and formoterol fumarate","BUDESONIDE;  FORMOTEROL;  GLYCOPYRROLATE","HUMAN PRESCRIPTION DRUG","07/23/2020","N/A","NDA","28 AEROSOL, METERED in 1 INHALER (0310-4616-39)","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  Cholinergic Muscarinic Antagonist [EPC],  Cholinergic Muscarinic Antagonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"BREZTRI","0310-4616-12","160 ug/1,                         9  ug/1,                         4.8  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA212122","AstraZeneca Pharmaceuticals LP","0310-4616","budesonide, glycopyrrolate, and formoterol fumarate","BUDESONIDE;  FORMOTEROL;  GLYCOPYRROLATE","HUMAN PRESCRIPTION DRUG","07/23/2020","N/A","NDA","120 AEROSOL, METERED in 1 INHALER (0310-4616-12)","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  Cholinergic Muscarinic Antagonist [EPC],  Cholinergic Muscarinic Antagonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"BREZTRI","0310-4616-28","160 ug/1,                         9  ug/1,                         4.8  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA212122","AstraZeneca Pharmaceuticals LP","0310-4616","budesonide, glycopyrrolate, and formoterol fumarate","BUDESONIDE;  FORMOTEROL;  GLYCOPYRROLATE","HUMAN PRESCRIPTION DRUG","07/23/2020","N/A","NDA","28 AEROSOL, METERED in 1 INHALER (0310-4616-28)","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  Cholinergic Muscarinic Antagonist [EPC],  Cholinergic Muscarinic Antagonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","Yes","12/31/2027"
"BREZTRI","0310-6616-95","160 ug/1,                         18  ug/1,                         4.8  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA212122","AstraZeneca Pharmaceuticals LP","0310-6616","budesonide, glycopyrrolate, and formoterol fumarate","BUDESONIDE;  FORMOTEROL;  GLYCOPYRROLATE","HUMAN PRESCRIPTION DRUG","04/27/2026","N/A","NDA","28 AEROSOL, METERED in 1 INHALER (0310-6616-95)","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  Cholinergic Muscarinic Antagonist [EPC],  Cholinergic Muscarinic Antagonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","Yes","12/31/2027"
"BREZTRI","0310-6616-39","160 ug/1,                         18  ug/1,                         4.8  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA212122","AstraZeneca Pharmaceuticals LP","0310-6616","budesonide, glycopyrrolate, and formoterol fumarate","BUDESONIDE;  FORMOTEROL;  GLYCOPYRROLATE","HUMAN PRESCRIPTION DRUG","04/27/2026","N/A","NDA","28 AEROSOL, METERED in 1 INHALER (0310-6616-39)","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  Cholinergic Muscarinic Antagonist [EPC],  Cholinergic Muscarinic Antagonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"BREZTRI","0310-6616-01","160 ug/1,                         18  ug/1,                         4.8  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA212122","AstraZeneca Pharmaceuticals LP","0310-6616","budesonide, glycopyrrolate, and formoterol fumarate","BUDESONIDE;  FORMOTEROL;  GLYCOPYRROLATE","HUMAN PRESCRIPTION DRUG","04/27/2026","N/A","NDA","120 AEROSOL, METERED in 1 INHALER (0310-6616-01)","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  Cholinergic Muscarinic Antagonist [EPC],  Cholinergic Muscarinic Antagonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Budesonide","0093-6815-55",".25 mg/2mL","SUSPENSION","RESPIRATORY (INHALATION)","ANDA077519","Teva Pharmaceuticals USA, Inc.","0093-6815","Budesonide","BUDESONIDE","HUMAN PRESCRIPTION DRUG","01/11/2019","N/A","ANDA","30 POUCH in 1 CARTON (0093-6815-55)  / 1 VIAL, SINGLE-DOSE in 1 POUCH / 2 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
