"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Ciprofloxacin and Dexamethasone","0781-6186-67","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","NDA021537","Sandoz Inc","0781-6186","ciprofloxacin and dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","08/10/2020","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (0781-6186-67)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2026"
"Ciprofloxacin and Dexamethasone","0832-1430-75","3 mg/mL,                         1  mg/mL","SUSPENSION","AURICULAR (OTIC)","ANDA216487","Upsher-Smith Laboratories, LLC","0832-1430","Ciprofloxacin Hydrochloride and Dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","02/13/2026","N/A","ANDA","1 BOTTLE in 1 CARTON (0832-1430-75)  / 7.5 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2027"
"Ciprofloxacin and Dexamethasone","16714-628-01","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA205548","NorthStar RxLLC","16714-628","Ciprofloxacin and Dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","08/01/2022","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (16714-628-01)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2026"
"Ciprofloxacin and Dexamethasone","43598-326-75","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA205548","Dr. Reddy's Laboratories, Inc.","43598-326","Ciprofloxacin and Dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","08/10/2020","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (43598-326-75)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2026"
"Ciprofloxacin and Dexamethasone","53746-831-53","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA216501","Amneal Pharmaceuticals of New York LLC","53746-831","Ciprofloxacin and Dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","03/26/2024","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (53746-831-53)  / 7.5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2026"
"Ciprofloxacin and dexamethasone","62756-427-90","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA210470","Sun Pharmaceutical Industries, Inc.","62756-427","Ciprofloxacin and dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (62756-427-90)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2027"
"Ciprofloxacin and dexamethasone","67296-1943-8","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA215768","Redpharm Drug","67296-1943","Ciprofloxacin and dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","11/01/2023","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (67296-1943-8)  / 8 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2026"
"Ciprofloxacin and Dexamethasone","67296-2257-8","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA205548","Redpharm Drug","67296-2257","Ciprofloxacin and Dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","08/01/2022","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (67296-2257-8)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2027"
"Ciprofloxacin and Dexamethasone","68071-3804-7","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA205548","NuCare Pharmaceuticals, Inc.","68071-3804","Ciprofloxacin and Dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","03/03/2025","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (68071-3804-7)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2026"
"Ciprofloxacin and dexamethasone","68071-3977-7","3 mg/mL,                         1  mg/mL","SUSPENSION/ DROPS","AURICULAR (OTIC)","ANDA210470","NuCare Pharmaceutical, Inc.","68071-3977","Ciprofloxacin and dexamethasone","CIPROFLOXACIN HYDROCHLORIDE;  DEXAMETHASONE","HUMAN PRESCRIPTION DRUG","03/19/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (68071-3977-7)  / 7.5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Cytochrome P450 1A2 Inhibitors [MoA],  Fluoroquinolone Antibacterial [EPC],  Fluoroquinolones [CS]","N/A","No","12/31/2027"
