"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Diflorasone Diacetate","51672-1295-2",".5 mg/g","OINTMENT","TOPICAL","ANDA075331","Sun Pharmaceutical Industries, Inc.","51672-1295","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","05/14/1999","N/A","ANDA","1 TUBE in 1 CARTON (51672-1295-2)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","51672-1295-1",".5 mg/g","OINTMENT","TOPICAL","ANDA075331","Sun Pharmaceutical Industries, Inc.","51672-1295","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","05/14/1999","N/A","ANDA","1 TUBE in 1 CARTON (51672-1295-1)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","51672-1295-3",".5 mg/g","OINTMENT","TOPICAL","ANDA075331","Sun Pharmaceutical Industries, Inc.","51672-1295","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","05/14/1999","N/A","ANDA","1 TUBE in 1 CARTON (51672-1295-3)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","51672-1296-1",".5 mg/g","CREAM","TOPICAL","ANDA075508","Sun Pharmaceutical Industries, Inc.","51672-1296","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","04/24/2000","N/A","ANDA","1 TUBE in 1 CARTON (51672-1296-1)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","51672-1296-2",".5 mg/g","CREAM","TOPICAL","ANDA075508","Sun Pharmaceutical Industries, Inc.","51672-1296","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","04/24/2000","N/A","ANDA","1 TUBE in 1 CARTON (51672-1296-2)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","51672-1296-3",".5 mg/g","CREAM","TOPICAL","ANDA075508","Sun Pharmaceutical Industries, Inc.","51672-1296","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","04/24/2000","N/A","ANDA","1 TUBE in 1 CARTON (51672-1296-3)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","64980-124-03",".5 mg/g","OINTMENT","TOPICAL","ANDA207440","Rising Pharma Holdings, Inc.","64980-124","diflorasone diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","02/27/2017","N/A","ANDA","1 TUBE in 1 CARTON (64980-124-03)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","64980-124-15",".5 mg/g","OINTMENT","TOPICAL","ANDA207440","Rising Pharma Holdings, Inc.","64980-124","diflorasone diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","02/27/2017","N/A","ANDA","1 TUBE in 1 CARTON (64980-124-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","64980-124-45",".5 mg/g","OINTMENT","TOPICAL","ANDA207440","Rising Pharma Holdings, Inc.","64980-124","diflorasone diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","02/27/2017","N/A","ANDA","1 TUBE in 1 CARTON (64980-124-45)  / 45 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Diflorasone Diacetate","64980-124-60",".5 mg/g","OINTMENT","TOPICAL","ANDA207440","Rising Pharma Holdings, Inc.","64980-124","diflorasone diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","02/27/2017","N/A","ANDA","1 TUBE in 1 CARTON (64980-124-60)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"psorcon","51672-5292-3","5 mg/g","CREAM","TOPICAL","ANDA075508","Sun Pharmaceutical Industries, Inc.","51672-5292","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","08/01/2014","N/A","ANDA","1 TUBE in 1 CARTON (51672-5292-3)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"psorcon","51672-5292-5","5 mg/g","CREAM","TOPICAL","ANDA075508","Sun Pharmaceutical Industries, Inc.","51672-5292","Diflorasone Diacetate","DIFLORASONE DIACETATE","HUMAN PRESCRIPTION DRUG","08/01/2014","N/A","ANDA","1 TUBE in 1 CARTON (51672-5292-5)  / 5 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
