"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Difluprednate","0378-7518-35",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA212566","Mylan Pharmaceuticals Inc.","0378-7518","Difluprednate","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","09/26/2025","06/30/2027","ANDA","1 BOTTLE in 1 CARTON (0378-7518-35)  / 5 mL in 1 BOTTLE","N/A","N/A","No","N/A"
"Difluprednate","0832-6054-05",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA218191","Upsher-Smith Laboratories, LLC","0832-6054","Difluprednate","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","08/21/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (0832-6054-05)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
"Difluprednate","46708-750-05",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA213774","Alembic Pharmaceuticals Limited","46708-750","difluprednate ophthalmic","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","01/26/2026","N/A","ANDA","1 BOTTLE in 1 CARTON (46708-750-05)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
"Difluprednate","62332-750-05",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA213774","Alembic Pharmaceuticals Inc.","62332-750","difluprednate ophthalmic","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","01/26/2026","N/A","ANDA","1 BOTTLE in 1 CARTON (62332-750-05)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
"Difluprednate","65145-161-01",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA219441","Caplin Steriles Limited","65145-161","Difluprednate","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","12/26/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (65145-161-01)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"DIFLUPREDNATE","69097-341-35",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA211776","Cipla USA Inc.","69097-341","DIFLUPREDNATE","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","08/09/2021","N/A","ANDA","1 BOTTLE in 1 CARTON (69097-341-35)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Difluprednate","69238-1380-3",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA211526","Amneal Pharmaceuticals NY LLC","69238-1380","Difluprednate ophthalmic","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","11/18/2021","N/A","ANDA","1 BOTTLE in 1 CARTON (69238-1380-3)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
"DIFLUPREDNATE","69315-329-05",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA219441","Leading Pharma, LLC","69315-329","DIFLUPREDNATE","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","02/18/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (69315-329-05)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Difluprednate Ophthalmic","0781-6000-78",".5 mg/mL","EMULSION","OPHTHALMIC","NDA022212","Sandoz Inc","0781-6000","Difluprednate Ophthalmic","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","09/15/2021","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE in 1 CARTON (0781-6000-78)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
"Difluprednate Ophthalmic Emulsion","43598-588-11",".5 mg/mL","EMULSION","OPHTHALMIC","ANDA214894","Dr. Reddy's Laboratories Inc.","43598-588","Difluprednate Ophthalmic","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","12/25/2022","N/A","ANDA","1 BOTTLE in 1 CARTON (43598-588-11)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"DUREZOL","66758-086-75",".5 mg/mL","EMULSION","OPHTHALMIC","NDA022212","Sandoz Inc","66758-086","difluprednate","DIFLUPREDNATE","HUMAN PRESCRIPTION DRUG","12/06/2024","N/A","NDA","1 BOTTLE in 1 CARTON (66758-086-75)  / 5 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
