"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Fludrocortisone Acetate","0115-7033-02",".1 mg/1","TABLET","ORAL","ANDA040431","Amneal Pharmaceuticals of New York LLC","0115-7033","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","03/18/2002","N/A","ANDA","500 TABLET in 1 BOTTLE (0115-7033-02)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","0115-7033-01",".1 mg/1","TABLET","ORAL","ANDA040431","Amneal Pharmaceuticals of New York LLC","0115-7033","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","03/18/2002","N/A","ANDA","100 TABLET in 1 BOTTLE (0115-7033-01)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","0115-7033-03",".1 mg/1","TABLET","ORAL","ANDA040431","Amneal Pharmaceuticals of New York LLC","0115-7033","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","03/18/2002","N/A","ANDA","1000 TABLET in 1 BOTTLE (0115-7033-03)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","0615-6562-39",".1 mg/1","TABLET","ORAL","ANDA040431","NCS HealthCare of KY, LLC dba Vangard Labs","0615-6562","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","10/07/2020","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-6562-39)","N/A","N/A","No","12/31/2027"
"Fludrocortisone Acetate","0904-7317-61",".1 mg/1","TABLET","ORAL","ANDA215279","Major Pharmaceuticals","0904-7317","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","09/04/2024","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7317-61)  / 1 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Fludrocortisone Acetate","0904-7317-06",".1 mg/1","TABLET","ORAL","ANDA215279","Major Pharmaceuticals","0904-7317","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","09/04/2024","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7317-06)  / 1 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Fludrocortisone Acetate","42291-764-01",".1 mg/1","TABLET","ORAL","ANDA040431","AvKARE","42291-764","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","01/13/2021","N/A","ANDA","100 TABLET in 1 BOTTLE (42291-764-01)","N/A","N/A","No","12/31/2027"
"FLUDROCORTISONE ACETATE","50268-330-15",".1 mg/1","TABLET","ORAL","ANDA040431","AvPAK","50268-330","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","08/01/2011","N/A","ANDA","50 BLISTER PACK in 1 BOX, UNIT-DOSE (50268-330-15)  / 1 TABLET in 1 BLISTER PACK (50268-330-11)","N/A","N/A","No","12/31/2027"
"Fludrocortisone acetate","51407-705-01",".1 mg/1","TABLET","ORAL","ANDA219251","Golden State Medical Supply, Inc.","51407-705","Fludrocortisone acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","06/10/2025","N/A","ANDA","100 TABLET in 1 BOTTLE (51407-705-01)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","55154-2644-0",".1 mg/1","TABLET","ORAL","ANDA215279","Cardinal Health 107, LLC","55154-2644","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","02/25/2025","N/A","ANDA","10 BLISTER PACK in 1 BAG (55154-2644-0)  / 1 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Fludrocortisone Acetate","55154-6645-0",".1 mg/1","TABLET","ORAL","ANDA040431","Cardinal Health 107, LLC","55154-6645","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","05/09/2008","N/A","ANDA","10 BLISTER PACK in 1 BAG (55154-6645-0)  / 1 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Fludrocortisone Acetate","68084-288-01",".1 mg/1","TABLET","ORAL","ANDA040431","American Health Packaging","68084-288","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","09/05/2008","N/A","ANDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (68084-288-01)  / 1 TABLET in 1 BLISTER PACK (68084-288-11)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","68084-288-65",".1 mg/1","TABLET","ORAL","ANDA040431","American Health Packaging","68084-288","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","02/09/2023","N/A","ANDA","50 BLISTER PACK in 1 CARTON (68084-288-65)  / 1 TABLET in 1 BLISTER PACK (68084-288-11)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","69238-7033-1",".1 mg/1","TABLET","ORAL","ANDA040431","Amneal Pharmaceuticals NY LLC","69238-7033","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","03/18/2002","N/A","ANDA","100 TABLET in 1 BOTTLE (69238-7033-1)","N/A","N/A","No","12/31/2026"
"Fludrocortisone Acetate","69238-7033-5",".1 mg/1","TABLET","ORAL","ANDA040431","Amneal Pharmaceuticals NY LLC","69238-7033","FLUDROCORTISONE ACETATE","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","03/18/2002","N/A","ANDA","500 TABLET in 1 BOTTLE (69238-7033-5)","N/A","N/A","No","12/31/2026"
"Fludrocortisone acetate","70771-1893-1",".1 mg/1","TABLET","ORAL","ANDA219251","Zydus Lifesciences Limited","70771-1893","Fludrocortisone acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","12/02/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (70771-1893-1)","N/A","N/A","No","12/31/2026"
"Fludrocortisone acetate","70771-1893-5",".1 mg/1","TABLET","ORAL","ANDA219251","Zydus Lifesciences Limited","70771-1893","Fludrocortisone acetate","FLUDROCORTISONE ACETATE","HUMAN PRESCRIPTION DRUG","12/02/2024","N/A","ANDA","500 TABLET in 1 BOTTLE (70771-1893-5)","N/A","N/A","No","12/31/2026"
