"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Derma-Smoothe/FS","68791-101-04",".11 mg/mL","OIL","TOPICAL","NDA019452","Royal Pharmaceuticals, LLC","68791-101","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","02/16/1995","N/A","NDA","1 BOTTLE in 1 CARTON (68791-101-04)  / 118.28 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"DERMA-SMOOTHE/FS","68791-102-04",".11 mg/mL","OIL","TOPICAL","NDA019452","Royal Pharmaceuticals","68791-102","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","02/16/1995","N/A","NDA","1 BOTTLE in 1 CARTON (68791-102-04)  / 118.28 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"DERMOTIC","68791-103-20",".11 mg/mL","OIL","AURICULAR (OTIC)","NDA019452","Royal Pharmaceuticals","68791-103","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","11/09/2005","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (68791-103-20)  / 20 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Flac Otic Oil","39328-079-20",".11 mg/mL","OIL","AURICULAR (OTIC)","ANDA210736","Patrin Pharma, Inc.","39328-079","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","04/12/2018","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (39328-079-20)  / 20 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinolone Acetonide","0168-0059-60",".1 mg/mL","SOLUTION","TOPICAL","ANDA088167","Fougera Pharmaceuticals, LLC","0168-0059","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","12/16/1982","N/A","ANDA","60 mL in 1 BOTTLE (0168-0059-60)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Fluocinolone Acetonide","0168-0064-15",".25 mg/g","OINTMENT","TOPICAL","ANDA088168","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0064","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","12/16/1982","N/A","ANDA","15 g in 1 TUBE (0168-0064-15)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Fluocinolone Acetonide","0168-0064-60",".25 mg/g","OINTMENT","TOPICAL","ANDA088168","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0064","fluocinolone acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","12/16/1982","N/A","ANDA","60 g in 1 TUBE (0168-0064-60)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Fluocinolone Acetonide","0713-0223-60",".1 mg/g","CREAM","TOPICAL","ANDA089526","Cosette Pharmaceuticals, Inc.","0713-0223","Fluocinolone Acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","07/26/1988","N/A","ANDA","1 TUBE in 1 CARTON (0713-0223-60)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinolone Acetonide","0713-0223-15",".1 mg/g","CREAM","TOPICAL","ANDA089526","Cosette Pharmaceuticals, Inc.","0713-0223","Fluocinolone Acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","07/26/1988","N/A","ANDA","1 TUBE in 1 CARTON (0713-0223-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinolone Acetonide","0713-0224-60",".25 mg/g","OINTMENT","TOPICAL","ANDA089524","Cosette Pharmaceuticals, Inc.","0713-0224","Fluocinolone Acetonide","FLUOCINOLONE ACETONIDE","HUMAN PRESCRIPTION DRUG","07/26/1988","N/A","ANDA","1 TUBE in 1 CARTON (0713-0224-60)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
