"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Fluocinol Pak","59088-755-00","","KIT","","","PureTek Corporation","59088-755","FLUOCINONIDE","","HUMAN PRESCRIPTION DRUG","07/02/2020","N/A","UNAPPROVED DRUG OTHER","1 KIT in 1 KIT (59088-755-00)  *  1 TUBE in 1 CARTON (45802-151-94)  / 30 g in 1 TUBE","N/A","N/A","No","12/31/2026"
"Fluocinonide","0093-0262-30",".5 mg/g","CREAM","TOPICAL","ANDA072488","Teva Pharmaceuticals USA, Inc.","0093-0262","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","1 TUBE in 1 CARTON (0093-0262-30)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0262-15",".5 mg/g","CREAM","TOPICAL","ANDA072488","Teva Pharmaceuticals USA, Inc.","0093-0262","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","1 TUBE in 1 CARTON (0093-0262-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0262-92",".5 mg/g","CREAM","TOPICAL","ANDA072488","Teva Pharmaceuticals USA, Inc.","0093-0262","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","1 TUBE in 1 CARTON (0093-0262-92)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0263-30",".5 mg/g","CREAM","TOPICAL","ANDA072490","Teva Pharmaceuticals USA, Inc.","0093-0263","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","1 TUBE in 1 CARTON (0093-0263-30)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0263-15",".5 mg/g","CREAM","TOPICAL","ANDA072490","Teva Pharmaceuticals USA, Inc.","0093-0263","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","1 TUBE in 1 CARTON (0093-0263-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0263-92",".5 mg/g","CREAM","TOPICAL","ANDA072490","Teva Pharmaceuticals USA, Inc.","0093-0263","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","1 TUBE in 1 CARTON (0093-0263-92)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0264-92",".5 mg/g","OINTMENT","TOPICAL","ANDA073481","Teva Pharmaceuticals USA, Inc.","0093-0264","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","05/01/1992","N/A","ANDA","1 TUBE in 1 CARTON (0093-0264-92)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0264-15",".5 mg/g","OINTMENT","TOPICAL","ANDA073481","Teva Pharmaceuticals USA, Inc.","0093-0264","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","05/01/1992","N/A","ANDA","1 TUBE in 1 CARTON (0093-0264-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0093-0264-30",".5 mg/g","OINTMENT","TOPICAL","ANDA073481","Teva Pharmaceuticals USA, Inc.","0093-0264","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","05/01/1992","N/A","ANDA","1 TUBE in 1 CARTON (0093-0264-30)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"fluocinonide","0168-0134-60",".5 mg/mL","SOLUTION","TOPICAL","ANDA072934","E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC","0168-0134","fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","02/27/1995","N/A","ANDA","1 BOTTLE in 1 CARTON (0168-0134-60)  / 60 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Fluocinonide","0713-0663-60",".5 mg/g","CREAM","TOPICAL","ANDA073085","Cosette Pharmaceuticals, Inc.","0713-0663","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","11/16/2022","N/A","ANDA","1 TUBE in 1 CARTON (0713-0663-60)  / 60 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0713-0663-31",".5 mg/g","CREAM","TOPICAL","ANDA073085","Cosette Pharmaceuticals, Inc.","0713-0663","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","11/16/2022","N/A","ANDA","1 TUBE in 1 CARTON (0713-0663-31)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Fluocinonide","0713-0663-15",".5 mg/g","CREAM","TOPICAL","ANDA073085","Cosette Pharmaceuticals, Inc.","0713-0663","Fluocinonide","FLUOCINONIDE","HUMAN PRESCRIPTION DRUG","11/16/2022","N/A","ANDA","1 TUBE in 1 CARTON (0713-0663-15)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
