"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Flarex","71776-100-03","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA019079","Eyevance Pharmaceuticals","71776-100","fluorometholone acetate","FLUOROMETHOLONE ACETATE","HUMAN PRESCRIPTION DRUG","01/01/2022","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (71776-100-03)  / 2.5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Flarex","71776-100-05","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA019079","Eyevance Pharmaceuticals","71776-100","fluorometholone acetate","FLUOROMETHOLONE ACETATE","HUMAN PRESCRIPTION DRUG","03/05/2019","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (71776-100-05)  / 5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Flarex","82667-010-00","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA019079","Harrow Eye, LLC","82667-010","fluorometholone acetate","FLUOROMETHOLONE ACETATE","HUMAN PRESCRIPTION DRUG","03/31/2025","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (82667-010-00)  / 2.5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Flarex","82667-010-01","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA019079","Harrow Eye, LLC","82667-010","fluorometholone acetate","FLUOROMETHOLONE ACETATE","HUMAN PRESCRIPTION DRUG","03/31/2025","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (82667-010-01)  / 5 mL in 1 BOTTLE, PLASTIC","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"fluorometholone","0781-6187-70","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA218819","Sandoz Inc","0781-6187","fluorometholone","FLUOROMETHOLONE","HUMAN PRESCRIPTION DRUG","05/18/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0781-6187-70)  / 10 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"fluorometholone","0781-6187-75","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA218819","Sandoz Inc","0781-6187","fluorometholone","FLUOROMETHOLONE","HUMAN PRESCRIPTION DRUG","05/18/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0781-6187-75)  / 5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"FLUOROMETHOLONE","60758-880-05","1 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA016851","Pacific Pharma, Inc.","60758-880","fluorometholone","FLUOROMETHOLONE","HUMAN PRESCRIPTION DRUG","10/31/1997","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (60758-880-05)  / 5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"FLUOROMETHOLONE","60758-880-10","1 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA016851","Pacific Pharma, Inc.","60758-880","fluorometholone","FLUOROMETHOLONE","HUMAN PRESCRIPTION DRUG","10/31/1997","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (60758-880-10)  / 10 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"fluorometholone ophthalmic suspension","60219-1585-3","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA216348","Amneal Pharmaceuticals LLC","60219-1585","fluorometholone","FLUOROMETHOLONE","HUMAN PRESCRIPTION DRUG","01/09/2023","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (60219-1585-3)  / 5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"fluorometholone ophthalmic suspension","60219-1586-6","1 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA216348","Amneal Pharmaceuticals LLC","60219-1586","fluorometholone","FLUOROMETHOLONE","HUMAN PRESCRIPTION DRUG","01/09/2023","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (60219-1586-6)  / 10 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
