"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"FLONASE SENSIMIST","0135-0615-01","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 CARTON (0135-0615-01)  / 30 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-02","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0615-02)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-05","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","07/01/2017","N/A","NDA","2 BOTTLE in 1 PACKAGE (0135-0615-05)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-06","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","01/22/2019","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0615-06)  / 72 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-03","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0615-03)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-04","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","3 BOTTLE in 1 PACKAGE (0135-0615-04)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0616-01","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0616","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","07/01/2017","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0616-01)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0616-03","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0616","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","07/01/2021","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0616-03)  / 72 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","50090-5967-0","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","A-S Medication Solutions","50090-5967","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","04/27/2022","N/A","NDA","1 BOTTLE in 1 PACKAGE (50090-5967-0)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","50090-6075-0","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","A-S Medication Solutions","50090-6075","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","09/15/2022","N/A","NDA","1 BOTTLE in 1 PACKAGE (50090-6075-0)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
