"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Arnuity Ellipta","0173-0874-10","100 ug/1","POWDER","RESPIRATORY (INHALATION)","NDA205625","GlaxoSmithKline LLC","0173-0874","fluticasone furoate","FLUTICASONE FUROATE","HUMAN PRESCRIPTION DRUG","08/20/2014","N/A","NDA","1 INHALER in 1 CARTON (0173-0874-10)  / 30 POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Arnuity Ellipta","0173-0874-14","100 ug/1","POWDER","RESPIRATORY (INHALATION)","NDA205625","GlaxoSmithKline LLC","0173-0874","fluticasone furoate","FLUTICASONE FUROATE","HUMAN PRESCRIPTION DRUG","08/20/2014","N/A","NDA","1 INHALER in 1 CARTON (0173-0874-14)  / 14 POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Arnuity Ellipta","0173-0876-10","200 ug/1","POWDER","RESPIRATORY (INHALATION)","NDA205625","GlaxoSmithKline LLC","0173-0876","fluticasone furoate","FLUTICASONE FUROATE","HUMAN PRESCRIPTION DRUG","08/20/2014","N/A","NDA","1 INHALER in 1 CARTON (0173-0876-10)  / 30 POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Arnuity Ellipta","0173-0876-14","200 ug/1","POWDER","RESPIRATORY (INHALATION)","NDA205625","GlaxoSmithKline LLC","0173-0876","fluticasone furoate","FLUTICASONE FUROATE","HUMAN PRESCRIPTION DRUG","08/20/2014","N/A","NDA","1 INHALER in 1 CARTON (0173-0876-14)  / 14 POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Arnuity Ellipta","0173-0888-10","50 ug/1","POWDER","RESPIRATORY (INHALATION)","NDA205625","GlaxoSmithKline LLC","0173-0888","fluticasone furoate","FLUTICASONE FUROATE","HUMAN PRESCRIPTION DRUG","05/17/2018","N/A","NDA","1 INHALER in 1 CARTON (0173-0888-10)  / 30 POWDER in 1 INHALER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Breo Ellipta","0173-0859-10","100 ug/1,                         25  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA204275","GlaxoSmithKline LLC","0173-0859","fluticasone furoate and vilanterol trifenatate","FLUTICASONE FUROATE;  VILANTEROL TRIFENATATE","HUMAN PRESCRIPTION DRUG","08/26/2013","N/A","NDA","1 TRAY in 1 CARTON (0173-0859-10)  / 1 INHALER in 1 TRAY / 30 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Breo Ellipta","0173-0859-14","100 ug/1,                         25  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA204275","GlaxoSmithKline LLC","0173-0859","fluticasone furoate and vilanterol trifenatate","FLUTICASONE FUROATE;  VILANTEROL TRIFENATATE","HUMAN PRESCRIPTION DRUG","08/26/2013","N/A","NDA","1 TRAY in 1 CARTON (0173-0859-14)  / 1 INHALER in 1 TRAY / 14 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Breo Ellipta","0173-0882-14","200 ug/1,                         25  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA204275","GlaxoSmithKline LLC","0173-0882","fluticasone furoate and vilanterol trifenatate","FLUTICASONE FUROATE;  VILANTEROL TRIFENATATE","HUMAN PRESCRIPTION DRUG","04/30/2015","N/A","NDA","1 TRAY in 1 CARTON (0173-0882-14)  / 1 INHALER in 1 TRAY / 14 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Breo Ellipta","0173-0882-10","200 ug/1,                         25  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA204275","GlaxoSmithKline LLC","0173-0882","fluticasone furoate and vilanterol trifenatate","FLUTICASONE FUROATE;  VILANTEROL TRIFENATATE","HUMAN PRESCRIPTION DRUG","04/30/2015","N/A","NDA","1 TRAY in 1 CARTON (0173-0882-10)  / 1 INHALER in 1 TRAY / 30 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Breo Ellipta","0173-0916-10","50 ug/1,                         25  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA204275","GlaxoSmithKline LLC","0173-0916","fluticasone furoate and vilanterol trifenatate","FLUTICASONE FUROATE;  VILANTEROL TRIFENATATE","HUMAN PRESCRIPTION DRUG","05/12/2023","N/A","NDA","1 TRAY in 1 CARTON (0173-0916-10)  / 1 INHALER in 1 TRAY / 30 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"FLONASE SENSIMIST","0135-0615-01","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 CARTON (0135-0615-01)  / 30 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
