"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CHILDRENS FLONASE","0135-0582-04","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0582","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","02/29/2016","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0582-04)  / 72 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"CHILDRENS FLONASE","0135-0582-01","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0582","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","02/29/2016","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0582-01)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"CHILDRENS FLONASE","0135-0582-02","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0582","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","02/29/2016","N/A","NDA","2 BOTTLE in 1 PACKAGE (0135-0582-02)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"CHILDRENS FLONASE","0135-0582-03","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0582","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","06/30/2016","N/A","NDA","1 BOTTLE in 1 CARTON (0135-0582-03)  / 30 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"CHILDRENS FLONASE","0135-0582-05","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0582","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","07/01/2021","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0582-05)  / 90 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-01","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","06/30/2016","N/A","NDA","1 BOTTLE in 1 CARTON (0135-0576-01)  / 30 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-15","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","03/20/2017","N/A","NDA","2 BOTTLE in 1 PACKAGE (0135-0576-15)  / 144 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-16","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","03/20/2017","N/A","NDA","3 BOTTLE in 1 PACKAGE (0135-0576-16)  / 144 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-04","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","01/07/2015","N/A","NDA","3 BOTTLE in 1 PACKAGE (0135-0576-04)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-17","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","01/22/2019","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0576-17)  / 72 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-18","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","07/01/2021","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0576-18)  / 90 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-02","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","12/04/2014","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0576-02)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-12","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","02/29/2016","N/A","NDA","2 BOTTLE in 1 PACKAGE (0135-0576-12)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-14","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","11/17/2016","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0576-14)  / 144 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0576-03","50 ug/1","SPRAY, METERED","NASAL","NDA205434","Haleon US Holdings LLC","0135-0576","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","12/04/2014","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0576-03)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0578-01","325 mg/1,                         2  mg/1,                         5  mg/1","TABLET","ORAL","M012","Haleon US Holdings LLC","0135-0578","acetaminophen, chlorpheniramine maleate, phenylephrine hcl","ACETAMINOPHEN;  CHLORPHENIRAMINE MALEATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","03/10/2022","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 CARTON (0135-0578-01)  / 12 TABLET in 1 BLISTER PACK","Adrenergic alpha1-Agonists [MoA],  Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0578-02","325 mg/1,                         2  mg/1,                         5  mg/1","TABLET","ORAL","M012","Haleon US Holdings LLC","0135-0578","acetaminophen, chlorpheniramine maleate, phenylephrine hcl","ACETAMINOPHEN;  CHLORPHENIRAMINE MALEATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","03/10/2022","N/A","OTC MONOGRAPH DRUG","4 BLISTER PACK in 1 CARTON (0135-0578-02)  / 48 TABLET in 1 BLISTER PACK","Adrenergic alpha1-Agonists [MoA],  Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"FLONASE","0135-0578-03","325 mg/1,                         2  mg/1,                         5  mg/1","TABLET","ORAL","M012","Haleon US Holdings LLC","0135-0578","acetaminophen, chlorpheniramine maleate, phenylephrine hcl","ACETAMINOPHEN;  CHLORPHENIRAMINE MALEATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","03/10/2022","N/A","OTC MONOGRAPH DRUG","8 BLISTER PACK in 1 CARTON (0135-0578-03)  / 96 TABLET in 1 BLISTER PACK","Adrenergic alpha1-Agonists [MoA],  Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-02","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0615-02)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-03","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0615-03)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-01","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","1 BOTTLE in 1 CARTON (0135-0615-01)  / 30 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-04","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","02/01/2017","N/A","NDA","3 BOTTLE in 1 PACKAGE (0135-0615-04)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-06","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","01/22/2019","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0615-06)  / 72 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0615-05","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0615","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","07/01/2017","N/A","NDA","2 BOTTLE in 1 PACKAGE (0135-0615-05)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0616-01","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0616","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","07/01/2017","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0616-01)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","0135-0616-03","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","Haleon US Holdings LLC","0135-0616","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","07/01/2021","N/A","NDA","1 BOTTLE in 1 PACKAGE (0135-0616-03)  / 72 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","50090-5967-0","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","A-S Medication Solutions","50090-5967","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","04/27/2022","N/A","NDA","1 BOTTLE in 1 PACKAGE (50090-5967-0)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"FLONASE SENSIMIST","50090-6075-0","27.5 ug/1","SPRAY, METERED","NASAL","NDA022051","A-S Medication Solutions","50090-6075","fluticasone furoate","FLUTICASONE FUROATE","HUMAN OTC DRUG","09/15/2022","N/A","NDA","1 BOTTLE in 1 PACKAGE (50090-6075-0)  / 120 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
