"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"24 Hour Allergy Nasal","0363-0024-09","50 ug/1","SPRAY, METERED","NASAL","ANDA207957","Walgreen Company","0363-0024","Fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","08/04/2021","N/A","ANDA","1 BOTTLE, SPRAY in 1 CARTON (0363-0024-09)  / 144 SPRAY, METERED in 1 BOTTLE, SPRAY","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"24 Hour Allergy Nasal","0363-0024-08","50 ug/1","SPRAY, METERED","NASAL","ANDA207957","Walgreen Company","0363-0024","Fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","01/28/2020","N/A","ANDA","1 BOTTLE, SPRAY in 1 CARTON (0363-0024-08)  / 72 SPRAY, METERED in 1 BOTTLE, SPRAY","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"365 WHOLE FOODS MARKET FLUTICASONE PROPIONATE","42681-0058-1","50 ug/1","SPRAY, METERED","NASAL","ANDA217088","Whole Foods Market, Inc.","42681-0058","fluticasone propionate","FLUTICASONE PROPIONATE","HUMAN OTC DRUG","01/22/2026","N/A","ANDA","1 BOTTLE in 1 CARTON (42681-0058-1)  / 60 SPRAY, METERED in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"ADVAIR","0173-0695-00","50 ug/1,                         100  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","GlaxoSmithKline LLC","0173-0695","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","02/28/2001","N/A","NDA","1 INHALER in 1 CARTON (0173-0695-00)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR","0173-0696-00","50 ug/1,                         250  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","GlaxoSmithKline LLC","0173-0696","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","02/05/2001","N/A","NDA","1 INHALER in 1 CARTON (0173-0696-00)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR","0173-0697-00","50 ug/1,                         500  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","GlaxoSmithKline LLC","0173-0697","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","03/05/2001","N/A","NDA","1 INHALER in 1 CARTON (0173-0697-00)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR","50090-0730-0","50 ug/1,                         100  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","A-S Medication Solutions","50090-0730","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","NDA","1 INHALER in 1 CARTON (50090-0730-0)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR","50090-0731-0","50 ug/1,                         250  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","A-S Medication Solutions","50090-0731","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","NDA","1 INHALER in 1 CARTON (50090-0731-0)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR","50090-0732-0","50 ug/1,                         500  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","A-S Medication Solutions","50090-0732","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","NDA","1 INHALER in 1 CARTON (50090-0732-0)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR","50090-4505-0","50 ug/1,                         500  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","A-S Medication Solutions","50090-4505","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/04/2019","N/A","NDA","1 INHALER in 1 CARTON (50090-4505-0)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"ADVAIR DISKUS","50090-4310-0","50 ug/1,                         100  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","A-S Medication Solutions","50090-4310","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","05/28/2019","N/A","NDA","1 INHALER in 1 CARTON (50090-4310-0)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"ADVAIR DISKUS","50090-4502-0","50 ug/1,                         250  ug/1","POWDER","RESPIRATORY (INHALATION)","NDA021077","A-S Medication Solutions","50090-4502","fluticasone propionate and salmeterol","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/04/2019","N/A","NDA","1 INHALER in 1 CARTON (50090-4502-0)  / 60 POWDER in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"ADVAIR HFA","0173-0715-22","45 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0715","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/29/2008","N/A","NDA","1 INHALER in 1 CARTON (0173-0715-22)  / 60 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
