"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Evesse","87143-420-04","1 mg/mL","LOTION","TOPICAL","ANDA209556","Perfero Pharma, Inc.","87143-420","hydrocortisone butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","05/04/2026","N/A","ANDA","118 mL in 1 BOTTLE (87143-420-04)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4061-4","1 mg/mL","SOLUTION","TOPICAL","ANDA076364","Sun Pharmaceutical Industries, Inc.","51672-4061","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","01/14/2004","N/A","ANDA","1 BOTTLE in 1 CARTON (51672-4061-4)  / 60 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4061-2","1 mg/mL","SOLUTION","TOPICAL","ANDA076364","Sun Pharmaceutical Industries, Inc.","51672-4061","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","01/14/2004","N/A","ANDA","1 BOTTLE in 1 CARTON (51672-4061-2)  / 20 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4074-1","1 mg/g","CREAM","TOPICAL","ANDA076654","Sun Pharmaceutical Industries, Inc.","51672-4074","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","08/04/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-4074-1)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4074-6","1 mg/g","CREAM","TOPICAL","ANDA076654","Sun Pharmaceutical Industries, Inc.","51672-4074","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","08/04/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-4074-6)  / 45 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4074-7","1 mg/g","CREAM","TOPICAL","ANDA076654","Sun Pharmaceutical Industries, Inc.","51672-4074","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","08/04/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-4074-7)  / 10 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4074-2","1 mg/g","CREAM","TOPICAL","ANDA076654","Sun Pharmaceutical Industries, Inc.","51672-4074","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","08/04/2005","N/A","ANDA","1 TUBE in 1 CARTON (51672-4074-2)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4074-5","1 mg/g","CREAM","TOPICAL","ANDA076654","Sun Pharmaceutical Industries, Inc.","51672-4074","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","08/04/2005","N/A","ANDA","5 g in 1 TUBE (51672-4074-5)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4083-1","1 mg/g","OINTMENT","TOPICAL","ANDA076842","Sun Pharmaceutical Industries, Inc.","51672-4083","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","12/27/2004","N/A","ANDA","1 TUBE in 1 CARTON (51672-4083-1)  / 15 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4083-2","1 mg/g","OINTMENT","TOPICAL","ANDA076842","Sun Pharmaceutical Industries, Inc.","51672-4083","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","12/27/2004","N/A","ANDA","1 TUBE in 1 CARTON (51672-4083-2)  / 30 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4083-7","1 mg/g","OINTMENT","TOPICAL","ANDA076842","Sun Pharmaceutical Industries, Inc.","51672-4083","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","12/27/2004","N/A","ANDA","1 TUBE in 1 CARTON (51672-4083-7)  / 10 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone Butyrate","51672-4083-5","1 mg/g","OINTMENT","TOPICAL","ANDA076842","Sun Pharmaceutical Industries, Inc.","51672-4083","Hydrocortisone Butyrate","HYDROCORTISONE BUTYRATE","HUMAN PRESCRIPTION DRUG","12/27/2004","N/A","ANDA","5 g in 1 TUBE (51672-4083-5)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
