"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Hydrocortisone sodium succinate","60505-6411-0","100 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA219856","Apotex Corp.","60505-6411","Hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","06/19/2026","N/A","ANDA","1 VIAL in 1 CARTON (60505-6411-0)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone sodium succinate","69097-004-67","100 mg/2mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA214050","Cipla USA Inc.","69097-004","Hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","09/25/2024","N/A","ANDA","1 VIAL in 1 CARTON (69097-004-67)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Hydrocortisone sodium succinate","70710-1907-1","100 mg/2mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA217191","Zydus Pharmaceuticals USA Inc.","70710-1907","Hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","05/09/2026","N/A","ANDA","1 VIAL in 1 CARTON (70710-1907-1)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Hydrocortisone sodium succinate","70771-1966-1","100 mg/2mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA217191","Zydus Lifesciences Limited","70771-1966","Hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","05/09/2026","N/A","ANDA","1 VIAL in 1 CARTON (70771-1966-1)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Cortef","0009-0005-01","1000 mg/8mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA009866","Pharmacia & Upjohn Company LLC","0009-0005","hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/27/1955","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (0009-0005-01)  / 8 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Cortef","0009-0011-04","100 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA009866","Pharmacia & Upjohn Company LLC","0009-0011","hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/27/1955","N/A","NDA","25 VIAL, SINGLE-DOSE in 1 CARTON (0009-0011-04)  / 2 mL in 1 VIAL, SINGLE-DOSE (0009-0011-03)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Cortef","0009-0013-05","250 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA009866","Pharmacia & Upjohn Company LLC","0009-0013","hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/27/1955","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (0009-0013-05)  / 2 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Cortef","0009-0013-06","250 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA009866","Pharmacia & Upjohn Company LLC","0009-0013","hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/27/1955","N/A","NDA","25 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-0013-06)  / 2 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Cortef","0009-0016-12","500 mg/4mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA009866","Pharmacia & Upjohn Company LLC","0009-0016","hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/27/1955","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 CARTON (0009-0016-12)  / 4 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Solu-Cortef","0009-0825-01","100 mg/2mL","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","NDA009866","Pharmacia & Upjohn Company LLC","0009-0825","hydrocortisone sodium succinate","HYDROCORTISONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","04/27/1955","N/A","NDA","1 VIAL in 1 CARTON (0009-0825-01)  / 2 mL in 1 VIAL","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
