"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Alrex","24208-353-01","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020803","Bausch & Lomb Incorporated","24208-353","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","03/09/1998","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (24208-353-01)  / 1 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Alrex","24208-353-05","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020803","Bausch & Lomb Incorporated","24208-353","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","03/09/1998","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (24208-353-05)  / 5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Alrex","24208-353-10","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020803","Bausch & Lomb Incorporated","24208-353","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","03/09/1998","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (24208-353-10)  / 10 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Eysuvis","71571-333-83","2.5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA210933","ALCON LABORATORIES, INC.","71571-333","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","11/18/2020","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (71571-333-83)  / 8.3 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Eysuvis","71571-333-24","2.5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA210933","ALCON LABORATORIES, INC.","71571-333","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","11/18/2020","N/A","NDA","2.4 mL in 1 BOTTLE, DROPPER (71571-333-24)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Eysuvis","71571-333-01","2.5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA210933","ALCON LABORATORIES, INC.","71571-333","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (71571-333-01)  / 1 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Inveltys","0065-9307-05","10 mg/mL","SUSPENSION","OPHTHALMIC","NDA210565","Alcon Laboratories, Inc.","0065-9307","Loteprednol Etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","04/16/2026","09/30/2026","NDA","1 BOTTLE, DROPPER in 1 CARTON (0065-9307-05)  / 2.8 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","N/A"
"Inveltys","0065-9307-04","10 mg/mL","SUSPENSION","OPHTHALMIC","NDA210565","Alcon Laboratories, Inc.","0065-9307","Loteprednol Etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","04/16/2026","09/30/2026","NDA","1 BOTTLE, DROPPER in 1 CARTON (0065-9307-04)  / 2.8 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","N/A"
"Inveltys","71571-121-20","10 mg/mL","SUSPENSION","TOPICAL","NDA210565","ALCON LABORATORIES, INC.","71571-121","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","08/22/2018","09/30/2026","NDA","2.8 mL in 1 BOTTLE, DROPPER (71571-121-20)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","N/A"
"Inveltys","71571-121-28","10 mg/mL","SUSPENSION","TOPICAL","NDA210565","ALCON LABORATORIES, INC.","71571-121","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","08/22/2018","09/30/2026","NDA","1 BOTTLE, DROPPER in 1 CARTON (71571-121-28)  / 2.8 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","N/A"
"LOTEMAX","24208-299-15","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020583","Bausch & Lomb Incorporated","24208-299","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","09/03/1998","N/A","NDA","1 BOTTLE in 1 CARTON (24208-299-15)  / 15 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEMAX","24208-299-01","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020583","Bausch & Lomb Incorporated","24208-299","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","12/15/2020","N/A","NDA","1 BOTTLE in 1 CARTON (24208-299-01)  / 1 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"LOTEMAX","24208-299-05","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020583","Bausch & Lomb Incorporated","24208-299","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","09/03/1998","N/A","NDA","1 BOTTLE in 1 CARTON (24208-299-05)  / 5 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEMAX","24208-299-10","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","NDA020583","Bausch & Lomb Incorporated","24208-299","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","09/03/1998","N/A","NDA","1 BOTTLE in 1 CARTON (24208-299-10)  / 10 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Lotemax","24208-443-01","5 mg/g","OINTMENT","OPHTHALMIC","NDA200738","Bausch & Lomb Incorporated","24208-443","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","04/15/2011","N/A","NDA","1 TUBE in 1 CARTON (24208-443-01)  / 1 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Lotemax","24208-443-35","5 mg/g","OINTMENT","OPHTHALMIC","NDA200738","Bausch & Lomb Incorporated","24208-443","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","04/15/2011","N/A","NDA","1 TUBE in 1 CARTON (24208-443-35)  / 3.5 g in 1 TUBE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEMAX","24208-503-48","5 mg/g","GEL","OPHTHALMIC","NDA202872","Bausch & Lomb Incorporated","24208-503","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","10/12/2012","N/A","NDA","1 BOTTLE in 1 CARTON (24208-503-48)  / .5 g in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"LOTEMAX","24208-503-07","5 mg/g","GEL","OPHTHALMIC","NDA202872","Bausch & Lomb Incorporated","24208-503","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","10/12/2012","N/A","NDA","1 BOTTLE in 1 CARTON (24208-503-07)  / 5 g in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEMAX","24208-503-96","5 mg/g","GEL","OPHTHALMIC","NDA202872","Bausch & Lomb Incorporated","24208-503","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","10/12/2012","N/A","NDA","1 BOTTLE in 1 CARTON (24208-503-96)  / 5 g in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2026"
"Lotemax SM","24208-507-01","3.8 mg/g","GEL","OPHTHALMIC","NDA208219","Bausch & Lomb Incorporated","24208-507","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","02/25/2019","N/A","NDA","1 BOTTLE in 1 CARTON (24208-507-01)  / .5 g in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","Yes","12/31/2027"
"Lotemax SM","24208-507-07","3.8 mg/g","GEL","OPHTHALMIC","NDA208219","Bausch & Lomb Incorporated","24208-507","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","02/25/2019","N/A","NDA","1 BOTTLE in 1 CARTON (24208-507-07)  / 5 g in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"LOTEPREDNOL ETABONATE","0574-4080-05","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA215203","Padagis US LLC","0574-4080","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","03/31/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0574-4080-05)  / 5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"LOTEPREDNOL ETABONATE","0574-4080-10","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA215203","Padagis US LLC","0574-4080","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","03/31/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0574-4080-10)  / 10 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"LOTEPREDNOL ETABONATE","0574-4135-05","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA215204","Padagis US LLC","0574-4135","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","01/12/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0574-4135-05)  / 5 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"LOTEPREDNOL ETABONATE","0574-4135-10","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA215204","Padagis US LLC","0574-4135","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","01/12/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0574-4135-10)  / 10 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"LOTEPREDNOL ETABONATE","0574-4135-15","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA215204","Padagis US LLC","0574-4135","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","01/12/2026","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0574-4135-15)  / 15 mL in 1 BOTTLE, DROPPER","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Loteprednol Etabonate","24208-508-01","5 mg/g","GEL","OPHTHALMIC","NDA202872","Bausch & Lomb Incorporated","24208-508","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","02/17/2021","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE in 1 CARTON (24208-508-01)  / 5 g in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEPREDNOL ETABONATE","60219-1362-3","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA217484","Amneal Pharmaceuticals NY LLC","60219-1362","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","05/22/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (60219-1362-3)  / 15 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEPREDNOL ETABONATE","60219-1362-2","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA217484","Amneal Pharmaceuticals NY LLC","60219-1362","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","05/22/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (60219-1362-2)  / 10 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"LOTEPREDNOL ETABONATE","60219-1362-1","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA217484","Amneal Pharmaceuticals NY LLC","60219-1362","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","05/22/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (60219-1362-1)  / 5 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"loteprednol etabonate","60219-1366-3","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA216345","Amneal Pharmaceuticals NY LLC","60219-1366","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","12/18/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (60219-1366-3)  / 5 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"loteprednol etabonate","60219-1367-6","2 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA216345","Amneal Pharmaceuticals NY LLC","60219-1367","loteprednol etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","12/18/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (60219-1367-6)  / 10 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Loteprednol Etabonate","62756-232-55","5 mg/mL","SUSPENSION/ DROPS","OPHTHALMIC","ANDA212450","Sun Pharmaceutical Industries, Inc.","62756-232","Loteprednol Etabonate","LOTEPREDNOL ETABONATE","HUMAN PRESCRIPTION DRUG","05/01/2021","12/31/2026","ANDA","1 BOTTLE in 1 CARTON (62756-232-55)  / 10 mL in 1 BOTTLE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","N/A"
