"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Methylprednisolone Sodium Succinate","0143-9182-01","1 g/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA202691","Hikma Pharmaceuticals USA Inc.","0143-9182","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","01/15/2024","N/A","ANDA","1 VIAL, MULTI-DOSE in 1 CARTON (0143-9182-01)  / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","0143-9753-25","40 mg/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA203125","Hikma Pharmaceuticals USA Inc.","0143-9753","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","09/26/2022","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (0143-9753-25)  / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (0143-9753-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","0143-9754-25","125 mg/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA203125","Hikma Pharmaceuticals USA Inc.","0143-9754","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","09/26/2022","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (0143-9754-25)  / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (0143-9754-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","0143-9850-01","500 mg/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA202691","Hikma Pharmaceuticals USA Inc.","0143-9850","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","01/01/2016","N/A","ANDA","1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, MULTI-DOSE (0143-9850-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","0143-9851-01","1 g/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA202691","Hikma Pharmaceuticals USA Inc.","0143-9851","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","01/01/2016","N/A","ANDA","1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, MULTI-DOSE (0143-9851-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone sodium succinate","43598-127-25","40 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA212396","Dr. Reddy's Laboratories Inc","43598-127","Methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","03/24/2022","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (43598-127-25)  / 1 mL in 1 VIAL, SINGLE-DOSE (43598-127-45)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone sodium succinate","43598-128-11","500 mg/8mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA212396","Dr. Reddy's Laboratories Inc","43598-128","Methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","03/24/2022","N/A","ANDA","1 VIAL, MULTI-DOSE in 1 CARTON (43598-128-11)  / 8 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone sodium succinate","43598-129-25","125 mg/2mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA212396","Dr. Reddy's Laboratories Inc","43598-129","Methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","03/24/2022","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (43598-129-25)  / 2 mL in 1 VIAL, SINGLE-DOSE (43598-129-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone sodium succinate","43598-130-74","1 g/16mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA212396","Dr. Reddy's Laboratories Inc","43598-130","Methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","03/24/2022","N/A","ANDA","1 VIAL, MULTI-DOSE in 1 CARTON (43598-130-74)  / 16 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone Sodium Succinate","55150-262-03","40 mg/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA207667","Eugia US LLC","55150-262","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/15/2015","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (55150-262-03)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
