"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Depo-Medrol","0009-0274-01","20 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0274","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","1 VIAL, MULTI-DOSE in 1 CARTON (0009-0274-01)  / 5 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-0280-03","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0280","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","10 mL in 1 VIAL, MULTI-DOSE (0009-0280-03)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-0280-52","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0280","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","25 VIAL, MULTI-DOSE in 1 PACKAGE (0009-0280-52)  / 10 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-0280-51","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0280","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","25 VIAL, MULTI-DOSE in 1 PACKAGE (0009-0280-51)  / 5 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-0280-02","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0280","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","1 VIAL, MULTI-DOSE in 1 CARTON (0009-0280-02)  / 5 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-0306-02","80 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0306","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","5 mL in 1 VIAL, MULTI-DOSE (0009-0306-02)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-0306-12","80 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-0306","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","25 VIAL, MULTI-DOSE in 1 PACKAGE (0009-0306-12)  / 5 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-3073-03","40 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-3073","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","25 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-3073-03)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-3073-01","40 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-3073","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-3073-01)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-3073-22","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-3073","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-3073-22)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Depo-Medrol","0009-3073-23","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-3073","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","25 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-3073-23)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Depo-Medrol","0009-3475-01","80 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-3475","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-3475-01)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Depo-Medrol","0009-3475-03","80 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","Pharmacia & Upjohn Company LLC","0009-3475","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/28/1959","N/A","NDA","25 VIAL, SINGLE-DOSE in 1 PACKAGE (0009-3475-03)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"DEPO-MEDROL","50090-0436-0","80 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","A-S Medication Solutions","50090-0436","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","06/29/2016","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (50090-0436-0)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"DEPO-MEDROL","50090-0556-0","40 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","A-S Medication Solutions","50090-0556","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","06/29/2016","N/A","NDA","10 mL in 1 VIAL, MULTI-DOSE (50090-0556-0)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"DEPO-MEDROL","50090-1823-0","80 mg/mL","INJECTION, SUSPENSION","INTRALESIONAL; INTRAMUSCULAR; INTRASYNOVIAL; SOFT TISSUE","NDA011757","A-S Medication Solutions","50090-1823","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","05/13/2015","N/A","NDA","5 mL in 1 VIAL, MULTI-DOSE (50090-1823-0)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"DEPO-MEDROL","50090-2098-0","40 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","A-S Medication Solutions","50090-2098","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","10/13/2015","N/A","NDA","1 VIAL, SINGLE-DOSE in 1 PACKAGE (50090-2098-0)  / 1 mL in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Depo-Medrol","76420-081-01","80 mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA011757","Asclemed USA, Inc.","76420-081","methylprednisolone acetate","METHYLPREDNISOLONE ACETATE","HUMAN PRESCRIPTION DRUG","04/09/2020","N/A","NDA","1 mL in 1 VIAL, SINGLE-DOSE (76420-081-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
