"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Alcaftadine","58602-605-40","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA210659","Aurohealth LLC","58602-605","Alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","06/23/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (58602-605-40)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Alcaftadine","58602-605-42","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA210659","Aurohealth LLC","58602-605","Alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","06/23/2023","N/A","ANDA","2 BOTTLE in 1 CARTON (58602-605-42)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"alcaftadine","62332-147-03","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA209290","Alembic Pharmaceuticals Inc.","62332-147","alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","10/02/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (62332-147-03)  / 3 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Alcaftadine","68083-649-01","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA209706","Gland Pharma Limited","68083-649","Alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","03/01/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (68083-649-01)  / 3 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Alcaftadine","68083-649-02","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA209706","Gland Pharma Limited","68083-649","Alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","03/01/2024","N/A","ANDA","2 BOTTLE in 1 CARTON (68083-649-02)  / 3 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"LASTACAFT","0023-4290-01","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022134","Allergan, Inc.","0023-4290","alcaftadine","ALCAFTADINE","HUMAN PRESCRIPTION DRUG","11/01/2010","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (0023-4290-01)  / 1 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"LASTACAFT","0023-4291-01","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022134","Allergan, Inc.","0023-4291","alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","12/01/2021","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (0023-4291-01)  / 1 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","Yes","12/31/2026"
"LASTACAFT","0023-4291-05","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022134","Allergan, Inc.","0023-4291","alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","12/01/2021","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (0023-4291-05)  / 5 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"LASTACAFT","0023-4291-07","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022134","Allergan, Inc.","0023-4291","alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","12/01/2021","N/A","NDA","2 BOTTLE, PLASTIC in 1 CARTON (0023-4291-07)  / 5 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"LASTACAFT","0023-4291-06","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022134","Allergan, Inc.","0023-4291","alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","12/01/2021","N/A","NDA","1 BOTTLE, PLASTIC in 1 CARTON (0023-4291-06)  / 5 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"LASTACAFT","0023-4291-10","2.5 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022134","Allergan, Inc.","0023-4291","alcaftadine","ALCAFTADINE","HUMAN OTC DRUG","12/01/2021","N/A","NDA","2 BOTTLE, PLASTIC in 1 CARTON (0023-4291-10)  / 5 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
