"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Astepro Allergy","0280-0065-03","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","07/05/2022","N/A","NDA","120 PACKAGE in 1 BOTTLE (0280-0065-03)  / 3 SPRAY, METERED in 1 PACKAGE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Astepro Allergy","0280-0065-01","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","07/05/2022","N/A","NDA","60 CARTON in 1 BOTTLE (0280-0065-01)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","Yes","12/31/2026"
"Astepro Allergy","0280-0065-09","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","07/05/2022","N/A","NDA","120 CARTON in 1 BOTTLE (0280-0065-09)  / 2 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Astepro Allergy","0280-0065-10","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","07/05/2022","N/A","NDA","22 CARTON in 1 BOTTLE (0280-0065-10)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Astepro Allergy","0280-0065-04","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","07/05/2022","N/A","NDA","200 CARTON in 1 BOTTLE (0280-0065-04)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Astepro Allergy","0280-0065-02","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","07/05/2022","N/A","NDA","120 CARTON in 1 BOTTLE (0280-0065-02)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Astepro Allergy","0280-0065-05","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0065","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","01/24/2023","N/A","NDA","22 CARTON in 1 BOTTLE (0280-0065-05)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","Yes","12/31/2026"
"Children Astepro Allergy","0280-0066-01","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0066","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","06/30/2022","N/A","NDA","60 CARTON in 1 BOTTLE (0280-0066-01)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","Yes","12/31/2026"
"Children Astepro Allergy","0280-0066-02","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0066","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","06/30/2022","N/A","NDA","120 CARTON in 1 BOTTLE (0280-0066-02)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Children Astepro Allergy","0280-0066-03","205.5 ug/1","SPRAY, METERED","NASAL","NDA213872","Bayer HealthCare LLC.","0280-0066","Azelastine HCl","AZELASTINE HYDROCHLORIDE","HUMAN OTC DRUG","06/30/2022","N/A","NDA","22 CARTON in 1 BOTTLE (0280-0066-03)  / 1 SPRAY, METERED in 1 CARTON","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
