"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Bepotastine Besilate","0378-7055-35","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA206220","Mylan Pharmaceuticals Inc.","0378-7055","Bepotastine Besilate","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","05/28/2021","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0378-7055-35)  / 5 mL in 1 BOTTLE, DROPPER","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","0378-7055-67","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA206220","Mylan Pharmaceuticals Inc.","0378-7055","Bepotastine Besilate","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","05/28/2021","N/A","ANDA","1 BOTTLE, DROPPER in 1 CARTON (0378-7055-67)  / 10 mL in 1 BOTTLE, DROPPER","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","24208-630-05","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022288","Bausch & Lomb Incorporated","24208-630","bepotastine besilate","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","05/28/2021","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (24208-630-05)  / 5 mL in 1 BOTTLE, DROPPER","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","24208-630-10","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022288","Bausch & Lomb Incorporated","24208-630","bepotastine besilate","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","05/28/2021","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (24208-630-10)  / 10 mL in 1 BOTTLE, DROPPER","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","70069-711-01","15 mg/mL","SOLUTION","OPHTHALMIC","ANDA217770","Somerset Therapeutics, LLC","70069-711","Bepotastine Besilate","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","10/10/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (70069-711-01)  / 5 mL in 1 BOTTLE","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","70069-712-01","15 mg/mL","SOLUTION","OPHTHALMIC","ANDA217770","Somerset Therapeutics, LLC","70069-712","Bepotastine Besilate","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","10/10/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (70069-712-01)  / 10 mL in 1 BOTTLE","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","82260-630-05","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022288","Bausch & Lomb Americas Inc.","82260-630","bepotastine besilate","BEPOTASTINE BESYLATE","HUMAN PRESCRIPTION DRUG","05/28/2021","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (82260-630-05)  / 5 mL in 1 BOTTLE, DROPPER","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate","82260-630-10","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA022288","Bausch & Lomb Americas Inc.","82260-630","bepotastine besilate","BEPOTASTINE BESYLATE","HUMAN PRESCRIPTION DRUG","05/28/2021","N/A","NDA AUTHORIZED GENERIC","1 BOTTLE, DROPPER in 1 CARTON (82260-630-10)  / 10 mL in 1 BOTTLE, DROPPER","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate Ophthalmic Solution 1.5%","46708-598-05","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA214588","Alembic Pharmaceuticals Limited","46708-598","Bepotastine Besilate Ophthalmic Solution 1.5%","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","07/18/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (46708-598-05)  / 5 mL in 1 BOTTLE","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Bepotastine Besilate Ophthalmic Solution 1.5%","46708-598-10","15 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA214588","Alembic Pharmaceuticals Limited","46708-598","Bepotastine Besilate Ophthalmic Solution 1.5%","BEPOTASTINE BESILATE","HUMAN PRESCRIPTION DRUG","04/05/2023","N/A","ANDA","1 BOTTLE in 1 CARTON (46708-598-10)  / 10 mL in 1 BOTTLE","Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
