"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Allergy Relief","72090-028-01","10 mg/1","TABLET","ORAL","ANDA077829","Pioneer Life Sciences, LLC","72090-028","Cetirizine HCl","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","10/03/2024","N/A","ANDA","300 TABLET in 1 BOTTLE (72090-028-01)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"AMAZON BASIC CARE ALL DAY ALLERGY RELIEF","72288-691-09","10 mg/1","TABLET","ORAL","ANDA090760","Amazon.com Services LLC","72288-691","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","05/15/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (72288-691-09)  / 30 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"AMAZON BASIC CARE ALL DAY ALLERGY RELIEF","72288-691-19","10 mg/1","TABLET","ORAL","ANDA090760","Amazon.com Services LLC","72288-691","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","05/15/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (72288-691-19)  / 90 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"AMAZON BASIC CARE ALL DAY ALLERGY RELIEF","72288-691-38","10 mg/1","TABLET","ORAL","ANDA090760","Amazon.com Services LLC","72288-691","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","05/15/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (72288-691-38)  / 300 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"AMAZON BASIC CARE ALL DAY ALLERGY RELIEF","72288-691-39","10 mg/1","TABLET","ORAL","ANDA090760","Amazon.com Services LLC","72288-691","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","05/15/2024","N/A","ANDA","1 BOTTLE in 1 CARTON (72288-691-39)  / 365 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Cetirizine Hydrochloride","63941-939-30","10 mg/1","TABLET","ORAL","ANDA077498","Valu Merchandisers Company","63941-939","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/27/2007","N/A","ANDA","30 TABLET in 1 BOTTLE (63941-939-30)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Cetirizine Hydrochloride","63941-939-54","10 mg/1","TABLET","ORAL","ANDA077498","Valu Merchandisers Company","63941-939","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/27/2007","N/A","ANDA","14 TABLET in 1 BLISTER PACK (63941-939-54)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Cetirizine Hydrochloride","63941-939-60","10 mg/1","TABLET","ORAL","ANDA077498","Valu Merchandisers Company","63941-939","Cetirizine Hydrochloride","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/27/2007","N/A","ANDA","60 TABLET in 1 BOTTLE (63941-939-60)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Allergy Relief","72090-028-20","10 mg/1","TABLET","ORAL","ANDA077829","Pioneer Life Sciences, LLC","72090-028","Cetirizine HCl","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","10/26/2023","N/A","ANDA","200 TABLET in 1 BOTTLE (72090-028-20)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"ALLERGY RELIEF","72090-028-03","10 mg/1","TABLET","ORAL","ANDA077829","Pioneer Life Sciences, LLC","72090-028","Cetirizine HCl","CETIRIZINE HYDROCHLORIDE","HUMAN OTC DRUG","06/01/2025","N/A","ANDA","10000 TABLET in 1 DRUM (72090-028-03)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
