"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"TAGAMET","52183-223-30","200 mg/1","TABLET","ORAL","NDA020238","Prestige Brands Holdings, Inc.","52183-223","cimetidine","CIMETIDINE","HUMAN OTC DRUG","02/01/2023","N/A","NDA","3 BLISTER PACK in 1 BOX (52183-223-30)  / 10 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-01","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","1 BLISTER PACK in 1 BOX (63029-222-01)  / 30 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-03","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","1 BLISTER PACK in 1 BOX (63029-222-03)  / 50 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-04","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2019","N/A","NDA","4 BLISTER PACK in 1 BOX (63029-222-04)  / 10 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-02","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","1 BLISTER PACK in 1 BOX (63029-222-02)  / 6 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-06","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","7 BLISTER PACK in 1 BOX (63029-222-06)  / 10 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-09","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","1 BOTTLE in 1 CARTON (63029-222-09)  / 90 TABLET in 1 BOTTLE","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-11","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","1 BOTTLE in 1 CARTON (63029-222-11)  / 100 TABLET in 1 BOTTLE","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-12","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","2 BLISTER PACK in 1 BOX (63029-222-12)  / 6 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-70","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2012","N/A","NDA","1 BOTTLE in 1 CARTON (63029-222-70)  / 70 TABLET in 1 BOTTLE","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-222-05","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-222","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","06/01/2019","N/A","NDA","4 BLISTER PACK in 1 BOX (63029-222-05)  / 9 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Tagamet","63029-223-30","200 mg/1","TABLET","ORAL","NDA020238","Medtech Products Inc.","63029-223","Cimetidine","CIMETIDINE","HUMAN OTC DRUG","02/01/2023","N/A","NDA","3 BLISTER PACK in 1 BOX (63029-223-30)  / 10 TABLET in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
