"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Clarinex","78206-119-01","5 mg/1","TABLET, FILM COATED","ORAL","NDA021165","Organon LLC","78206-119","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","100 TABLET, FILM COATED in 1 BOTTLE (78206-119-01)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Clarinex","78206-188-01","5 mg/1","TABLET, FILM COATED","ORAL","NDA021165","Organon LLC","78206-188","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","08/23/2022","N/A","NDA","100 TABLET, FILM COATED in 1 BOTTLE (78206-188-01)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"CLARINEX-D 12 HOUR","78206-120-01","2.5 mg/1,                         120  mg/1","TABLET, EXTENDED RELEASE","ORAL","NDA021313","Organon LLC","78206-120","desloratadine and pseudoephedrine sulfate","DESLORATADINE;  PSEUDOEPHEDRINE SULFATE","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (78206-120-01)","Adrenergic alpha-Agonists [MoA],  Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Desloratadine","50090-3975-1","5 mg/1","TABLET","ORAL","ANDA078355","A-S Medication Solutions","50090-3975","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","12/06/2018","N/A","ANDA","30 TABLET in 1 BOTTLE (50090-3975-1)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Desloratadine","50090-3975-0","5 mg/1","TABLET","ORAL","ANDA078355","A-S Medication Solutions","50090-3975","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","12/13/2018","N/A","ANDA","90 TABLET in 1 BOTTLE (50090-3975-0)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"DESLORATADINE","50090-4794-0","5 mg/1","TABLET, FILM COATED","ORAL","ANDA078352","A-S Medication Solutions","50090-4794","DESLORATADINE","DESLORATADINE","HUMAN PRESCRIPTION DRUG","12/12/2019","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (50090-4794-0)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"DESLORATADINE","50090-6724-0","5 mg/1","TABLET, FILM COATED","ORAL","ANDA078352","A-S Medication Solutions","50090-6724","DESLORATADINE","DESLORATADINE","HUMAN PRESCRIPTION DRUG","10/05/2023","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (50090-6724-0)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Desloratadine","55111-360-31","5 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","ANDA078367","Dr. Reddy's Laboratories Limited","55111-360","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","01/11/2013","N/A","ANDA","5 BLISTER PACK in 1 CARTON (55111-360-31)  / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Desloratadine","55111-360-06","5 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","ANDA078367","Dr. Reddy's Laboratories Limited","55111-360","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","01/11/2013","N/A","ANDA","6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (55111-360-06)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Desloratadine","55111-551-06","2.5 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","ANDA078367","Dr. Reddy's Laboratories Limited","55111-551","Desloratadine","DESLORATADINE","HUMAN PRESCRIPTION DRUG","01/11/2013","N/A","ANDA","6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK (55111-551-06)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
