"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"DRAMAMINE","63029-906-12","25 mg/1","TABLET, CHEWABLE","ORAL","M009","Medtech Products Inc.","63029-906","MECLIZINE HYDROCHLORIDE","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","02/15/2019","N/A","OTC MONOGRAPH DRUG","12 TABLET, CHEWABLE in 1 BLISTER PACK (63029-906-12)","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2026"
"DRAMAMINE","63029-912-04","50 mg/1","POWDER","ORAL","M009","Medtech Products Inc.","63029-912","MECLIZINE HYDROCHLORIDE","MECLIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","02/02/2026","N/A","OTC MONOGRAPH DRUG","4 POWDER in 1 BOX (63029-912-04)","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2026"
"DRAMAMINE","63029-913-12","25 mg/1","TABLET, CHEWABLE","ORAL","M009","Medtech Products Inc.","63029-913","MECLIZINE HYDROCHLORIDE","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","02/02/2026","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 BOX (63029-913-12)  / 12 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2026"
"DRAMAMINE","63029-914-12","25 mg/1","TABLET, CHEWABLE","ORAL","M009","Medtech Products Inc.","63029-914","MECLIZINE HYDROCHLORIDE","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","02/02/2026","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 BOX (63029-914-12)  / 12 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2026"
"Dramamine","66715-9809-1","50 mg/1","TABLET, CHEWABLE","ORAL","M009","Lil' Drug Store Products, Inc.","66715-9809","Dimenhydrinate","DIMENHYDRINATE","HUMAN OTC DRUG","08/26/2016","N/A","OTC MONOGRAPH DRUG","1 POUCH in 1 CARTON (66715-9809-1)  / 2 TABLET, CHEWABLE in 1 POUCH","N/A","N/A","No","12/31/2026"
"Dramamine","66715-9809-2","50 mg/1","TABLET, CHEWABLE","ORAL","M009","Lil' Drug Store Products, Inc.","66715-9809","Dimenhydrinate","DIMENHYDRINATE","HUMAN OTC DRUG","05/16/2022","N/A","OTC MONOGRAPH DRUG","2 POUCH in 1 CARTON (66715-9809-2)  / 2 TABLET, CHEWABLE in 1 POUCH","N/A","N/A","No","12/31/2026"
"Dramamine","66715-9809-7","50 mg/1","TABLET, CHEWABLE","ORAL","M009","Lil' Drug Store Products, Inc.","66715-9809","Dimenhydrinate","DIMENHYDRINATE","HUMAN OTC DRUG","04/19/2022","N/A","OTC MONOGRAPH DRUG","25 POUCH in 1 BOX, UNIT-DOSE (66715-9809-7)  / 2 TABLET, CHEWABLE in 1 POUCH","N/A","N/A","No","12/31/2026"
"DRAMAMINE - N","63029-905-10","25 mg/1","TABLET","ORAL","M009","Medtech Products Inc.","63029-905","MECLIZINE HYDROCHLORIDE","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","01/15/2018","N/A","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 BOX (63029-905-10)  / 5 TABLET in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2026"
"Dramamine Chewable Dimenhydrinate","50269-525-00","50 mg/1","TABLET, CHEWABLE","ORAL","M009","JC World Bell Wholesale Co., Inc.","50269-525","DIMENHYDRINATE","DIMENHYDRINATE","HUMAN OTC DRUG","01/15/2012","N/A","OTC MONOGRAPH DRUG","2 PACKET in 1 BOX (50269-525-00)  / 20 TABLET, CHEWABLE in 1 PACKET","N/A","N/A","No","12/31/2026"
"DRAMAMINE CHEWABLE ORANGE","63029-915-08","25 mg/1","TABLET, CHEWABLE","ORAL","M009","Medtech Products Inc.","63029-915","MECLIZINE HYDROCHLORIDE","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","08/01/2026","N/A","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 BOX (63029-915-08)  / 4 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2027"
"Dramamine for Kids","63029-904-01","25 mg/1","TABLET, CHEWABLE","ORAL","M009","Medtech Products Inc.","63029-904","Dimenhydrinate","DIMENHYDRINATE","HUMAN OTC DRUG","02/15/2012","05/01/2028","OTC MONOGRAPH DRUG","1 CASE in 1 BLISTER PACK (63029-904-01)  / 8 TABLET, CHEWABLE in 1 CASE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","N/A"
