"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Vicks ZzzQuil","37000-598-12","50 mg/30mL,                         1000  mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","37000-598","Diphenhydramine HCl, Acetaminophen","ACETAMINOPHEN;  DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","06/01/2020","N/A","OTC MONOGRAPH DRUG","354 mL in 1 BOTTLE (37000-598-12)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Vicks ZzzQuil","37000-598-24","50 mg/30mL,                         1000  mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","37000-598","Diphenhydramine HCl, Acetaminophen","ACETAMINOPHEN;  DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","06/01/2020","N/A","OTC MONOGRAPH DRUG","2 BOTTLE in 1 CARTON (37000-598-24)  / 354 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Vicks ZzzQuil","37000-974-60","25 mg/1,                         500  mg/1","TABLET, COATED","ORAL","M010","The Procter & Gamble Manufacturing Company","37000-974","Diphenhydramine Hydrochloride and Acetaminophen","ACETAMINOPHEN;  DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","06/01/2020","01/29/2027","OTC MONOGRAPH DRUG","1 BOTTLE in 1 CARTON (37000-974-60)  / 60 TABLET, COATED in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","N/A"
"VICKS ZzzQuil","69423-795-12","50 mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","69423-795","Diphenhydramine Hydrochloride","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","04/19/2021","N/A","OTC MONOGRAPH DRUG","354 mL in 1 BOTTLE, PLASTIC (69423-795-12)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"VICKS ZzzQuil","69423-812-12","50 mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","69423-812","Diphenhydramine HCl","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","10/11/2021","N/A","OTC MONOGRAPH DRUG","354 mL in 1 BOTTLE, PLASTIC (69423-812-12)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"VICKS ZzzQuil","69423-812-24","50 mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","69423-812","Diphenhydramine HCl","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","10/11/2021","N/A","OTC MONOGRAPH DRUG","2 BOTTLE, PLASTIC in 1 CARTON (69423-812-24)  / 354 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Vicks ZzzQuil","69423-830-12","50 mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","69423-830","Diphenhydramine HCl","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","02/06/2024","N/A","OTC MONOGRAPH DRUG","354 mL in 1 BOTTLE, PLASTIC (69423-830-12)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Vicks ZzzQuil","69423-830-24","50 mg/30mL","LIQUID","ORAL","M010","The Procter & Gamble Manufacturing Company","69423-830","Diphenhydramine HCl","DIPHENHYDRAMINE HYDROCHLORIDE","HUMAN OTC DRUG","02/06/2024","N/A","OTC MONOGRAPH DRUG","2 BOTTLE, PLASTIC in 1 CARTON (69423-830-24)  / 354 mL in 1 BOTTLE, PLASTIC","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Vicks ZzzQuil","69423-902-32","25 mg/1","TABLET","ORAL","ANDA040167","The Procter & Gamble Manufacturing Company","69423-902","Doxylamine succinate","DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","10/16/2023","N/A","ANDA","32 POUCH in 1 CARTON (69423-902-32)  / 1 TABLET in 1 POUCH","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Vicks ZzzQuil","69423-902-01","25 mg/1","TABLET","ORAL","ANDA040167","The Procter & Gamble Manufacturing Company","69423-902","Doxylamine succinate","DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","10/16/2023","N/A","ANDA","1 TABLET in 1 POUCH (69423-902-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
