"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"24-7 Life BY 7-ELEVEN Nighttime Cold and Flu","66715-6416-4","30 mg/30mL,                         650  mg/30mL,                         12.5  mg/30mL","SOLUTION","ORAL","M012","Lil' Drug Store products, Inc.","66715-6416","acetaminophen, dextromethorphan hbr, doxylamine succinate solution","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","04/19/2022","12/02/2028","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE, PLASTIC (66715-6416-4)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","N/A"
"Acetaminophen, Dextromethorphan HBr and Doxylamine Succinate","35916-0185-2","325 mg/1,                         6.25  mg/1,                         10  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Private Limited","35916-0185","Acetaminophen, Dextromethorphan HBr and Doxylamine Succinate","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","05/17/2025","N/A","OTC MONOGRAPH DRUG","3000 CAPSULE, LIQUID FILLED in 1 POUCH (35916-0185-2)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan HBr and Doxylamine Succinate","35916-0185-4","325 mg/1,                         6.25  mg/1,                         10  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Private Limited","35916-0185","Acetaminophen, Dextromethorphan HBr and Doxylamine Succinate","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","01/16/2026","N/A","OTC MONOGRAPH DRUG","2 BAG in 1 BOX (35916-0185-4)  / 1500 CAPSULE, LIQUID FILLED in 1 BAG","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan HBr and Doxylamine Succinate","35916-0185-3","325 mg/1,                         6.25  mg/1,                         10  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Private Limited","35916-0185","Acetaminophen, Dextromethorphan HBr and Doxylamine Succinate","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","09/25/2025","N/A","OTC MONOGRAPH DRUG","2 POUCH in 1 BOX (35916-0185-3)  / 2000 CAPSULE, LIQUID FILLED in 1 POUCH","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan Hydrobromide and Doxylamine Succinate","35916-0154-1","325 mg/1,                         6.25  mg/1,                         15  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Private Limited","35916-0154","Acetaminophen, Dextromethorphan Hydrobromide and Doxylamine Succinate","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","09/27/2024","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 CARTON (35916-0154-1)  / 12 CAPSULE, LIQUID FILLED in 1 BLISTER PACK","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan Hydrobromide and Doxylamine Succinate","35916-0189-1","325 mg/1,                         10  mg/1,                         6.25  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","SOFTGEL HEALTHCARE PRIVATE LIMITED","35916-0189","Acetaminophen, Dextromethorphan Hydrobromide and Doxylamine Succinate","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","04/04/2025","N/A","OTC MONOGRAPH DRUG","1000 CAPSULE, LIQUID FILLED in 1 BAG (35916-0189-1)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","35916-0167-1","325 mg/1,                         10  mg/1,                         5  mg/1,                         6.25  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","SOFTGEL HEALTHCARE PRIVATE LIMITED","35916-0167","Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","08/22/2024","N/A","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 CARTON (35916-0167-1)  / 12 CAPSULE, LIQUID FILLED in 1 BLISTER PACK","Adrenergic alpha1-Agonists [MoA],  Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","35916-0186-1","325 mg/1,                         10  mg/1,                         5  mg/1,                         6.25  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Pvt Ltd","35916-0186","Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","06/11/2025","N/A","OTC MONOGRAPH DRUG","2 POUCH in 1 BOX (35916-0186-1)  / 3000 CAPSULE, LIQUID FILLED in 1 POUCH","Adrenergic alpha1-Agonists [MoA],  Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","35916-0186-3","325 mg/1,                         10  mg/1,                         5  mg/1,                         6.25  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Pvt Ltd","35916-0186","Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","01/12/2026","N/A","OTC MONOGRAPH DRUG","2 BAG in 1 BOX (35916-0186-3)  / 1500 CAPSULE, LIQUID FILLED in 1 BAG","Adrenergic alpha1-Agonists [MoA],  Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","35916-0186-2","325 mg/1,                         10  mg/1,                         5  mg/1,                         6.25  mg/1","CAPSULE, LIQUID FILLED","ORAL","M012","Softgel Healthcare Pvt Ltd","35916-0186","Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate and Phenylephrine Hydrochloride","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  DOXYLAMINE SUCCINATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","09/25/2025","N/A","OTC MONOGRAPH DRUG","2 POUCH in 1 BOX (35916-0186-2)  / 2000 CAPSULE, LIQUID FILLED in 1 POUCH","Adrenergic alpha1-Agonists [MoA],  Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
