"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Alaway","24208-601-90",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","Bausch & Lomb Incorporated","24208-601","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","12/01/2006","N/A","NDA","2 BOTTLE, DROPPER in 1 CARTON (24208-601-90)  / 10 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Alaway","24208-601-05",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","Bausch & Lomb Incorporated","24208-601","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","12/01/2006","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (24208-601-05)  / 5 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Alaway","24208-601-10",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","Bausch & Lomb Incorporated","24208-601","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","12/01/2006","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (24208-601-10)  / 10 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Equate Eye Itch Relief","49035-231-10",".25 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Wal-Mart Stores, Inc.","49035-231","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","01/01/2016","N/A","NDA","1 BOTTLE in 1 CARTON (49035-231-10)  / 10 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Equate Eye Itch Relief","49035-231-11",".25 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Wal-Mart Stores, Inc.","49035-231","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","07/02/2018","N/A","NDA","2 BOTTLE in 1 CARTON (49035-231-11)  / 10 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Releif","11822-5533-1",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","Rite Aid Corporation","11822-5533","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","04/01/2022","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (11822-5533-1)  / 10 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Relief","0363-0038-05",".35 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Walgreen Company","0363-0038","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","09/03/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0363-0038-05)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2027"
"Eye Itch Relief","0363-0038-10",".35 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Walgreen Company","0363-0038","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","09/03/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0363-0038-10)  / 10 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2027"
"Eye Itch Relief","11673-064-05",".25 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Target Corporation","11673-064","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","01/02/2014","N/A","NDA","1 BOTTLE in 1 CARTON (11673-064-05)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Relief","21130-601-05",".25 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Safeway","21130-601","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","08/20/2014","N/A","NDA","1 BOTTLE in 1 CARTON (21130-601-05)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Relief","30142-398-05",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","Kroger Company","30142-398","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","06/01/2022","N/A","NDA","1 BOTTLE in 1 CARTON (30142-398-05)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Relief","36800-097-05",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","TOPCO ASSOCIATES LLC","36800-097","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","03/15/2022","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (36800-097-05)  / 5 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Relief","50090-7253-0",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","A-S Medication Solutions","50090-7253","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","09/24/2024","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (50090-7253-0)  / 5 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2026"
"Eye Itch Relief","50804-601-05",".25 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","NDA021996","PERRIGO DIRECT INC.","50804-601","Ketotifen Fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","04/01/2024","N/A","NDA","1 BOTTLE, DROPPER in 1 CARTON (50804-601-05)  / 5 mL in 1 BOTTLE, DROPPER","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2027"
"Eye Itch Relief","67296-2245-5",".25 mg/mL","SOLUTION","OPHTHALMIC","NDA021996","Redpharm Drug","67296-2245","ketotifen fumarate","KETOTIFEN FUMARATE","HUMAN OTC DRUG","08/07/2020","N/A","NDA","1 BOTTLE in 1 CARTON (67296-2245-5)  / 5 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Inhibitor [EPC]","N/A","No","12/31/2027"
