"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Childrens Xyzal Allergy","41167-3533-0","2.5 mg/5mL","SOLUTION","ORAL","NDA209090","Chattem, Inc.","41167-3533","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","01/04/2024","N/A","NDA","1 BOTTLE in 1 CARTON (41167-3533-0)  / 148 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Childrens Xyzal Allergy","41167-3533-1","2.5 mg/5mL","SOLUTION","ORAL","NDA209090","Chattem, Inc.","41167-3533","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","01/01/2026","N/A","NDA","1 BOTTLE in 1 CARTON (41167-3533-1)  / 295 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Childrens Xyzal Allergy","41167-3535-0","2.5 mg/5mL","SOLUTION","ORAL","NDA209090","Chattem, Inc.","41167-3535","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","02/01/2023","N/A","NDA","1 BOTTLE in 1 CARTON (41167-3535-0)  / 148 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Childrens Xyzal Allergy","41167-3535-1","2.5 mg/5mL","SOLUTION","ORAL","NDA209090","Chattem, Inc.","41167-3535","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","04/01/2023","N/A","NDA","1 BOTTLE in 1 CARTON (41167-3535-1)  / 296 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Xyzal","41167-5803-9","5 mg/1","TABLET, FILM COATED","ORAL","NDA022064","Chattem, Inc.","41167-5803","levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/24/2017","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (41167-5803-9)","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Xyzal","41167-5804-5",".5 mg/mL","SOLUTION","ORAL","NDA022064","Chattem, Inc.","41167-5804","levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/24/2017","N/A","NDA","1 BOTTLE in 1 CARTON (41167-5804-5)  / 148 mL in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Xyzal Allergy 24HR","41167-3510-3","5 mg/1","TABLET","ORAL","NDA209089","Chattem, Inc.","41167-3510","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","03/10/2017","N/A","NDA","1 BOTTLE in 1 CARTON (41167-3510-3)  / 80 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Xyzal Allergy 24HR","41167-3510-5","5 mg/1","TABLET","ORAL","NDA209089","Chattem, Inc.","41167-3510","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","01/04/2024","N/A","NDA","1 BOTTLE in 1 CARTON (41167-3510-5)  / 45 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Xyzal Allergy 24HR","41167-3510-4","5 mg/1","TABLET","ORAL","NDA209089","Chattem, Inc.","41167-3510","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","03/10/2017","N/A","NDA","2 BOTTLE in 1 CARTON (41167-3510-4)  / 55 TABLET in 1 BOTTLE","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
"Xyzal Allergy 24HR","41167-3510-6","5 mg/1","TABLET","ORAL","NDA209089","Chattem, Inc.","41167-3510","Levocetirizine dihydrochloride","LEVOCETIRIZINE DIHYDROCHLORIDE","HUMAN OTC DRUG","11/15/2018","N/A","NDA","1 BLISTER PACK in 1 CARTON (41167-3510-6)  / 5 TABLET in 1 BLISTER PACK","Histamine H1 Receptor Antagonists [MoA],  Histamine-1 Receptor Antagonist [EPC]","N/A","No","12/31/2027"
