"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Children Claritin","11523-4360-1","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","05/26/2015","N/A","NDA","1 BOTTLE in 1 CARTON (11523-4360-1)  / 60 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Children Claritin","11523-4360-2","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","09/25/2015","N/A","NDA","1 BOTTLE in 1 CARTON (11523-4360-2)  / 120 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Children Claritin","11523-4360-3","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","01/01/2016","N/A","NDA","1 BOTTLE in 1 CARTON (11523-4360-3)  / 150 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Children Claritin","11523-4360-4","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","11/01/2015","N/A","NDA","1 BOTTLE in 1 CARTON (11523-4360-4)  / 30 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Children Claritin","11523-4360-5","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","05/26/2015","N/A","NDA","1 BOTTLE in 1 CARTON (11523-4360-5)  / 240 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Children Claritin","11523-4360-6","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","10/05/2015","N/A","NDA","1 BOTTLE in 1 CARTON (11523-4360-6)  / 180 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Children Claritin","11523-4360-7","5 mg/5mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-4360","loratadine","LORATADINE","HUMAN OTC DRUG","03/01/2016","N/A","NDA","2 BOTTLE in 1 CARTON (11523-4360-7)  / 180 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-3","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","30 TABLET in 1 BOTTLE (11523-0007-3)","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-2","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","2 BLISTER PACK in 1 CARTON (11523-0007-2)  / 10 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-1","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","1 BLISTER PACK in 1 CARTON (11523-0007-1)  / 10 TABLET in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-5","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","45 TABLET in 1 BOTTLE (11523-0007-5)","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-7","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","85 TABLET in 1 BOTTLE (11523-0007-7)","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-8","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","07/30/2021","N/A","ANDA","2 BOTTLE in 1 CARTON (11523-0007-8)  / 115 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-4","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","40 TABLET in 1 BOTTLE (11523-0007-4)","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-9","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","03/16/2022","N/A","ANDA","60 TABLET in 1 BOTTLE (11523-0007-9)","N/A","N/A","No","12/31/2026"
"Claritin","11523-0007-6","10 mg/1","TABLET","ORAL","ANDA075209","Bayer HealthCare LLC.","11523-0007","loratadine","LORATADINE","HUMAN OTC DRUG","12/01/2020","N/A","ANDA","70 TABLET in 1 BOTTLE (11523-0007-6)","N/A","N/A","No","12/31/2026"
"Claritin","11523-0101-1","1 mg/mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-0101","loratadine","LORATADINE","HUMAN OTC DRUG","06/28/2024","N/A","NDA","1 BOTTLE in 1 CARTON (11523-0101-1)  / 30 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Claritin","11523-0101-2","1 mg/mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-0101","loratadine","LORATADINE","HUMAN OTC DRUG","06/28/2024","N/A","NDA","1 BOTTLE in 1 CARTON (11523-0101-2)  / 80 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Claritin","11523-0101-3","1 mg/mL","SOLUTION","ORAL","NDA020641","Bayer HealthCare LLC.","11523-0101","loratadine","LORATADINE","HUMAN OTC DRUG","06/28/2024","N/A","NDA","1 BOTTLE in 1 CARTON (11523-0101-3)  / 240 mL in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Claritin","11523-0104-4","5 mg/1","TABLET, CHEWABLE","ORAL","ANDA210033","Bayer HealthCare LLC.","11523-0104","Loratadine","LORATADINE","HUMAN OTC DRUG","02/08/2023","N/A","ANDA","4 BLISTER PACK in 1 CARTON (11523-0104-4)  / 10 TABLET, CHEWABLE in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
