"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"24 / 7 Life Non-Drowsy Allergy Relief","29485-5515-1","10 mg/1","TABLET","ORAL","ANDA210722","Lil' Drug Store Products, Inc.","29485-5515","loratadine tablet","LORATADINE","HUMAN OTC DRUG","10/24/2022","05/08/2027","ANDA","10 BLISTER PACK in 1 CARTON (29485-5515-1)  / 10 TABLET in 1 BLISTER PACK","N/A","N/A","No","N/A"
"24 / 7 Life Non-Drowsy Allergy Relief","29485-8156-6","10 mg/1","TABLET","ORAL","ANDA210722","Lil' Drug Store Products, Inc.","29485-8156","loratadine tablet","LORATADINE","HUMAN OTC DRUG","12/17/2020","05/08/2027","ANDA","6 BLISTER PACK in 1 CARTON (29485-8156-6)  / 6 TABLET in 1 BLISTER PACK","N/A","N/A","No","N/A"
"365 Whole Foods Market Loratadine","42681-0053-2","10 mg/1","TABLET","ORAL","ANDA208314","Whole Foods Market, Inc.","42681-0053","Loratadine","LORATADINE","HUMAN OTC DRUG","04/25/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (42681-0053-2)  / 90 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"365 Whole Foods Market Loratadine","42681-0053-1","10 mg/1","TABLET","ORAL","ANDA208314","Whole Foods Market, Inc.","42681-0053","Loratadine","LORATADINE","HUMAN OTC DRUG","04/25/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (42681-0053-1)  / 30 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2026"
"Alavert","69536-190-60","10 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","ANDA213294","Foundation Consumer Healthcare","69536-190","LORATADINE","LORATADINE","HUMAN OTC DRUG","05/15/2024","N/A","ANDA","60 BLISTER PACK in 1 CARTON (69536-190-60)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
"Alavert","69536-195-60","10 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","ANDA213294","Foundation Consumer Healthcare","69536-195","LORATADINE","LORATADINE","HUMAN OTC DRUG","10/31/2024","N/A","ANDA","60 BLISTER PACK in 1 CARTON (69536-195-60)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
"Alavert","69536-195-20","10 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","ANDA213294","Foundation Consumer Healthcare","69536-195","LORATADINE","LORATADINE","HUMAN OTC DRUG","10/31/2024","N/A","ANDA","20 BLISTER PACK in 1 CARTON (69536-195-20)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
"Alavert","80070-100-24","5 mg/1,                         120  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA076050","Foundation Consumer Brands","80070-100","LORATADINE and PSEUDOEPHEDRINE SULFATE","LORATADINE;  PSEUDOEPHEDRINE SULFATE","HUMAN OTC DRUG","12/15/2021","N/A","ANDA","4 BLISTER PACK in 1 CARTON (80070-100-24)  / 6 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Alavert","80070-100-12","5 mg/1,                         120  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA076050","Foundation Consumer Brands","80070-100","LORATADINE and PSEUDOEPHEDRINE SULFATE","LORATADINE;  PSEUDOEPHEDRINE SULFATE","HUMAN OTC DRUG","12/15/2021","N/A","ANDA","2 BLISTER PACK in 1 CARTON (80070-100-12)  / 6 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Alavert","80070-110-60","10 mg/1","TABLET, ORALLY DISINTEGRATING","ORAL","NDA021375","Foundation Consumer Brands","80070-110","LORATADINE","LORATADINE","HUMAN OTC DRUG","04/02/2021","10/31/2026","NDA","60 BLISTER PACK in 1 CARTON (80070-110-60)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","N/A","N/A","No","N/A"
