"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"BONINE","65197-275-08","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-275","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/15/2014","12/31/2026","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 BOX (65197-275-08)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-275-12","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-275","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/15/2014","12/31/2026","OTC MONOGRAPH DRUG","1 BOTTLE in 1 BOX (65197-275-12)  / 12 TABLET, CHEWABLE in 1 BOTTLE","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-275-16","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-275","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/15/2014","12/31/2026","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 BOX (65197-275-16)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-275-02","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-275","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","12/15/2014","12/31/2026","OTC MONOGRAPH DRUG","2 TABLET, CHEWABLE in 1 POUCH (65197-275-02)","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-296-08","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-296","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","02/15/2023","12/31/2026","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 BOX (65197-296-08)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-296-12","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-296","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","02/15/2023","10/31/2026","OTC MONOGRAPH DRUG","1 BOTTLE in 1 BOX (65197-296-12)  / 12 TABLET, CHEWABLE in 1 BOTTLE","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-296-24","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-296","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","05/01/2023","12/31/2026","OTC MONOGRAPH DRUG","3 BLISTER PACK in 1 CARTON (65197-296-24)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-296-16","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-296","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","02/15/2023","12/31/2026","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 BOX (65197-296-16)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","N/A"
"BONINE","65197-297-08","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-297","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","04/01/2025","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 BOX (65197-297-08)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2027"
"BONINE","65197-297-12","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-297","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","04/01/2025","N/A","OTC MONOGRAPH DRUG","1 BOTTLE in 1 BOX (65197-297-12)  / 12 TABLET, CHEWABLE in 1 BOTTLE","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2027"
"BONINE","65197-297-16","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-297","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","04/01/2025","N/A","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 BOX (65197-297-16)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2027"
"BONINE","65197-297-24","25 mg/1","TABLET, CHEWABLE","ORAL","M009","WellSpring Pharmaceutical Corporation","65197-297","meclizine hydrochloride","MECLIZINE HYDROCHLORIDE","HUMAN OTC DRUG","04/01/2025","N/A","OTC MONOGRAPH DRUG","3 BLISTER PACK in 1 CARTON (65197-297-24)  / 8 TABLET, CHEWABLE in 1 BLISTER PACK","Antiemetic [EPC],  Emesis Suppression [PE]","N/A","No","12/31/2027"
