"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Nizatidine","0591-3137-60","150 mg/1","CAPSULE","ORAL","ANDA075616","Actavis Pharma, Inc.","0591-3137","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","07/09/2002","N/A","ANDA","60 CAPSULE in 1 BOTTLE, PLASTIC (0591-3137-60)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","0591-3138-30","300 mg/1","CAPSULE","ORAL","ANDA075616","Actavis Pharma, Inc.","0591-3138","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","07/09/2002","N/A","ANDA","30 CAPSULE in 1 BOTTLE, PLASTIC (0591-3138-30)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","42806-299-30","150 mg/1","CAPSULE","ORAL","ANDA076178","Epic Pharma, LLC","42806-299","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","10/25/2024","N/A","ANDA","30 CAPSULE in 1 BOTTLE (42806-299-30)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","42806-299-60","150 mg/1","CAPSULE","ORAL","ANDA076178","Epic Pharma, LLC","42806-299","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","10/25/2024","N/A","ANDA","60 CAPSULE in 1 BOTTLE (42806-299-60)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","42806-300-30","300 mg/1","CAPSULE","ORAL","ANDA076178","Epic Pharma, LLC","42806-300","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","10/25/2024","N/A","ANDA","30 CAPSULE in 1 BOTTLE (42806-300-30)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","42806-300-60","300 mg/1","CAPSULE","ORAL","ANDA076178","Epic Pharma, LLC","42806-300","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","10/25/2024","N/A","ANDA","60 CAPSULE in 1 BOTTLE (42806-300-60)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-310-30","150 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-310","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","30 CAPSULE in 1 BOTTLE (55111-310-30)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-310-01","150 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-310","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","100 CAPSULE in 1 BOTTLE (55111-310-01)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-310-60","150 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-310","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","60 CAPSULE in 1 BOTTLE (55111-310-60)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-310-05","150 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-310","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","500 CAPSULE in 1 BOTTLE (55111-310-05)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-310-78","150 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-310","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","10 BLISTER PACK in 1 CARTON (55111-310-78)  / 10 CAPSULE in 1 BLISTER PACK (55111-310-79)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-311-01","300 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-311","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","100 CAPSULE in 1 BOTTLE (55111-311-01)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-311-30","300 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-311","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","30 CAPSULE in 1 BOTTLE (55111-311-30)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-311-05","300 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-311","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","500 CAPSULE in 1 BOTTLE (55111-311-05)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-311-60","300 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-311","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","60 CAPSULE in 1 BOTTLE (55111-311-60)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Nizatidine","55111-311-78","300 mg/1","CAPSULE","ORAL","ANDA077314","Dr Reddy's Laboratories Limited","55111-311","Nizatidine","NIZATIDINE","HUMAN PRESCRIPTION DRUG","09/15/2005","N/A","ANDA","10 BLISTER PACK in 1 CARTON (55111-311-78)  / 10 CAPSULE in 1 BLISTER PACK (55111-311-79)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"NIZATIDINE","60846-301-15","15 mg/mL","SOLUTION","ORAL","ANDA090576","Amneal Pharmaceuticals LLC","60846-301","NIZATIDINE","NIZATIDINE","HUMAN PRESCRIPTION DRUG","08/12/2016","N/A","ANDA","480 mL in 1 BOTTLE (60846-301-15)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
