"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Aprodine","0904-7302-24","60 mg/1,                         2.5  mg/1","TABLET, FILM COATED","ORAL","M012","Major Pharmaceuticals","0904-7302","Pseudoephedrine HCl, Triprolidine HCl","PSEUDOEPHEDRINE HYDROCHLORIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","11/11/2022","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 CARTON (0904-7302-24)  / 24 TABLET, FILM COATED in 1 BLISTER PACK","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Aprodine","0904-7302-60","60 mg/1,                         2.5  mg/1","TABLET, FILM COATED","ORAL","M012","Major Pharmaceuticals","0904-7302","Pseudoephedrine HCl, Triprolidine HCl","PSEUDOEPHEDRINE HYDROCHLORIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","11/11/2022","N/A","OTC MONOGRAPH DRUG","1 BOTTLE, PLASTIC in 1 CARTON (0904-7302-60)  / 100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"APRODINE","50090-7085-2","60 mg/1,                         2.5  mg/1","TABLET, FILM COATED","ORAL","M012","A-S Medication Solutions","50090-7085","Pseudoephedrine HCl, Triprolidine HCl","PSEUDOEPHEDRINE HYDROCHLORIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","02/05/2024","N/A","OTC MONOGRAPH DRUG","1 BLISTER PACK in 1 CARTON (50090-7085-2)  / 24 TABLET, FILM COATED in 1 BLISTER PACK","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Childrens PediaClear PD","58809-651-50","1.25 mg/2mL","LIQUID","ORAL","M012","GM Pharmaceuticals, INC","58809-651","TRIPROLIDINE HYDROCHLORIDE","TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","07/01/2019","N/A","OTC MONOGRAPH DRUG","50 mL in 1 BOTTLE, DROPPER (58809-651-50)","N/A","N/A","No","12/31/2026"
"Cold and Allergy D","0363-0287-22","60 mg/1,                         2.5  mg/1","TABLET, FILM COATED","ORAL","M012","Walgreen Company","0363-0287","Pseudoephedrine HCl, Triprolidine HCl","PSEUDOEPHEDRINE HYDROCHLORIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","11/29/2022","N/A","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 CARTON (0363-0287-22)  / 24 TABLET, FILM COATED in 1 BLISTER PACK","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Cold and Flu","0363-4278-45","","KIT","","M012","Walgreen Company","0363-4278","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl, Triprolidine HCl","","HUMAN OTC DRUG","10/21/2023","N/A","OTC MONOGRAPH DRUG","1 KIT in 1 PACKAGE (0363-4278-45)  *  177 mL in 1 BOTTLE, PLASTIC (0363-9042-45)  *  177 mL in 1 BOTTLE, PLASTIC (0363-8078-45)","N/A","N/A","No","12/31/2026"
"Cold and Flu","0363-8063-45","650 mg/20mL,                         20  mg/20mL,                         2.5  mg/20mL","SOLUTION","ORAL","M012","Walgreen Company","0363-8063","Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","10/23/2023","N/A","OTC MONOGRAPH DRUG","177 mL in 1 BOTTLE, PLASTIC (0363-8063-45)","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Cold and Flu","0363-8078-45","650 mg/20mL,                         20  mg/20mL,                         10  mg/20mL,                         2.5  mg/20mL","SOLUTION","ORAL","M012","Walgreen Company","0363-8078","Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl, Triprolidine HCl","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  PHENYLEPHRINE HYDROCHLORIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","10/21/2023","N/A","OTC MONOGRAPH DRUG","177 mL in 1 BOTTLE, PLASTIC (0363-8078-45)","Adrenergic alpha1-Agonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Cold and Flu","51316-963-45","650 mg/20mL,                         20  mg/20mL,                         2.5  mg/20mL","SOLUTION","ORAL","M012","CVS WOONSOCKET PRESCRIPTION CENTER, INCORPORATED","51316-963","Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","10/23/2023","N/A","OTC MONOGRAPH DRUG","177 mL in 1 BOTTLE, PLASTIC (51316-963-45)","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Cold and Flu","79903-119-45","650 mg/20mL,                         20  mg/20mL,                         2.5  mg/20mL","SOLUTION","ORAL","M012","WALMART INC.","79903-119","Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","05/03/2022","N/A","OTC MONOGRAPH DRUG","177 mL in 1 BOTTLE, PLASTIC (79903-119-45)","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"Cold and Flu","79903-432-20","","KIT","","M012","WALMART INC.","79903-432","Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","","HUMAN OTC DRUG","06/09/2026","N/A","OTC MONOGRAPH DRUG","1 KIT in 1 CARTON (79903-432-20)  *  12 TABLET, FILM COATED in 1 BLISTER PACK (79903-447-12)  *  8 TABLET, FILM COATED in 1 BLISTER PACK (79903-448-08)","N/A","N/A","No","12/31/2027"
"CVS Mucus Relief DM and Overnight Cold and Flu","69842-696-12","","KIT","","M012","CVS","69842-696","Dextromethorphan HBr, Guaifenesin, Acetaminophen and Triprolidine HCl","","HUMAN OTC DRUG","03/30/2020","N/A","OTC MONOGRAPH DRUG","1 KIT in 1 CARTON (69842-696-12)  *  180 mL in 1 BOTTLE *  180 mL in 1 BOTTLE","N/A","N/A","No","12/31/2027"
"CVS Nighttime Cold and Flu","69842-886-06","650 mg/20mL,                         20  mg/20mL,                         2.5  mg/20mL","SOLUTION","ORAL","M012","CVS HEALTH","69842-886","Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","03/30/2020","N/A","OTC MONOGRAPH DRUG","180 mL in 1 BOTTLE (69842-886-06)","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"CVS Overnight Cold and Flu Clear and Cool","69842-966-06","650 mg/20mL,                         20  mg/20mL,                         10  mg/20mL,                         2.5  mg/20mL","SOLUTION","ORAL","M012","CVS PHARMACY, INC","69842-966","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE, and TRIPROLIDINE HYDROCHLORIDE","ACETAMINOPHEN;  DEXTROMETHORPHAN HYDROBROMIDE;  PHENYLEPHRINE HYDROCHLORIDE;  TRIPROLIDINE HYDROCHLORIDE","HUMAN OTC DRUG","03/31/2020","N/A","OTC MONOGRAPH DRUG","180 mL in 1 BOTTLE (69842-966-06)","Adrenergic alpha1-Agonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Day Cold and Flu and Night Severe Cold and Flu","11673-343-64","","KIT","ORAL","M012","TARGET CORPORATION","11673-343","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl, Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl, Triprolidine HCl","","HUMAN OTC DRUG","05/01/2024","N/A","OTC MONOGRAPH DRUG","4 BLISTER PACK in 1 CARTON (11673-343-64)  / 1 KIT in 1 BLISTER PACK *  6 TABLET, COATED in 1 BLISTER PACK *  4 TABLET, COATED in 1 BLISTER PACK","N/A","N/A","No","12/31/2026"
"Daytime Nighttime","0363-1911-02","","KIT","","M012","WALGREENS","0363-1911","Acetaminophen Dextromethorphan HBr, Acetaminophen Dextromethorphan HBr Triprolidine HCl","","HUMAN OTC DRUG","04/01/2026","N/A","OTC MONOGRAPH DRUG","4 BLISTER PACK in 1 CARTON (0363-1911-02)  / 1 KIT in 1 BLISTER PACK *  4 TABLET, FILM COATED in 1 BLISTER PACK *  6 TABLET, FILM COATED in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Daytime Nighttime","11673-474-64","","KIT","","M012","TARGET CORPORATION","11673-474","Acetaminophen Dextromethorphan HBr, Acetaminophen Dextromethorphan HBr Triprolidine HCl","","HUMAN OTC DRUG","06/01/2026","N/A","OTC MONOGRAPH DRUG","4 BLISTER PACK in 1 CARTON (11673-474-64)  / 1 KIT in 1 BLISTER PACK *  6 TABLET, FILM COATED in 1 BLISTER PACK *  4 TABLET, FILM COATED in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
"Daytime Nighttime","11673-591-02","","KIT","","M012","TARGET CORPORATION","11673-591","Acetaminophen, Guaifenesin and Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","","HUMAN OTC DRUG","06/01/2026","N/A","OTC MONOGRAPH DRUG","2 BLISTER PACK in 1 CARTON (11673-591-02)  / 1 KIT in 1 BLISTER PACK *  6 TABLET, FILM COATED in 1 BLISTER PACK *  4 TABLET, FILM COATED in 1 BLISTER PACK","N/A","N/A","No","12/31/2027"
