"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CYPROHEPTADINE","62135-949-94","2 mg/5mL","SYRUP","ORAL","ANDA203191","Chartwell RX, LLC","62135-949","CYPROHEPTADINE HYDROCHLORIDE","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/13/2022","N/A","ANDA","946 mL in 1 BOTTLE (62135-949-94)","N/A","N/A","No","12/31/2026"
"CYPROHEPTADINE","62135-949-47","2 mg/5mL","SYRUP","ORAL","ANDA203191","Chartwell RX, LLC","62135-949","CYPROHEPTADINE HYDROCHLORIDE","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/13/2022","N/A","ANDA","473 mL in 1 BOTTLE (62135-949-47)","N/A","N/A","No","12/31/2026"
"Cyproheptadine Hydrochloride","0115-1757-01","4 mg/1","TABLET","ORAL","ANDA040537","Amneal Pharmaceuticals of New York LLC","0115-1757","Cyproheptadine Hydrochloride","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/29/2015","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (0115-1757-01)","N/A","N/A","No","12/31/2027"
"Cyproheptadine Hydrochloride","0115-1757-03","4 mg/1","TABLET","ORAL","ANDA040537","Amneal Pharmaceuticals of New York LLC","0115-1757","Cyproheptadine Hydrochloride","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/29/2015","N/A","ANDA","1000 TABLET in 1 BOTTLE, PLASTIC (0115-1757-03)","N/A","N/A","No","12/31/2027"
"Cyproheptadine Hydrochloride","16571-805-01","4 mg/1","TABLET","ORAL","ANDA207555","Rising Pharma Holdings, Inc.","16571-805","Cyproheptadine Hydrochloride","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","100 TABLET in 1 BOTTLE (16571-805-01)","N/A","N/A","No","12/31/2026"
"Cyproheptadine Hydrochloride","16571-805-10","4 mg/1","TABLET","ORAL","ANDA207555","Rising Pharma Holdings, Inc.","16571-805","Cyproheptadine Hydrochloride","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/10/2022","N/A","ANDA","1000 TABLET in 1 BOTTLE (16571-805-10)","N/A","N/A","No","12/31/2026"
"Cyproheptadine Hydrochloride","17856-0504-1","2 mg/5mL","SYRUP","ORAL","ANDA040668","Atlantic Biological Corp.","17856-0504","Cyproheptadine Hydrochloride","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2026","N/A","ANDA","120 SYRINGE in 1 CASE (17856-0504-1)  / 2.5 mL in 1 SYRINGE","N/A","N/A","No","12/31/2027"
"CYPROHEPTADINE HYDROCHLORIDE","17856-1185-2","2 mg/5mL","SOLUTION","ORAL","ANDA212423","Atlantic Biologicals Corp.","17856-1185","CYPROHEPTADINE HYDROCHLORIDE","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/07/2026","N/A","ANDA","120 SYRINGE in 1 CASE (17856-1185-2)  / 2.5 mL in 1 SYRINGE","N/A","N/A","No","12/31/2027"
"CYPROHEPTADINE HYDROCHLORIDE","17856-1185-1","2 mg/5mL","SOLUTION","ORAL","ANDA212423","Atlantic Biologicals Corp.","17856-1185","CYPROHEPTADINE HYDROCHLORIDE","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/04/2026","N/A","ANDA","72 CUP, UNIT-DOSE in 1 CASE (17856-1185-1)  / 5 mL in 1 CUP, UNIT-DOSE","N/A","N/A","No","12/31/2027"
"Cyproheptadine Hydrochloride","27808-099-01","2 mg/5mL","SYRUP","ORAL","ANDA205431","Tris Pharma Inc","27808-099","Cyproheptadine Hydrochloride","CYPROHEPTADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/30/2022","N/A","ANDA","473 mL in 1 BOTTLE, PLASTIC (27808-099-01)","N/A","N/A","No","12/31/2026"
