"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Corphena","73684-300-08","2 mg/5mL","SOLUTION","ORAL","ANDA202520","BluCrest Pharmaceuticals LLC","73684-300","Dexchlorpheniramine Maleate","DEXCHLORPHENIRAMINE MALEATE","HUMAN PRESCRIPTION DRUG","12/22/2025","N/A","ANDA","237 mL in 1 BOTTLE, PLASTIC (73684-300-08)","N/A","N/A","No","12/31/2026"
"POLY-HIST DM","50991-271-15","10 mg/5mL,                         1  mg/5mL","LIQUID","ORAL","M012","POLY PHARMACEUTICALS, INC.","50991-271","DEXCHLORPHENIRAMINE MALEATE AND DEXTROMETHORPHAN HBR","DEXCHLORPHENIRAMINE MALEATE;  DEXTROMETHORPHAN HYDROBROMIDE","HUMAN OTC DRUG","04/23/2026","N/A","OTC MONOGRAPH DRUG","15 mL in 1 BOTTLE (50991-271-15)","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"POLY-HIST DM","50991-271-16","10 mg/5mL,                         1  mg/5mL","LIQUID","ORAL","M012","POLY PHARMACEUTICALS, INC.","50991-271","DEXCHLORPHENIRAMINE MALEATE AND DEXTROMETHORPHAN HBR","DEXCHLORPHENIRAMINE MALEATE;  DEXTROMETHORPHAN HYDROBROMIDE","HUMAN OTC DRUG","04/23/2026","N/A","OTC MONOGRAPH DRUG","473 mL in 1 BOTTLE (50991-271-16)","Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","12/31/2027"
"RYCLORA","15370-150-04","2 mg/5mL","LIQUID","ORAL","ANDA202520","CARWIN PHARMACEUTICAL ASSOCIATES, LLC","15370-150","Dexchlorpheniramine Maleate","DEXCHLORPHENIRAMINE MALEATE","HUMAN PRESCRIPTION DRUG","10/07/2018","N/A","ANDA","118 mL in 1 BOTTLE, PLASTIC (15370-150-04)","N/A","N/A","No","12/31/2026"
"RYCLORA","15370-150-99","2 mg/5mL","LIQUID","ORAL","ANDA202520","CARWIN PHARMACEUTICAL ASSOCIATES, LLC","15370-150","Dexchlorpheniramine Maleate","DEXCHLORPHENIRAMINE MALEATE","HUMAN PRESCRIPTION DRUG","10/07/2018","N/A","ANDA","20 mL in 1 BOTTLE, PLASTIC (15370-150-99)","N/A","N/A","No","12/31/2026"
"RYCLORA","15370-150-16","2 mg/5mL","LIQUID","ORAL","ANDA202520","CARWIN PHARMACEUTICAL ASSOCIATES, LLC","15370-150","Dexchlorpheniramine Maleate","DEXCHLORPHENIRAMINE MALEATE","HUMAN PRESCRIPTION DRUG","10/07/2018","N/A","ANDA","473 mL in 1 BOTTLE, PLASTIC (15370-150-16)","N/A","N/A","No","12/31/2026"
"RYMED","0485-0080-01","2 mg/1,                         10  mg/1","TABLET, COATED","ORAL","M012","EDWARDS PHARMACEUTICALS, INC.","0485-0080","DEXCHLORPHENIRAMINE MALEATE and PHENYLEPHRINE HYDROCHLORIDE","DEXCHLORPHENIRAMINE MALEATE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","11/15/2011","N/A","OTC MONOGRAPH DRUG","100 TABLET, COATED in 1 BOTTLE, PLASTIC (0485-0080-01)","Adrenergic alpha1-Agonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"VANACOF","58809-999-01","12.5 mg/5mL,                         1  mg/5mL,                         30  mg/5mL","LIQUID","ORAL","M012","GM Pharmaceuticals, INC","58809-999","Chlophedianol Hydrochloride, Dexchlorpheniramine Maleate, and Pseudoephedrine Hydrochloride","CHLOPHEDIANOL HYDROCHLORIDE;  DEXCHLORPHENIRAMINE MALEATE;  PSEUDOEPHEDRINE HYDROCHLORIDE","HUMAN OTC DRUG","04/22/2008","N/A","OTC MONOGRAPH DRUG","473 mL in 1 BOTTLE (58809-999-01)","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"VANACOF","58809-999-02","12.5 mg/5mL,                         1  mg/5mL,                         30  mg/5mL","LIQUID","ORAL","M012","GM Pharmaceuticals, INC","58809-999","Chlophedianol Hydrochloride, Dexchlorpheniramine Maleate, and Pseudoephedrine Hydrochloride","CHLOPHEDIANOL HYDROCHLORIDE;  DEXCHLORPHENIRAMINE MALEATE;  PSEUDOEPHEDRINE HYDROCHLORIDE","HUMAN OTC DRUG","04/22/2008","N/A","OTC MONOGRAPH DRUG","12 BOTTLE in 1 TRAY (58809-999-02)  / 15 mL in 1 BOTTLE","Adrenergic alpha-Agonists [MoA],  alpha-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"VanaCof 2","58809-190-16","1 mg/5mL,                         12.5  mg/5mL","SOLUTION","ORAL","M012","GM Pharmaceuticals, INC","58809-190","Chlophedianol HCl, Dexchlorpheniramine Maleate","CHLOPHEDIANOL HYDROCHLORIDE;  DEXCHLORPHENIRAMINE MALEATE","HUMAN OTC DRUG","12/14/2023","N/A","OTC MONOGRAPH DRUG","473 mL in 1 BOTTLE (58809-190-16)","N/A","N/A","No","12/31/2027"
"WesTussin DM","69367-334-16","1 mg/5mL,                         10  mg/5mL,                         5  mg/5mL","SYRUP","ORAL","M012","Westminster Pharmaceuticals, LLC","69367-334","dexchlorpheniramine maleate, dextromethorphan hbr, phenylephrine hcl","DEXCHLORPHENIRAMINE MALEATE;  DEXTROMETHORPHAN HYDROBROMIDE;  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","07/29/2021","N/A","OTC MONOGRAPH DRUG","480 mL in 1 BOTTLE, PLASTIC (69367-334-16)","Adrenergic alpha1-Agonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
