"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Hydroxyzine","0404-9878-02","50 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR","ANDA087408","Henry Schein, Inc.","0404-9878","Hydroxyzine","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/17/2022","N/A","ANDA","1 VIAL, SINGLE-DOSE in 1 BAG (0404-9878-02)  / 2 mL in 1 VIAL, SINGLE-DOSE","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine HCL","72189-577-60","50 mg/1","TABLET, FILM COATED","ORAL","ANDA217652","Direct_rx","72189-577","Hydroxyzine HCL","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/13/2024","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (72189-577-60)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine HCL","80425-0173-2","50 mg/1","TABLET, FILM COATED","ORAL","ANDA088619","Advanced Rx Pharmacy of Tennessee, LLC","80425-0173","Hydroxyzine HCL","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/25/2024","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (80425-0173-2)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine HCL","80425-0173-1","50 mg/1","TABLET, FILM COATED","ORAL","ANDA088619","Advanced Rx Pharmacy of Tennessee, LLC","80425-0173","Hydroxyzine HCL","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/19/2013","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (80425-0173-1)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5060-05","10 mg/1","TABLET, FILM COATED","ORAL","ANDA088617","Teva Pharmaceuticals USA, Inc.","0093-5060","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/21/2013","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-5060-05)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5060-01","10 mg/1","TABLET, FILM COATED","ORAL","ANDA088617","Teva Pharmaceuticals USA, Inc.","0093-5060","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/08/2013","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-5060-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5061-10","25 mg/1","TABLET, FILM COATED","ORAL","ANDA088618","Teva Pharmaceuticals USA, Inc.","0093-5061","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/11/2012","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE (0093-5061-10)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5061-05","25 mg/1","TABLET, FILM COATED","ORAL","ANDA088618","Teva Pharmaceuticals USA, Inc.","0093-5061","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/10/2012","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-5061-05)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5061-01","25 mg/1","TABLET, FILM COATED","ORAL","ANDA088618","Teva Pharmaceuticals USA, Inc.","0093-5061","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/09/2012","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-5061-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5062-01","50 mg/1","TABLET, FILM COATED","ORAL","ANDA088619","Teva Pharmaceuticals USA, Inc.","0093-5062","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/11/2013","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-5062-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0093-5062-05","50 mg/1","TABLET, FILM COATED","ORAL","ANDA088619","Teva Pharmaceuticals USA, Inc.","0093-5062","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/22/2012","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-5062-05)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0121-1034-16","10 mg/5mL","SOLUTION","ORAL","ANDA040391","PAI Holdings, LLC dba PAI Pharma","0121-1034","hydroxyzine hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","11/14/2024","N/A","ANDA","473 mL in 1 BOTTLE (0121-1034-16)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0404-9877-01","50 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR","ANDA087408","Henry Schein, Inc.","0404-9877","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/17/2022","N/A","ANDA","1 VIAL, SINGLE-DOSE in 1 BAG (0404-9877-01)  / 1 mL in 1 VIAL, SINGLE-DOSE","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0517-4201-25","25 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR","ANDA087408","American Regent, Inc.","0517-4201","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 TRAY (0517-4201-25)  / 1 mL in 1 VIAL, SINGLE-DOSE (0517-4201-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0517-5601-25","50 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR","ANDA087408","American Regent, Inc.","0517-5601","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 TRAY (0517-5601-25)  / 1 mL in 1 VIAL, SINGLE-DOSE (0517-5601-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Hydroxyzine Hydrochloride","0517-5602-25","50 mg/mL","INJECTION, SOLUTION","INTRAMUSCULAR","ANDA087408","American Regent, Inc.","0517-5602","Hydroxyzine Hydrochloride","HYDROXYZINE DIHYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/30/1990","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 TRAY (0517-5602-25)  / 2 mL in 1 VIAL, SINGLE-DOSE (0517-5602-01)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA]","N/A","No","12/31/2026"
