"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"PHENERGAN","0641-6082-25","25 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA083312","Hikma Pharmaceuticals USA Inc.","0641-6082","Promethazine Hydrochloride","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/19/1973","N/A","ANDA","25 AMPULE in 1 CARTON (0641-6082-25)  / 1 mL in 1 AMPULE (0641-6082-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PHENERGAN","0641-6083-25","50 mg/mL","INJECTION","INTRAMUSCULAR","ANDA083312","Hikma Pharmaceuticals USA Inc.","0641-6083","Promethazine Hydrochloride","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/19/1973","N/A","ANDA","25 AMPULE in 1 CARTON (0641-6083-25)  / 1 mL in 1 AMPULE (0641-6083-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PHENERGAN","0641-6084-25","25 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA083312","Hikma Pharmaceuticals USA Inc.","0641-6084","Promethazine Hydrochloride","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/19/1973","N/A","ANDA","25 VIAL in 1 CARTON (0641-6084-25)  / 1 mL in 1 VIAL (0641-6084-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"PHENERGAN","0641-6085-25","50 mg/mL","INJECTION","INTRAMUSCULAR","ANDA083312","Hikma Pharmaceuticals USA Inc.","0641-6085","Promethazine Hydrochloride","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","09/19/1973","N/A","ANDA","25 VIAL in 1 CARTON (0641-6085-25)  / 1 mL in 1 VIAL (0641-6085-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Phenergan","72189-402-30","12.5 mg/1","TABLET","ORAL","ANDA040596","Direct_Rx","72189-402","Promethazine HCL","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/01/2022","N/A","ANDA","30 TABLET in 1 BOTTLE (72189-402-30)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"Phenergan","72189-402-12","12.5 mg/1","TABLET","ORAL","ANDA040596","Direct_Rx","72189-402","Promethazine HCL","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/01/2022","N/A","ANDA","12 TABLET in 1 BOTTLE (72189-402-12)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"Phenergan","72189-402-10","12.5 mg/1","TABLET","ORAL","ANDA040596","Direct_Rx","72189-402","Promethazine HCL","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/01/2022","N/A","ANDA","10 TABLET in 1 BOTTLE (72189-402-10)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2027"
"Promethazine","54348-117-06","25 mg/1","TABLET","ORAL","ANDA040712","PharmPak, Inc.","54348-117","PROMETHAZINE","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/11/2019","N/A","ANDA","1 BOTTLE in 1 BOX (54348-117-06)  / 6 TABLET in 1 BOTTLE","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Promethazine","54348-117-05","25 mg/1","TABLET","ORAL","ANDA040712","PharmPak, Inc.","54348-117","PROMETHAZINE","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/11/2019","N/A","ANDA","1 BOTTLE in 1 BOX (54348-117-05)  / 5 TABLET in 1 BOTTLE","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Promethazine","54348-117-04","25 mg/1","TABLET","ORAL","ANDA040712","PharmPak, Inc.","54348-117","PROMETHAZINE","PROMETHAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","07/11/2019","N/A","ANDA","1 BOTTLE in 1 BOX (54348-117-04)  / 4 TABLET in 1 BOTTLE","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
