"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"AIRSUPRA","0310-9080-12","90 ug/1,                         80  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA214070","AstraZeneca Pharmaceuticals LP","0310-9080","Albuterol sulfate and budesonide","ALBUTEROL SULFATE;  BUDESONIDE","HUMAN PRESCRIPTION DRUG","10/02/2023","N/A","NDA","1 INHALER in 1 CARTON (0310-9080-12)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"AIRSUPRA","0310-9080-28","90 ug/1,                         80  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA214070","AstraZeneca Pharmaceuticals LP","0310-9080","Albuterol sulfate and budesonide","ALBUTEROL SULFATE;  BUDESONIDE","HUMAN PRESCRIPTION DRUG","10/02/2023","N/A","NDA","1 INHALER in 1 CARTON (0310-9080-28)  / 28 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","Yes","12/31/2026"
"Albuterol","69097-021-60","90 ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","ANDA219409","Cipla USA Inc.","69097-021","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","04/22/2026","N/A","ANDA","1 INHALER in 1 CARTON (69097-021-60)  / 200 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol","75834-273-01","2 mg/1","TABLET","ORAL","ANDA210948","Nivagen Pharmaceuticals Inc","75834-273","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","01/21/2021","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (75834-273-01)","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Albuterol","75834-274-01","4 mg/1","TABLET","ORAL","ANDA210948","Nivagen Pharmaceuticals Inc","75834-274","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","01/21/2021","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (75834-274-01)","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Albuterol Sulate","68071-4777-2","90 ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA020983","NuCare Pharmaceuticals,Inc.","68071-4777","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","02/20/2019","N/A","NDA AUTHORIZED GENERIC","200 AEROSOL, METERED in 1 INHALER (68071-4777-2)","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Albuterol Sulate","70518-2072-0","90 ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA020983","REMEDYREPACK INC.","70518-2072","albuterol sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","05/13/2019","N/A","NDA AUTHORIZED GENERIC","1 INHALER in 1 CARTON (70518-2072-0)  / 200 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol Sulfate","0054-0742-87","90 ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","ANDA207085","Hikma Pharmaceuticals USA Inc.","0054-0742","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","11/30/2021","N/A","ANDA","1 CANISTER in 1 CARTON (0054-0742-87)  / 200 AEROSOL, METERED in 1 CANISTER","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Albuterol Sulfate","0093-3174-31","90 ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021457","Teva Pharmaceuticals USA, Inc.","0093-3174","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","01/16/2019","N/A","NDA AUTHORIZED GENERIC","1 INHALER in 1 CARTON (0093-3174-31)  / 200 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Albuterol Sulfate","0378-8270-55","2.5 mg/3mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA077839","Mylan Pharmaceuticals Inc.","0378-8270","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","03/06/2014","N/A","ANDA","30 POUCH in 1 CARTON (0378-8270-55)  / 1 AMPULE in 1 POUCH (0378-8270-31)  / 3 mL in 1 AMPULE","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol Sulfate","0378-8270-91","2.5 mg/3mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA077839","Mylan Pharmaceuticals Inc.","0378-8270","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","04/11/2013","N/A","ANDA","2 POUCH in 1 CARTON (0378-8270-91)  / 30 AMPULE in 1 POUCH (0378-8270-64)  / 3 mL in 1 AMPULE","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol Sulfate","0378-8270-93","2.5 mg/3mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA077839","Mylan Pharmaceuticals Inc.","0378-8270","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","01/22/2013","N/A","ANDA","1 POUCH in 1 CARTON (0378-8270-93)  / 30 AMPULE in 1 POUCH / 3 mL in 1 AMPULE","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol Sulfate","0378-8270-52","2.5 mg/3mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA077839","Mylan Pharmaceuticals Inc.","0378-8270","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","12/18/2012","N/A","ANDA","1 POUCH in 1 CARTON (0378-8270-52)  / 25 AMPULE in 1 POUCH (0378-8270-62)  / 3 mL in 1 AMPULE","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol Sulfate","0487-0301-01",".63 mg/3mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA076355","Nephron Pharmaceuticals Corporation","0487-0301","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","03/31/2010","N/A","ANDA","30 POUCH in 1 CARTON (0487-0301-01)  / 1 VIAL, SINGLE-DOSE in 1 POUCH / 3 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Albuterol Sulfate","0487-9501-60","2.5 mg/3mL","SOLUTION","RESPIRATORY (INHALATION)","ANDA074880","Nephron Pharmaceuticals Corporation","0487-9501","Albuterol Sulfate","ALBUTEROL SULFATE","HUMAN PRESCRIPTION DRUG","09/17/1997","N/A","ANDA","2 POUCH in 1 CARTON (0487-9501-60)  / 30 VIAL, SINGLE-DOSE in 1 POUCH / 3 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta2-Agonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
