"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Cromolyn Sodium","0172-6406-49","20 mg/2mL","SOLUTION","INTRABRONCHIAL","ANDA075271","Teva Pharmaceuticals USA, Inc.","0172-6406","Cromolyn Sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","01/18/2000","N/A","ANDA","12 POUCH in 1 CARTON (0172-6406-49)  / 5 VIAL, SINGLE-DOSE in 1 POUCH (0172-6406-05)  / 2 mL in 1 VIAL, SINGLE-DOSE","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"CROMOLYN SODIUM","16571-600-96","100 mg/5mL","SOLUTION, CONCENTRATE","ORAL","ANDA202583","Rising Pharma Holdings, Inc.","16571-600","CROMOLYN SODIUM","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","12/05/2011","N/A","ANDA","12 POUCH in 1 CARTON (16571-600-96)  / 8 AMPULE in 1 POUCH / 5 mL in 1 AMPULE","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"CROMOLYN SODIUM","42571-132-52","100 mg/5mL","SOLUTION, CONCENTRATE","ORAL","ANDA202745","Micro Labs Limited","42571-132","Cromolyn sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","05/04/2013","N/A","ANDA","96 CARTON in 1 CARTON (42571-132-52)  / 1 TRAY in 1 CARTON / 8 AMPULE in 1 TRAY / 5 mL in 1 AMPULE (42571-132-21)","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"Cromolyn Sodium","50090-1202-0","40 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA075282","A-S Medication Solutions","50090-1202","Cromolyn Sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","ANDA","10 mL in 1 BOTTLE, PLASTIC (50090-1202-0)","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"Cromolyn Sodium","57782-397-26","5.2 mg/1","SPRAY, METERED","NASAL","ANDA075702","Bausch & Lomb Incorporated","57782-397","Cromolyn Sodium","CROMOLYN SODIUM","HUMAN OTC DRUG","07/03/2001","N/A","ANDA","1 BOTTLE in 1 CARTON (57782-397-26)  / 200 SPRAY, METERED in 1 BOTTLE","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"Cromolyn Sodium","61314-237-10","40 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA075282","Sandoz Inc","61314-237","Cromolyn Sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","06/29/1999","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (61314-237-10)  / 10 mL in 1 BOTTLE, PLASTIC","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2027"
"Cromolyn Sodium","68788-8490-1","40 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA075282","Preferred Pharmaceuticals Inc.","68788-8490","Cromolyn Sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","07/21/2023","N/A","ANDA","10 mL in 1 BOTTLE, PLASTIC (68788-8490-1)","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2027"
"Cromolyn Sodium","71205-230-10","40 mg/mL","SOLUTION/ DROPS","OPHTHALMIC","ANDA075282","Proficient Rx LP","71205-230","Cromolyn Sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","03/01/2019","N/A","ANDA","10 mL in 1 BOTTLE, PLASTIC (71205-230-10)","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"CROMOLYN SODIUM","81665-104-96","100 mg/5mL","SOLUTION, CONCENTRATE","ORAL","ANDA209264","Omnivium Pharmaceuticals LLC","81665-104","CROMOLYN SODIUM","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","08/31/2024","N/A","ANDA","12 POUCH in 1 CARTON (81665-104-96)  / 8 AMPULE in 1 POUCH / 5 mL in 1 AMPULE","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2027"
"Gastrocrom","0037-0678-96","20 mg/mL","LIQUID","ORAL","NDA020479","Viatris Specialty LLC","0037-0678","cromolyn sodium","CROMOLYN SODIUM","HUMAN PRESCRIPTION DRUG","05/01/2015","N/A","NDA","12 POUCH in 1 CARTON (0037-0678-96)  / 8 AMPULE in 1 POUCH (0037-0678-08)  / 5 mL in 1 AMPULE","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2026"
"NasalCrom","52183-199-13","5.2 mg/1","SPRAY, METERED","NASAL","ANDA075702","Prestige Brands Holdings, Inc.","52183-199","cromolyn sodium","CROMOLYN SODIUM","HUMAN OTC DRUG","10/29/2009","N/A","ANDA","1 BOTTLE, PUMP in 1 CARTON (52183-199-13)  / 200 SPRAY, METERED in 1 BOTTLE, PUMP","Decreased Histamine Release [PE],  Mast Cell Stabilizer [EPC]","N/A","No","12/31/2027"
