"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"XOLAIR","50242-040-62","150 mg/1.2mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-040","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","06/20/2003","N/A","BLA","1 VIAL, SINGLE-USE in 1 CARTON (50242-040-62)  / 1.2 mL in 1 VIAL, SINGLE-USE","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","No","12/31/2027"
"XOLAIR","50242-040-86","150 mg/1.2mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-040","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","12/20/2013","N/A","BLA","1 VIAL, SINGLE-USE in 1 CARTON (50242-040-86)  / 1.2 mL in 1 VIAL, SINGLE-USE","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","Yes","12/31/2027"
"Xolair","50242-227-01","300 mg/2mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-227","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-227-01)  / 2 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","No","12/31/2027"
"Xolair","50242-227-55","300 mg/2mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-227","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-227-55)  / 2 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","No","12/31/2027"
"Xolair","50242-227-86","300 mg/2mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-227","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-227-86)  / 2 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","Yes","12/31/2027"
"Xolair","50242-227-99","300 mg/2mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-227","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-227-99)  / 2 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","Yes","12/31/2027"
"Xolair PFS","50242-214-99","75 mg/.5mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-214","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-214-99)  / .5 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","No","12/31/2027"
"Xolair PFS","50242-214-55","75 mg/.5mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-214","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-214-55)  / .5 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","No","12/31/2027"
"Xolair PFS","50242-214-03","75 mg/.5mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-214","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-214-03)  / .5 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","No","12/31/2027"
"Xolair PFS","50242-214-83","75 mg/.5mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA103976","Genentech, Inc.","50242-214","omalizumab","OMALIZUMAB","HUMAN PRESCRIPTION DRUG","08/18/2023","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (50242-214-83)  / .5 mL in 1 SYRINGE, GLASS","Anti-IgE [EPC],  Decreased IgE Activity [PE],  IgE-directed Antibody Interactions [MoA]","N/A","Yes","12/31/2027"
