"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"ADVAIR HFA","0173-0715-20","45 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0715","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/29/2008","N/A","NDA","1 INHALER in 1 CARTON (0173-0715-20)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR HFA","0173-0715-22","45 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0715","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/29/2008","N/A","NDA","1 INHALER in 1 CARTON (0173-0715-22)  / 60 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR HFA","0173-0716-20","115 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0716","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/29/2008","N/A","NDA","1 INHALER in 1 CARTON (0173-0716-20)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR HFA","0173-0716-22","115 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0716","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/29/2008","N/A","NDA","1 INHALER in 1 CARTON (0173-0716-22)  / 60 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR HFA","0173-0717-20","230 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0717","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","03/06/2009","N/A","NDA","1 INHALER in 1 CARTON (0173-0717-20)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR HFA","0173-0717-22","230 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","GlaxoSmithKline LLC","0173-0717","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","03/06/2009","N/A","NDA","1 INHALER in 1 CARTON (0173-0717-22)  / 60 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"ADVAIR HFA","50090-3672-0","115 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","A-S Medication Solutions","50090-3672","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","10/16/2018","N/A","NDA","1 INHALER in 1 CARTON (50090-3672-0)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"ADVAIR HFA","50090-4504-0","115 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","A-S Medication Solutions","50090-4504","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","09/04/2019","N/A","NDA","1 INHALER in 1 CARTON (50090-4504-0)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Fluticasone Propionate and Salmeterol HFA","66993-086-96","45 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","Prasco Laboratories","66993-086","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","03/01/2023","N/A","NDA AUTHORIZED GENERIC","1 INHALER in 1 CARTON (66993-086-96)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
"Fluticasone Propionate and Salmeterol HFA","66993-087-96","115 ug/1,                         21  ug/1","AEROSOL, METERED","RESPIRATORY (INHALATION)","NDA021254","Prasco Laboratories","66993-087","fluticasone propionate and salmeterol xinafoate","FLUTICASONE PROPIONATE;  SALMETEROL XINAFOATE","HUMAN PRESCRIPTION DRUG","03/01/2023","N/A","NDA AUTHORIZED GENERIC","1 INHALER in 1 CARTON (66993-087-96)  / 120 AEROSOL, METERED in 1 INHALER","Adrenergic beta2-Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2027"
