"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Theo-24","52244-100-10","100 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA087942","ENDO USA, Inc.","52244-100","theophylline anhydrous","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","08/25/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (52244-100-10)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theo-24","52244-200-10","200 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA087943","ENDO USA, Inc.","52244-200","theophylline anhydrous","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","08/25/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (52244-200-10)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theo-24","52244-300-10","300 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA087944","ENDO USA, Inc.","52244-300","theophylline anhydrous","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","08/25/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (52244-300-10)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theo-24","52244-400-10","400 mg/1","CAPSULE, EXTENDED RELEASE","ORAL","ANDA081034","ENDO USA, Inc.","52244-400","theophylline anhydrous","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","08/25/2014","N/A","ANDA","100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (52244-400-10)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"THEOPHYLLINE","0121-0820-04","80 mg/15mL","SOLUTION","ORAL","ANDA206344","PAI Holdings, LLC dba PAI Pharma","0121-0820","THEOPHYLLINE","THEOPHYLLINE","HUMAN PRESCRIPTION DRUG","12/16/2016","N/A","ANDA","118 mL in 1 BOTTLE (0121-0820-04)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"THEOPHYLLINE","0121-0820-16","80 mg/15mL","SOLUTION","ORAL","ANDA206344","PAI Holdings, LLC dba PAI Pharma","0121-0820","THEOPHYLLINE","THEOPHYLLINE","HUMAN PRESCRIPTION DRUG","12/16/2016","N/A","ANDA","473 mL in 1 BOTTLE (0121-0820-16)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"THEOPHYLLINE","0121-4820-40","80 mg/15mL","SOLUTION","ORAL","ANDA206344","PAI Holdings, LLC dba PAI Pharma","0121-4820","THEOPHYLLINE","THEOPHYLLINE","HUMAN PRESCRIPTION DRUG","12/16/2016","N/A","ANDA","4 TRAY in 1 CASE (0121-4820-40)  / 10 CUP, UNIT-DOSE in 1 TRAY / 15 mL in 1 CUP, UNIT-DOSE (0121-4820-15)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theophylline","0480-3309-01","450 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA216961","Teva Pharmaceuticals, Inc.","0480-3309","Theophylline","THEOPHYLLINE","HUMAN PRESCRIPTION DRUG","01/27/2023","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0480-3309-01)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Theophylline","0480-3310-01","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA216961","Teva Pharmaceuticals, Inc.","0480-3310","Theophylline","THEOPHYLLINE","HUMAN PRESCRIPTION DRUG","01/27/2023","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (0480-3310-01)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2027"
"Theophylline","17856-0038-1","80 mg/15mL","SOLUTION","ORAL","ANDA091586","ATLANTIC BIOLOGICALS CORP.","17856-0038","Theophylline","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","05/09/2024","N/A","ANDA","50 CUP, UNIT-DOSE in 1 BOX, UNIT-DOSE (17856-0038-1)  / 15 mL in 1 CUP, UNIT-DOSE","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theophylline","23155-741-10","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA089763","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-741","Theophylline","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/27/2022","N/A","ANDA","1000 TABLET, EXTENDED RELEASE in 1 BOTTLE (23155-741-10)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theophylline","23155-741-05","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA089763","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-741","Theophylline","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/27/2022","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE (23155-741-05)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theophylline","23155-741-01","300 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA089763","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-741","Theophylline","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","06/27/2022","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (23155-741-01)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
"Theophylline","23155-742-05","450 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA081236","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-742","Theophylline","THEOPHYLLINE ANHYDROUS","HUMAN PRESCRIPTION DRUG","05/12/2022","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE (23155-742-05)","Methylxanthine [EPC],  Xanthines [CS]","N/A","No","12/31/2026"
