"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Spiriva","0597-0075-75","18 ug/1","CAPSULE","ORAL; RESPIRATORY (INHALATION)","NDA021395","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0075","TIOTROPIUM BROMIDE","TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","10/11/2005","N/A","NDA","1 BLISTER PACK in 1 CARTON (0597-0075-75)  / 5 CAPSULE in 1 BLISTER PACK","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2026"
"Spiriva","0597-0075-47","18 ug/1","CAPSULE","ORAL; RESPIRATORY (INHALATION)","NDA021395","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0075","TIOTROPIUM BROMIDE","TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","10/11/2005","N/A","NDA","9 BLISTER PACK in 1 CARTON (0597-0075-47)  / 10 CAPSULE in 1 BLISTER PACK","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2026"
"Spiriva","0597-0075-41","18 ug/1","CAPSULE","ORAL; RESPIRATORY (INHALATION)","NDA021395","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0075","TIOTROPIUM BROMIDE","TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","10/11/2005","N/A","NDA","3 BLISTER PACK in 1 CARTON (0597-0075-41)  / 10 CAPSULE in 1 BLISTER PACK","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2026"
"Spiriva","50090-4248-0","18 ug/1","CAPSULE","ORAL; RESPIRATORY (INHALATION)","NDA021395","A-S Medication Solutions","50090-4248","TIOTROPIUM BROMIDE","TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","04/02/2019","N/A","NDA","3 BLISTER PACK in 1 CARTON (50090-4248-0)  / 10 CAPSULE in 1 BLISTER PACK","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2026"
"Spiriva","50090-7645-0","18 ug/1","CAPSULE","ORAL; RESPIRATORY (INHALATION)","NDA021395","A-S Medication Solutions","50090-7645","TIOTROPIUM BROMIDE","TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","08/29/2025","N/A","NDA","3 BLISTER PACK in 1 CARTON (50090-7645-0)  / 10 CAPSULE in 1 BLISTER PACK","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2026"
"Spiriva Respimat","0597-0100-28","3.124 ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA021936","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0100","tiotropium bromide inhalation spray","TIOTROPIUM BROMIDE ANHYDROUS","HUMAN PRESCRIPTION DRUG","09/30/2014","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0100-28)  / 28 SPRAY, METERED in 1 CARTRIDGE","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2027"
"Spiriva Respimat","0597-0100-61","3.124 ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA021936","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0100","tiotropium bromide inhalation spray","TIOTROPIUM BROMIDE ANHYDROUS","HUMAN PRESCRIPTION DRUG","09/30/2014","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0100-61)  / 60 SPRAY, METERED in 1 CARTRIDGE","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2027"
"Spiriva Respimat","0597-0100-51","3.124 ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA021936","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0100","tiotropium bromide inhalation spray","TIOTROPIUM BROMIDE ANHYDROUS","HUMAN PRESCRIPTION DRUG","03/15/2019","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0100-51)  / 10 SPRAY, METERED in 1 CARTRIDGE","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2027"
"Spiriva Respimat","0597-0160-28","1.562 ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA207070","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0160","tiotropium bromide inhalation spray","TIOTROPIUM BROMIDE ANHYDROUS","HUMAN PRESCRIPTION DRUG","09/15/2015","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0160-28)  / 28 SPRAY, METERED in 1 CARTRIDGE","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2027"
"Spiriva Respimat","0597-0160-61","1.562 ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA207070","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0160","tiotropium bromide inhalation spray","TIOTROPIUM BROMIDE ANHYDROUS","HUMAN PRESCRIPTION DRUG","09/15/2015","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0160-61)  / 60 SPRAY, METERED in 1 CARTRIDGE","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2027"
"Stiolto Respimat","0597-0155-28","3.124 ug/1,                         2.736  ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA206756","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0155","tiotropium bromide and olodaterol","OLODATEROL HYDROCHLORIDE;  TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","05/21/2015","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0155-28)  / 28 SPRAY, METERED in 1 CARTRIDGE","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Stiolto Respimat","0597-0155-61","3.124 ug/1,                         2.736  ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA206756","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0155","tiotropium bromide and olodaterol","OLODATEROL HYDROCHLORIDE;  TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","05/21/2015","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0155-61)  / 60 SPRAY, METERED in 1 CARTRIDGE","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Stiolto Respimat","0597-0155-70","3.124 ug/1,                         2.736  ug/1","SPRAY, METERED","RESPIRATORY (INHALATION)","NDA206756","Boehringer Ingelheim Pharmaceuticals, Inc.","0597-0155","tiotropium bromide and olodaterol","OLODATEROL HYDROCHLORIDE;  TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","03/22/2019","N/A","NDA","1 CARTRIDGE in 1 CARTON (0597-0155-70)  / 10 SPRAY, METERED in 1 CARTRIDGE","Adrenergic beta2-Agonists [MoA],  Anticholinergic [EPC],  Cholinergic Antagonists [MoA],  beta2-Adrenergic Agonist [EPC]","N/A","No","12/31/2026"
"Tiotropium Bromide","68180-964-12","18 ug/1","CAPSULE","ORAL; RESPIRATORY (INHALATION)","ANDA211287","Lupin Pharmaceuticals, Inc.","68180-964","Tiotropium Bromide","TIOTROPIUM BROMIDE MONOHYDRATE","HUMAN PRESCRIPTION DRUG","08/16/2023","N/A","ANDA","3 BLISTER PACK in 1 CARTON (68180-964-12)  / 10 CAPSULE in 1 BLISTER PACK","Anticholinergic [EPC],  Cholinergic Antagonists [MoA]","N/A","No","12/31/2026"
