"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Zafirlukast","31722-007-01","10 mg/1","TABLET, FILM COATED","ORAL","ANDA212475","Camber Pharmaceuticals, Inc.","31722-007","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","09/10/2020","N/A","ANDA","10 BLISTER PACK in 1 CARTON (31722-007-01)  / 10 TABLET, FILM COATED in 1 BLISTER PACK","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","31722-007-60","10 mg/1","TABLET, FILM COATED","ORAL","ANDA212475","Camber Pharmaceuticals, Inc.","31722-007","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","09/10/2020","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (31722-007-60)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","31722-007-05","10 mg/1","TABLET, FILM COATED","ORAL","ANDA212475","Camber Pharmaceuticals, Inc.","31722-007","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","09/10/2020","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (31722-007-05)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","31722-008-01","20 mg/1","TABLET, FILM COATED","ORAL","ANDA212475","Camber Pharmaceuticals, Inc.","31722-008","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","09/10/2020","N/A","ANDA","10 BLISTER PACK in 1 CARTON (31722-008-01)  / 10 TABLET, FILM COATED in 1 BLISTER PACK","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","31722-008-05","20 mg/1","TABLET, FILM COATED","ORAL","ANDA212475","Camber Pharmaceuticals, Inc.","31722-008","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","09/10/2020","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (31722-008-05)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","31722-008-60","20 mg/1","TABLET, FILM COATED","ORAL","ANDA212475","Camber Pharmaceuticals, Inc.","31722-008","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","09/10/2020","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (31722-008-60)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","42291-970-60","10 mg/1","TABLET, COATED","ORAL","NDA020547","AvKARE","42291-970","zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","04/05/2023","N/A","NDA","60 TABLET, COATED in 1 BOTTLE (42291-970-60)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","42291-971-60","20 mg/1","TABLET, COATED","ORAL","NDA020547","AvKARE","42291-971","zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","04/05/2023","N/A","NDA","60 TABLET, COATED in 1 BOTTLE (42291-971-60)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","55111-625-30","10 mg/1","TABLET, FILM COATED","ORAL","ANDA090372","Dr. Reddys Laboratories Limited","55111-625","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","11/18/2010","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (55111-625-30)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
"Zafirlukast","55111-625-01","10 mg/1","TABLET, FILM COATED","ORAL","ANDA090372","Dr. Reddys Laboratories Limited","55111-625","Zafirlukast","ZAFIRLUKAST","HUMAN PRESCRIPTION DRUG","11/18/2010","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (55111-625-01)","Cytochrome P450 2C9 Inhibitors [MoA],  Leukotriene Receptor Antagonist [EPC],  Leukotriene Receptor Antagonists [MoA]","N/A","No","12/31/2026"
