Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ADENOSINE,0404-9993-02,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077133,"Henry Schein, Inc.",0404-9993,"adenosine injection, solution",ADENOSINE,HUMAN PRESCRIPTION DRUG,06/28/2023,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 BAG (0404-9993-02) / 2 mL in 1 VIAL, SINGLE-USE","Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,16714-556-01,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA202313,NorthStar Rx LLC,16714-556,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,08/01/2022,N/A,ANDA,1 VIAL in 1 CARTON (16714-556-01) / 20 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,16714-997-01,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA202313,NorthStar Rx LLC,16714-997,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,08/01/2022,N/A,ANDA,1 VIAL in 1 CARTON (16714-997-01) / 30 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,23155-258-42,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA202313,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-258,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,10 VIAL in 1 CARTON (23155-258-42) / 30 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,23155-258-41,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA202313,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-258,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,10 VIAL in 1 CARTON (23155-258-41) / 20 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,23155-258-32,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA202313,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-258,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,1 VIAL in 1 CARTON (23155-258-32) / 30 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,23155-258-31,3 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA202313,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-258,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,1 VIAL in 1 CARTON (23155-258-31) / 20 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
adenosine,25021-301-68,3 mg/mL,INJECTION,INTRAVENOUS,ANDA077283,Sagent Pharmaceuticals,25021-301,adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,04/16/2014,N/A,ANDA,10 SYRINGE in 1 CARTON (25021-301-68) / 4 mL in 1 SYRINGE,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
adenosine,25021-301-67,3 mg/mL,INJECTION,INTRAVENOUS,ANDA077283,Sagent Pharmaceuticals,25021-301,adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,04/16/2014,N/A,ANDA,10 SYRINGE in 1 CARTON (25021-301-67) / 2 mL in 1 SYRINGE,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2026
Adenosine,25021-318-02,3 mg/mL,INJECTION,INTRAVENOUS,ANDA206778,Sagent Pharmaceuticals,25021-318,Adenosine,ADENOSINE,HUMAN PRESCRIPTION DRUG,03/15/2023,N/A,ANDA,10 VIAL in 1 CARTON (25021-318-02) / 2 mL in 1 VIAL,"Adenosine Receptor Agonist [EPC], Adenosine Receptor Agonists [MoA]",N/A,No,12/31/2027
