Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Apixaban,0115-1721-13,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209810,Amneal Pharmaceuticals of New York LLC,0115-1721,Apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/31/2018,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0115-1721-13)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Apixaban,0115-1721-03,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209810,Amneal Pharmaceuticals of New York LLC,0115-1721,Apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/31/2018,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0115-1721-03)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Apixaban,0115-1721-01,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209810,Amneal Pharmaceuticals of New York LLC,0115-1721,Apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/31/2018,N/A,ANDA,"10 BLISTER PACK in 1 CARTON (0115-1721-01) / 10 TABLET, FILM COATED in 1 BLISTER PACK (0115-1721-15)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Apixaban,0115-1722-13,5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209810,Amneal Pharmaceuticals of New York LLC,0115-1722,Apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/31/2018,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0115-1722-13)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Apixaban,0115-1722-03,5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209810,Amneal Pharmaceuticals of New York LLC,0115-1722,Apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/31/2018,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0115-1722-03)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Apixaban,0115-1722-01,5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209810,Amneal Pharmaceuticals of New York LLC,0115-1722,Apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/31/2018,N/A,ANDA,"10 BLISTER PACK in 1 CARTON (0115-1722-01) / 10 TABLET, FILM COATED in 1 BLISTER PACK (0115-1722-15)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
apixaban,14445-149-05,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209898,Indoco Remedies Limited,14445-149,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/16/2020,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (14445-149-05)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
apixaban,14445-149-10,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209898,Indoco Remedies Limited,14445-149,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/16/2020,N/A,ANDA,"1 TABLET, FILM COATED in 1 CARTON (14445-149-10)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
apixaban,14445-149-14,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209898,Indoco Remedies Limited,14445-149,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/16/2020,N/A,ANDA,"1 TABLET, FILM COATED in 1 CARTON (14445-149-14)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
apixaban,14445-149-18,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209898,Indoco Remedies Limited,14445-149,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/16/2020,N/A,ANDA,"180 TABLET, FILM COATED in 1 BOTTLE (14445-149-18)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
apixaban,14445-149-60,2.5 mg/1,"TABLET, FILM COATED",ORAL,ANDA209898,Indoco Remedies Limited,14445-149,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/16/2020,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE (14445-149-60)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
