Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Clopidogrel,0904-6467-07,300 mg/1,"TABLET, FILM COATED",ORAL,ANDA076274,Major Pharmaceuticals,0904-6467,clopidogrel bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,04/06/2015,N/A,ANDA,"30 BLISTER PACK in 1 CARTON (0904-6467-07) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
Clopidogrel,0904-6467-10,300 mg/1,"TABLET, FILM COATED",ORAL,ANDA076274,Major Pharmaceuticals,0904-6467,clopidogrel bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,04/06/2015,N/A,ANDA,"20 BLISTER PACK in 1 CARTON (0904-6467-10) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
Clopidogrel,50090-2082-1,75 mg/1,"TABLET, FILM COATED",ORAL,ANDA090540,A-S Medication Solutions,50090-2082,Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,10/08/2015,N/A,ANDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-2082-1)","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
Clopidogrel,50090-2082-0,75 mg/1,"TABLET, FILM COATED",ORAL,ANDA090540,A-S Medication Solutions,50090-2082,Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,10/08/2015,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (50090-2082-0)","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
Clopidogrel,50090-5868-0,75 mg/1,"TABLET, FILM COATED",ORAL,ANDA090540,A-S Medication Solutions,50090-5868,Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,12/07/2021,N/A,ANDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-5868-0)","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
CLOPIDOGREL,50090-7466-1,75 mg/1,TABLET,ORAL,ANDA203632,A-S Medication Solutions,50090-7466,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,12/02/2024,N/A,ANDA,90 TABLET in 1 BOTTLE (50090-7466-1),"Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
CLOPIDOGREL,50090-7466-0,75 mg/1,TABLET,ORAL,ANDA203632,A-S Medication Solutions,50090-7466,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,12/02/2024,N/A,ANDA,30 TABLET in 1 BOTTLE (50090-7466-0),"Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
CLOPIDOGREL,50090-7467-0,75 mg/1,TABLET,ORAL,ANDA203632,A-S Medication Solutions,50090-7467,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,12/02/2024,N/A,ANDA,90 TABLET in 1 BOTTLE (50090-7467-0),"Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2026
Clopidogrel,50268-184-12,300 mg/1,"TABLET, FILM COATED",ORAL,ANDA204165,AvPAK,50268-184,Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,10/11/2019,N/A,ANDA,"20 BLISTER PACK in 1 BOX (50268-184-12) / 1 TABLET, FILM COATED in 1 BLISTER PACK (50268-184-11)","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
Clopidogrel,55154-2149-0,75 mg/1,"TABLET, FILM COATED",ORAL,ANDA076274,"Cardinal Health 107, LLC",55154-2149,Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,HUMAN PRESCRIPTION DRUG,10/10/2025,N/A,ANDA,"10 BLISTER PACK in 1 BAG (55154-2149-0) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",N/A,No,12/31/2027
