Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Appetite Control,43742-1534-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 12 [hp_X]/mL, 14 [hp_X]/mL, 30 [hp_C]/mL",LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-1534,"Adenosinum Triphosphoricum Dinatrum, Adrenal Cortex (Suis), Bacopa Speciosa, Equol, Pantothenic Acid, Gambogia, Oxytocin, Rhodiola, Stomach (Suis), Chininum Sulphuricum, Iodium, Lycopodium Clavatum, Phosphorus, Dopamine Hydrochloride, Thyroidinum (Suis), Cina, Serotonin (Hydrochloride), Morgan Gaertner","ADENOSINE TRIPHOSPHATE DISODIUM; ARTEMISIA CINA PRE-FLOWERING TOP; BACOPA MONNIERI WHOLE; DOPAMINE HYDROCHLORIDE; EQUOL, (+/-)-; GAMBOGE; IODINE; LYCOPODIUM CLAVATUM SPORE; OXYTOCIN; PANTOTHENIC ACID; PHOSPHORUS; QUININE SULFATE; SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR ENTERITIDIS; SEDUM ROSEUM ROOT; SEROTONIN HYDROCHLORIDE; SUS SCROFA ADRENAL CORTEX; SUS SCROFA STOMACH; THYROID",HUMAN OTC DRUG,08/22/2019,05/12/2028,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-1534-1)","Antimalarial [EPC], Catecholamine [EPC], Catecholamines [CS], Increased Uterine Smooth Muscle Contraction or Tone [PE], Oxytocic [EPC], Oxytocin [CS]",N/A,No,N/A
Appetite Control,43742-2094-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 6 [hp_X]/mL, 14 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 30 [hp_C]/mL, 12 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL",LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-2094,"Adenosinum Triphosphoricum Dinatrum, Adrenal Cortex (Suis), Bacopa Speciosa, Chininum Sulphuricum, Cina, Dopamine Hydrochloride, Equol, Gambogia, Iodium, Lycopodium Clavatum, Morgan Gaertner, Oxytocin, Pantothenic Acid, Phosphorus, Rhodiola, Serotonin (Hydrochloride), Stomach (Suis), Thyroidinum (Suis)",ADENOSINE TRIPHOSPHATE DISODIUM; ARTEMISIA CINA PRE-FLOWERING TOP; BACOPA MONNIERA LEAF; DOPAMINE HYDROCHLORIDE; EQUOL; GAMBOGE; IODINE; LYCOPODIUM CLAVATUM SPORE; OXYTOCIN; PANTOTHENIC ACID; PHOSPHORUS; QUININE SULFATE; SALMONELLA ENTERICA ENTERICA SEROVAR ENTERITIDIS; SEDUM ROSEUM ROOT; SEROTONIN HYDROCHLORIDE; SUS SCROFA ADRENAL CORTEX; SUS SCROFA STOMACH; THYROID,HUMAN OTC DRUG,10/26/2023,01/24/2029,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-2094-1)","Antimalarial [EPC], Catecholamine [EPC], Catecholamines [CS], Increased Uterine Smooth Muscle Contraction or Tone [PE], Oxytocic [EPC], Oxytocin [CS]",N/A,No,N/A
Appetite Control,43742-2144-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 6 [hp_X]/mL, 14 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 30 [hp_C]/mL, 34 [hp_C]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL",LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-2144,"Adenosinum Triphosphoricum Dinatrum, Adrenal Cortex (Suis), Bacopa Speciosa, Chininum Sulphuricum, Cina, Dopamine Hydrochloride, Equol, Gambogia, Iodium, Lycopodium Clavatum, Morgan Gaertner, Oxytocin, Pantothenic Acid, Phosphorus, Rhodiola, Serotonin (Hydrochloride), Stomach (Suis), Thyroidinum (Suis)",ADENOSINE TRIPHOSPHATE DISODIUM; ARTEMISIA CINA PRE-FLOWERING TOP; BACOPA MONNIERA LEAF; DOPAMINE HYDROCHLORIDE; EQUOL; GAMBOGE; IODINE; LYCOPODIUM CLAVATUM SPORE; OXYTOCIN; PANTOTHENIC ACID; PHOSPHORUS; QUININE SULFATE; SALMONELLA ENTERICA ENTERICA SEROVAR ENTERITIDIS; SEDUM ROSEUM ROOT; SEROTONIN HYDROCHLORIDE; SUS SCROFA ADRENAL CORTEX; SUS SCROFA STOMACH; THYROID,HUMAN OTC DRUG,03/12/2024,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-2144-1)","Antimalarial [EPC], Catecholamine [EPC], Catecholamines [CS], Increased Uterine Smooth Muscle Contraction or Tone [PE], Oxytocic [EPC], Oxytocin [CS]",N/A,No,12/31/2026
Aspartame/MSG Detox,43742-1252-1,"3 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 12 [hp_X]/mL, 12 [hp_X]/mL, 12 [hp_X]/mL, 12 [hp_X]/mL, 12 [hp_X]/mL, 12 [hp_X]/mL, 12 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL",LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-1252,"Chelidonium Majus, Arnica Montana, Phytolacca Decandra, Nitricum Acidum, Nux Vomica, Phosphoricum Acidum, Bisphenol A (BPA), Dextrose, Maltodextrin, Sucralose, Aspartic Acid, Diketopiperazine, Dopamine Hydrochloride, Formalinum, Formicum Acidum, L-Phenylalanine, Methyl Alcohol, Monosodium Glutamate","2,5-PIPERAZINEDIONE; ARNICA MONTANA WHOLE; ASPARTIC ACID; BISPHENOL A; CHELIDONIUM MAJUS WHOLE; DEXTROSE MONOHYDRATE; DOPAMINE HYDROCHLORIDE; FORMALDEHYDE; FORMIC ACID; MALTODEXTRIN; METHYL ALCOHOL; MONOSODIUM GLUTAMATE; NITRIC ACID; PHENYLALANINE; PHOSPHORIC ACID; PHYTOLACCA AMERICANA ROOT; STRYCHNOS NUX-VOMICA SEED; SUCRALOSE",HUMAN OTC DRUG,11/05/2018,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-1252-1)","Allergens [CS], Allergens [CS], Catecholamine [EPC], Catecholamines [CS], Cell-mediated Immunity [PE], Cell-mediated Immunity [PE], Increased Histamine Release [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Non-Standardized Plant Allergenic Extract [EPC], Plant Proteins [CS], Seed Storage Proteins [CS], Standardized Chemical Allergen [EPC]",N/A,No,12/31/2026
Bio Glyoxal Phase,43742-1257-1,"4 [hp_X]/mL, 4 [hp_X]/mL, 5 [hp_X]/mL, 5 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 7 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 10 [hp_X]/mL, 10 [hp_X]/mL, 10 [hp_X]/mL, 10 [hp_X]/mL, 10 [hp_X]/mL",LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-1257,"Arnica Montana, Baptisia Tinctoria, Echinacea (Angustifolia), Sanguinaria Canadensis, Eupatorium Perfoliatum, Euphorbium Officinarum, Dopamine Hydrochloride, Phytolacca Decandra, Aconitum Napellus, Argentum Nitricum, Arsenicum Album, Bryonia (Alba), Gelsemium Sempervirens, Mercurius Corrosivus, Phosphorus, Pulsatilla (Pratensis), Rhus Tox, Sulphur, Thuja Occidentalis, Cortisone Aceticum, Acetaldehyde, Formalinum, Hepar Sulphuris Calcareum, Lachesis Mutus, Zincum Metallicum",ACETALDEHYDE; ACONITUM NAPELLUS WHOLE; ARNICA MONTANA WHOLE; ARSENIC TRIOXIDE; BAPTISIA TINCTORIA ROOT; BRYONIA ALBA ROOT; CALCIUM SULFIDE; CORTISONE ACETATE; DOPAMINE HYDROCHLORIDE; ECHINACEA ANGUSTIFOLIA WHOLE; EUPATORIUM PERFOLIATUM FLOWERING TOP; EUPHORBIA RESINIFERA RESIN; FORMALDEHYDE; GELSEMIUM SEMPERVIRENS ROOT; LACHESIS MUTA VENOM; MERCURIC CHLORIDE; PHOSPHORUS; PHYTOLACCA AMERICANA ROOT; PULSATILLA PRATENSIS WHOLE; SANGUINARIA CANADENSIS ROOT; SILVER NITRATE; SULFUR; THUJA OCCIDENTALIS LEAFY TWIG; TOXICODENDRON PUBESCENS LEAF; ZINC,HUMAN OTC DRUG,06/07/2019,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-1257-1)","Allergens [CS], Catecholamine [EPC], Catecholamines [CS], Cell-mediated Immunity [PE], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Increased Histamine Release [PE], Standardized Chemical Allergen [EPC]",N/A,No,12/31/2026
Brain Support,62185-0051-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL",LIQUID,ORAL,,Dr. Donna Restivo DC,62185-0051,"Acetylcholine Chloride, Taurine, Adenosinum Cyclophosphoricum, Cerebrum (Suis), Diencephalon (Suis), Pineal Gland (Suis), Thalamus Opticus (Suis), Adrenalinum, Dopamine Hydrochloride, GABA (Gamma-Aminobutyric Acid), Norepinephrine (Bitartrate), Serotonin (Hydrochloride), Tyramine",.GAMMA.-AMINOBUTYRIC ACID; ACETYLCHOLINE CHLORIDE; ADENOSINE CYCLIC PHOSPHATE; DOPAMINE HYDROCHLORIDE; EPINEPHRINE; NOREPINEPHRINE BITARTRATE; SEROTONIN HYDROCHLORIDE; SUS SCROFA CEREBRUM; SUS SCROFA DIENCEPHALON; SUS SCROFA PINEAL GLAND; SUS SCROFA THALAMUS LATERAL GENICULATE NUCLEUS; TAURINE; TYRAMINE,HUMAN OTC DRUG,11/22/2019,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (62185-0051-1)","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Agonists [MoA], Catecholamine [EPC], Catecholamine [EPC], Catecholamine [EPC], Catecholamines [CS], Catecholamines [CS], Catecholamines [CS], Cholinergic Agonists [MoA], Cholinergic Receptor Agonist [EPC], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Cerebromax,43742-1486-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL, 8 [hp_X]/mL",LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-1486,"Acetylcholine Chloride, Taurine, Adenosinum Cyclophosphoricum, Cerebrum Suis, Diencephalon (Suis), Pineal Gland (Suis), Thalamus Opticus (Suis), Adrenalinum, Dopamine Hydrochloride, GABA (Gamma-Aminobutyric Acid), Norepinephrine (Bitartrate), Serotonin (Hydrochloride), Tyramine",.GAMMA.-AMINOBUTYRIC ACID; ACETYLCHOLINE CHLORIDE; ADENOSINE CYCLIC PHOSPHATE; DOPAMINE HYDROCHLORIDE; EPINEPHRINE; NOREPINEPHRINE BITARTRATE; SEROTONIN HYDROCHLORIDE; SUS SCROFA CEREBRUM; SUS SCROFA DIENCEPHALON; SUS SCROFA PINEAL GLAND; SUS SCROFA THALAMUS LATERAL GENICULATE NUCLEUS; TAURINE; TYRAMINE,HUMAN OTC DRUG,05/17/2019,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-1486-1)","Adrenergic alpha-Agonists [MoA], Adrenergic beta-Agonists [MoA], Catecholamine [EPC], Catecholamine [EPC], Catecholamine [EPC], Catecholamines [CS], Catecholamines [CS], Catecholamines [CS], Cholinergic Agonists [MoA], Cholinergic Receptor Agonist [EPC], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Dopamine,43742-1281-1,8 [hp_X]/mL,LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-1281,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN OTC DRUG,07/27/2018,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-1281-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine,43857-0279-1,6 [hp_X]/mL,LIQUID,ORAL,,"BioActive Nutritional, Inc.",43857-0279,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN OTC DRUG,06/12/2014,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43857-0279-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2027
Dopamine,43857-0412-1,6 [hp_X]/mL,LIQUID,ORAL,,BioActive Nutritional,43857-0412,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN OTC DRUG,08/16/2016,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43857-0412-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
