Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Lovenox,0075-0620-40,40 mg/.4mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-0620,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-0620-40) / 1 SYRINGE in 1 CELLO PACK (0075-0620-01) / .4 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-0621-60,60 mg/.6mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-0621,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-0621-60) / 1 SYRINGE in 1 CELLO PACK (0075-0621-01) / .6 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-0622-80,80 mg/.8mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-0622,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-0622-80) / 1 SYRINGE in 1 CELLO PACK (0075-0622-01) / .8 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-0623-00,100 mg/mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-0623,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-0623-00) / 1 SYRINGE in 1 CELLO PACK (0075-0623-03) / 1 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-0624-30,30 mg/.3mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-0624,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-0624-30) / 1 SYRINGE in 1 CELLO PACK (0075-0624-01) / .3 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-0626-03,300 mg/3mL,INJECTION,INTRAVENOUS; SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-0626,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,"1 VIAL, MULTI-DOSE in 1 CARTON (0075-0626-03) / 3 mL in 1 VIAL, MULTI-DOSE","Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-2912-01,120 mg/.8mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-2912,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-2912-01) / 1 SYRINGE in 1 CELLO PACK (0075-2912-00) / .8 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-2915-01,150 mg/mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-2915,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-2915-01) / 1 SYRINGE in 1 CELLO PACK (0075-2915-00) / 1 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-8013-10,30 mg/.3mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-8013,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-8013-10) / 1 SYRINGE in 1 CELLO PACK / .3 mL in 1 SYRINGE (0075-8013-01),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
Lovenox,0075-8014-10,40 mg/.4mL,INJECTION,SUBCUTANEOUS,NDA020164,Sanofi-Aventis U.S. LLC,0075-8014,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/29/1993,N/A,NDA,10 CELLO PACK in 1 CARTON (0075-8014-10) / 1 SYRINGE in 1 CELLO PACK / .4 mL in 1 SYRINGE (0075-8014-01),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2027
