Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Enoxaparin Sodium,0548-5601-00,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5601,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5601-00) / .3 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5602-00,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5602,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5602-00) / .4 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5603-00,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5603,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5603-00) / .6 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5604-00,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5604,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5604-00) / .8 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5605-00,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5605,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5605-00) / 1 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5606-00,150 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5606,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5606-00) / .8 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5607-00,150 mg/mL,INJECTION,SUBCUTANEOUS,ANDA076684,"Amphastar Pharmaceuticals, Inc.",0548-5607,Enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,09/19/2011,N/A,ANDA,10 SYRINGE in 1 CARTON (0548-5607-00) / 1 mL in 1 SYRINGE,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0548-5608-00,300 mg/3mL,INJECTION,INTRAVENOUS; SUBCUTANEOUS,ANDA208600,"Amphastar Pharmaceuticals, Inc.",0548-5608,enoxaparin sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,11/11/2019,N/A,ANDA,1 VIAL in 1 CARTON (0548-5608-00) / 3 mL in 1 VIAL,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0781-3238-63,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA077857,Sandoz Inc,0781-3238,Enoxaparin Sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/16/2021,N/A,ANDA,10 SYRINGE in 1 CARTON (0781-3238-63) / .3 mL in 1 SYRINGE (0781-3238-01),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0781-3246-64,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA077857,Sandoz Inc,0781-3246,Enoxaparin Sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/16/2021,N/A,ANDA,10 SYRINGE in 1 CARTON (0781-3246-64) / .4 mL in 1 SYRINGE (0781-3246-02),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0781-3256-66,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA077857,Sandoz Inc,0781-3256,Enoxaparin Sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/16/2021,N/A,ANDA,10 SYRINGE in 1 CARTON (0781-3256-66) / .6 mL in 1 SYRINGE (0781-3256-03),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0781-3262-68,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA077857,Sandoz Inc,0781-3262,Enoxaparin Sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/16/2021,N/A,ANDA,10 SYRINGE in 1 CARTON (0781-3262-68) / .8 mL in 1 SYRINGE (0781-3262-04),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
Enoxaparin Sodium,0781-3268-69,100 mg/mL,INJECTION,SUBCUTANEOUS,ANDA077857,Sandoz Inc,0781-3268,Enoxaparin Sodium,ENOXAPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/16/2021,N/A,ANDA,10 SYRINGE in 1 CARTON (0781-3268-69) / 1 mL in 1 SYRINGE (0781-3268-05),"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",N/A,No,12/31/2026
