Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Eptifibatide,0338-9558-10,75 mg/100mL,INJECTION,INTRAVENOUS,ANDA208554,Baxter Healthcare Company,0338-9558,Eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,02/01/2019,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0338-9558-10) / 100 mL in 1 VIAL, SINGLE-DOSE","Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2027
eptifibatide,25021-408-51,.75 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA204693,Sagent Pharmaceuticals,25021-408,eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,07/15/2018,N/A,ANDA,1 VIAL in 1 CARTON (25021-408-51) / 100 mL in 1 VIAL,"Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,52958-040-01,.75 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA213081,"Hainan Shuangcheng Pharmaceuticals Co., Ltd.",52958-040,Eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,04/21/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (52958-040-01) / 100 mL in 1 VIAL, SINGLE-DOSE","Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,52958-402-01,2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA213081,"Hainan Shuangcheng Pharmaceuticals Co., Ltd.",52958-402,Eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,09/07/2021,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (52958-402-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,55150-218-99,75 mg/100mL,INJECTION,INTRAVENOUS,ANDA206127,Eugia US LLC,55150-218,Eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,12/08/2015,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55150-218-99) / 100 mL in 1 VIAL, SINGLE-DOSE","Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,55150-219-10,20 mg/10mL,INJECTION,INTRAVENOUS,ANDA206127,Eugia US LLC,55150-219,Eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,12/08/2015,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55150-219-10) / 10 mL in 1 VIAL, SINGLE-DOSE","Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,55150-220-99,200 mg/100mL,INJECTION,INTRAVENOUS,ANDA206127,Eugia US LLC,55150-220,Eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,12/08/2015,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55150-220-99) / 100 mL in 1 VIAL, SINGLE-DOSE","Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,67457-629-10,2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA203258,Mylan Institutional LLC,67457-629,eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,10/01/2018,N/A,ANDA,1 VIAL in 1 CARTON (67457-629-10) / 10 mL in 1 VIAL,"Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,67457-630-10,2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA203258,Mylan Institutional LLC,67457-630,eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,10/01/2018,N/A,ANDA,1 VIAL in 1 CARTON (67457-630-10) / 100 mL in 1 VIAL,"Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
Eptifibatide,67457-631-10,.75 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA203258,Mylan Institutional LLC,67457-631,eptifibatide,EPTIFIBATIDE,HUMAN PRESCRIPTION DRUG,12/13/2018,N/A,ANDA,1 VIAL in 1 CARTON (67457-631-10) / 100 mL in 1 VIAL,"Decreased Platelet Aggregation [PE], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2026
