Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Heparin Sodium,0069-0043-01,1000 [USP'U]/mL,INJECTION,INTRAVENOUS; SUBCUTANEOUS,NDA201370,Pfizer Laboratories Div Pfizer Inc,0069-0043,Heparin Sodium,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,07/21/2011,N/A,NDA,25 VIAL in 1 CONTAINER (0069-0043-01) / 2 mL in 1 VIAL (0069-0043-02),"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2026
Heparin Sodium,0404-9872-01,5000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090808,"Henry Schein, Inc.",0404-9872,Heparin Sodium,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,01/11/2022,N/A,ANDA,1 VIAL in 1 BAG (0404-9872-01) / 1 mL in 1 VIAL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0404-9979-01,1000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,NDA017029,"Henry Schein, Inc.",0404-9979,heparin sodium,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,01/17/2022,N/A,NDA,"1 VIAL, MULTI-DOSE in 1 BAG (0404-9979-01) / 1 mL in 1 VIAL, MULTI-DOSE","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2026
Heparin Sodium,0409-0012-30,5000 [USP'U]/100mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA018916,"Hospira, Inc.",0409-0012,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/27/2023,N/A,NDA,30 POUCH in 1 CASE (0409-0012-30) / 1 BAG in 1 POUCH / 250 mL in 1 BAG (0409-0012-02),"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-1005-20,200 [USP'U]/100mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA018916,"Hospira, Inc.",0409-1005,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/27/2023,N/A,NDA,20 POUCH in 1 CASE (0409-1005-20) / 1 BAG in 1 POUCH / 500 mL in 1 BAG (0409-1005-01),"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-1316-32,10000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA089522,"Hospira, Inc.",0409-1316,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,03/31/2005,N/A,ANDA,50 CARTRIDGE in 1 CONTAINER (0409-1316-32) / .5 mL in 1 CARTRIDGE (0409-1316-11),"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2222-12,200 [USP'U]/100mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA018916,"Hospira, Inc.",0409-2222,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,02/27/2023,N/A,NDA,12 POUCH in 1 CASE (0409-2222-12) / 1 BAG in 1 POUCH / 1000 mL in 1 BAG (0409-2222-01),"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2720-01,1000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090571,"Hospira, Inc.",0409-2720,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,08/31/2009,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 TRAY (0409-2720-01) / 1 mL in 1 VIAL, SINGLE-DOSE (0409-2720-30)","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2720-02,1000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090571,"Hospira, Inc.",0409-2720,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,08/31/2009,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 TRAY (0409-2720-02) / 10 mL in 1 VIAL, MULTI-DOSE (0409-2720-31)","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2720-03,1000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090571,"Hospira, Inc.",0409-2720,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,08/31/2009,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 TRAY (0409-2720-03) / 30 mL in 1 VIAL, MULTI-DOSE (0409-2720-32)","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2721-01,10000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090571,"Hospira, Inc.",0409-2721,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,08/31/2009,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 TRAY (0409-2721-01) / 1 mL in 1 VIAL, SINGLE-DOSE (0409-2721-30)","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2723-01,5000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090571,"Hospira, Inc.",0409-2723,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,08/31/2009,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 TRAY (0409-2723-01) / 1 mL in 1 VIAL, SINGLE-DOSE (0409-2723-30)","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
Heparin Sodium,0409-2723-02,5000 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,ANDA090571,"Hospira, Inc.",0409-2723,HEPARIN SODIUM,HEPARIN SODIUM,HUMAN PRESCRIPTION DRUG,08/31/2009,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 TRAY (0409-2723-02) / 10 mL in 1 VIAL, MULTI-DOSE (0409-2723-31)","Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",N/A,No,12/31/2027
