Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Basic Dental Emergency Kit,83220-002-08,,KIT,,,Best Dental Kit LLC,83220-002,"Epinephrine, Albuterol Sulfate, Nitroglycerin, Diphenhydramine Hydrochloride, Aspirin",,HUMAN PRESCRIPTION DRUG,01/30/2023,N/A,UNAPPROVED DRUG OTHER,"1 KIT in 1 KIT (83220-002-08) * 1 mL in 1 VIAL * 10 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC * 1 POUCH in 1 BLISTER PACK / 2 TABLET in 1 POUCH * 1 SYRINGE, GLASS in 1 CASE / .3 mL in 1 SYRINGE, GLASS * 25 TABLET in 1 BOTTLE * 1 CANISTER in 1 CARTON / 200 AEROSOL, METERED in 1 CANISTER",N/A,N/A,No,12/31/2026
Cyclease Menopause,0220-9082-04,"4 [hp_C]/1, 4 [hp_C]/1, 5 [hp_C]/1, 4 [hp_C]/1, 4 [hp_C]/1",TABLET,ORAL,,Boiron,0220-9082,"ARNICA MONTANA WHOLE, BLACK COHOSH, NITROGLYCERIN, LACHESIS MUTA VENOM, SANGUINARIA CANADENSIS ROOT",ARNICA MONTANA WHOLE; BLACK COHOSH; LACHESIS MUTA VENOM; NITROGLYCERIN; SANGUINARIA CANADENSIS ROOT,HUMAN OTC DRUG,04/01/2020,N/A,UNAPPROVED HOMEOPATHIC,60 BLISTER PACK in 1 CARTON (0220-9082-04) / 60 TABLET in 1 BLISTER PACK,"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",N/A,No,12/31/2026
D-112,58264-0118-1,"12 [hp_X]/mL, 8 [hp_X]/mL, 4 [hp_X]/mL, 4 [hp_X]/mL, 4 [hp_X]/mL, 8 [hp_X]/mL, 6 [hp_X]/mL, 8 [hp_X]/mL, 4 [hp_X]/mL, 4 [hp_X]/mL, 6 [hp_X]/mL, 4 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0118,"Lachesis Muta venom, Silicon dioxide, Sodium chloride, Ranunculus bulbosus, Aconitum napellus, Activated charcoal, Nitroglycerin, Oyster shell calcium carbonate, crude, Anemone pratensis, Plantago major, arsenic trioxide, and Magnesium phosphate, dibasic trihydrate","ACONITUM NAPELLUS; ACTIVATED CHARCOAL; ANEMONE PRATENSIS; ARSENIC TRIOXIDE; LACHESIS MUTA VENOM; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; NITROGLYCERIN; OYSTER SHELL CALCIUM CARBONATE, CRUDE; PLANTAGO MAJOR; RANUNCULUS BULBOSUS; SILICON DIOXIDE; SODIUM CHLORIDE",HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0118-1)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Nitrate Vasodilator [EPC], Nitrates [CS], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Vasodilation [PE]",N/A,No,12/31/2026
D-12,58264-0012-1,"3 [hp_X]/mL, 3 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 5 [hp_X]/mL, 5 [hp_X]/mL, 3 [hp_X]/mL, 5 [hp_X]/mL, 6 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0012,"POTASSIUM IODIDE, CALCIUM IODIDE, ARSENIC TRIIODIDE, BARIUM CHLORIDE DIHYDRATE, NITROGLYCERIN, conium maculatum flowering top, Arnica montana, Phosphorus, and GOLD TRICHLORIDE",ARNICA MONTANA; ARSENIC TRIIODIDE; BARIUM CHLORIDE DIHYDRATE; CALCIUM IODIDE; CONIUM MACULATUM FLOWERING TOP; GOLD TRICHLORIDE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM IODIDE,HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0012-1)","Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Vasodilation [PE]",N/A,No,12/31/2026
D-47,58264-0047-1,"12 [hp_X]/mL, 30 [hp_X]/mL, 12 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 12 [hp_X]/mL, 30 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0047,"FERULA ASSA-FOETIDA RESIN, ARABICA COFFEE BEAN, NITROGLYCERIN, STRYCHNOS IGNATII SEED, LACHESIS MUTA VENOM, MOSCHUS MOSCHIFERUS MUSK SAC RESIN, and ANEMONE PRATENSIS",ANEMONE PRATENSIS; ARABICA COFFEE BEAN; FERULA ASSA-FOETIDA RESIN; LACHESIS MUTA VENOM; MOSCHUS MOSCHIFERUS MUSK SAC RESIN; NITROGLYCERIN; STRYCHNOS IGNATII SEED,HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0047-1)","Allergens [CS], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Plant Proteins [CS], Seed Storage Proteins [CS], Vasodilation [PE]",N/A,No,12/31/2026
D-99,58264-0105-1,"6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 21 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 6 [hp_X]/mL, 2 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0105,"atropa belladonna, nitroglycerin, lactic acid, unspecified form, scrophularia nodosa, aloe, radium bromide, potassium iodide, sus scrofa bone marrow, zinc, and citric acid monohydrate","ALOE; ATROPA BELLADONNA; CITRIC ACID MONOHYDRATE; LACTIC ACID, UNSPECIFIED FORM; NITROGLYCERIN; POTASSIUM IODIDE; RADIUM BROMIDE; SCROPHULARIA NODOSA; SUS SCROFA BONE MARROW; ZINC",HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0105-1)","Acidifying Activity [MoA], Acidifying Activity [MoA], Anti-coagulant [EPC], Calcium Chelating Activity [MoA], Calculi Dissolution Agent [EPC], Decreased Coagulation Factor Activity [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",N/A,No,12/31/2026
Deluxe Dental Emergency Kit,83220-001-11,,KIT,,,Best Dental Kit LLC,83220-001,"Epinephrine, Albuterol Sulfate, Nitroglycerin, Diphenhydramine Hydrochloride, Aspirin",,HUMAN PRESCRIPTION DRUG,01/30/2023,N/A,UNAPPROVED DRUG OTHER,"1 KIT in 1 KIT (83220-001-11) * 1 POUCH in 1 BLISTER PACK / 2 TABLET in 1 POUCH * 1 SYRINGE, GLASS in 1 CASE / .3 mL in 1 SYRINGE, GLASS * 10 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC * 1 BOTTLE in 1 CARTON / 118 mL in 1 BOTTLE * 1 SYRINGE, GLASS in 1 CASE / .15 mL in 1 SYRINGE, GLASS * 1 mL in 1 VIAL * 25 TABLET in 1 BOTTLE * 1 CANISTER in 1 CARTON / 200 AEROSOL, METERED in 1 CANISTER",N/A,N/A,No,12/31/2026
GLAUTARAKT,59469-131-10,"6 [hp_X]/50mL, 3 [hp_X]/50mL, 2 [hp_X]/50mL, 6 [hp_X]/50mL, 8 [hp_X]/50mL, 6 [hp_X]/50mL, 6 [hp_X]/50mL, 8 [hp_X]/50mL",SOLUTION/ DROPS,ORAL,,PEKANA Naturheilmittel GmbH,59469-131,"Gold Trichloride, Solanum dulcamara Top, Euphrasia Stricta, Nitroglycerin, Hedera helix Flowering Twig, Ruta graveolens Flowering Top, Tobacco Leaf, and Cynara scolymus Whole",CYNARA SCOLYMUS WHOLE; EUPHRASIA STRICTA; GOLD TRICHLORIDE; HEDERA HELIX FLOWERING TWIG; NITROGLYCERIN; RUTA GRAVEOLENS FLOWERING TOP; SOLANUM DULCAMARA TOP; TOBACCO LEAF,HUMAN OTC DRUG,12/11/2008,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, GLASS in 1 BOX (59469-131-10) / 50 mL in 1 BOTTLE, GLASS","Allergens [CS], Cell-mediated Immunity [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Plant Allergenic Extract [EPC], Plant Proteins [CS], Vasodilation [PE]",N/A,No,12/31/2026
Glonoinum,0220-2279-41,200 [kp_C]/200[kp_C],PELLET,ORAL,,Boiron,0220-2279,NITROGLYCERIN,NITROGLYCERIN,HUMAN OTC DRUG,03/03/1983,N/A,UNAPPROVED HOMEOPATHIC,200 [kp_C] in 1 TUBE (0220-2279-41),"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",N/A,No,12/31/2026
Glonoinum,0220-2282-41,15 [hp_C]/15[hp_C],PELLET,ORAL,,Boiron,0220-2282,NITROGLYCERIN,NITROGLYCERIN,HUMAN OTC DRUG,03/03/1983,N/A,UNAPPROVED HOMEOPATHIC,15 [hp_C] in 1 TUBE (0220-2282-41),"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",N/A,No,12/31/2026
