Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
LEVOPHED,0409-0161-10,1 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA007513,"Hospira, Inc.",0409-0161,NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,03/11/2024,N/A,NDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0409-0161-10) / 4 mL in 1 VIAL, SINGLE-DOSE (0409-0161-01)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
LEVOPHED,0409-3375-04,1 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA007513,"Hospira, Inc.",0409-3375,NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,04/27/2009,N/A,NDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0409-3375-04) / 4 mL in 1 VIAL, SINGLE-DOSE (0409-3375-14)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
LEVOPHED(R) NOREPINEPHRINE BITARTRATE,51662-1315-3,1 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA007513,"HF Acquisition Co LLC, DBA HealthFirst",51662-1315,LEVOPHED(R) NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,09/26/2020,N/A,NDA,10 POUCH in 1 CASE (51662-1315-3) / 1 mL in 1 POUCH (51662-1315-2),"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
LEVOPHED(R) NOREPINEPHRINE BITARTRATE,51662-1315-1,1 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA007513,"HF Acquisition Co LLC, DBA HealthFirst",51662-1315,LEVOPHED(R) NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,10/18/2018,N/A,NDA,"4 mL in 1 VIAL, SINGLE-DOSE (51662-1315-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Norepinephrine,81298-9655-3,32 ug/mL,SOLUTION,INTRAVENOUS,NDA214628,"Long Grove Pharmaceuticals, LLC",81298-9655,Norepinephrine Bitartrate,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,02/02/2024,N/A,NDA,10 POUCH in 1 BOX (81298-9655-3) / 1 BAG in 1 POUCH (81298-9655-1) / 250 mL in 1 BAG,"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Norepinephrine,81298-9658-3,64 ug/mL,SOLUTION,INTRAVENOUS,NDA214628,"Long Grove Pharmaceuticals, LLC",81298-9658,Norepinephrine Bitartrate,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,02/02/2024,N/A,NDA,10 POUCH in 1 BOX (81298-9658-3) / 1 BAG in 1 POUCH (81298-9658-1) / 250 mL in 1 BAG,"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Norepinephrine,81298-9659-3,16 ug/mL,SOLUTION,INTRAVENOUS,NDA214628,"Long Grove Pharmaceuticals, LLC",81298-9659,Norepinephrine Bitartrate,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,02/02/2024,N/A,NDA,10 POUCH in 1 BOX (81298-9659-3) / 1 BAG in 1 POUCH (81298-9659-1) / 250 mL in 1 BAG,"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Norepinephrine Bitartrate,0143-9318-10,1 mg/mL,INJECTION,INTRAVENOUS,ANDA203662,Hikma Pharmaceuticals USA Inc.,0143-9318,Norepinephrine Bitartrate,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,08/01/2018,N/A,ANDA,10 VIAL in 1 CARTON (0143-9318-10) / 4 mL in 1 VIAL (0143-9318-01),"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
NOREPINEPHRINE BITARTRATE,0338-0040-20,4 mg/250mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA214313,Baxter Healthcare Corporation,0338-0040,norepinephrine bitartrate,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,02/06/2026,N/A,NDA,20 BAG in 1 CARTON (0338-0040-20) / 250 mL in 1 BAG,"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2027
NOREPINEPHRINE BITARTRATE,0338-0042-20,8 mg/250mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA214313,Baxter Healthcare Corporation,0338-0042,norepinephrine bitartrate,NOREPINEPHRINE BITARTRATE,HUMAN PRESCRIPTION DRUG,02/06/2026,N/A,NDA,20 BAG in 1 CARTON (0338-0042-20) / 250 mL in 1 BAG,"Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2027
