Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Xarelto,50090-3625-0,10 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,A-S Medication Solutions,50090-3625,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,10/06/2018,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-3625-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Xarelto,50090-3625-1,10 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,A-S Medication Solutions,50090-3625,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,05/15/2024,N/A,NDA,"12 TABLET, FILM COATED in 1 BOTTLE (50090-3625-1)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
XARELTO,50090-3639-0,20 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,A-S Medication Solutions,50090-3639,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,10/08/2018,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-3639-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Xarelto,50090-4468-0,20 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,A-S Medication Solutions,50090-4468,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,08/16/2019,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-4468-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Xarelto,50090-4469-0,10 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,A-S Medication Solutions,50090-4469,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,08/16/2019,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-4469-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
Xarelto,50458-575-01,155 mg/1,"GRANULE, FOR SUSPENSION",ORAL,NDA215859,"Janssen Pharmaceuticals, Inc.",50458-575,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,12/01/2021,N/A,NDA,"1 BOTTLE in 1 CARTON (50458-575-01) / 1 GRANULE, FOR SUSPENSION in 1 BOTTLE","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
XARELTO,50458-577-60,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-577,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,10/09/2018,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (50458-577-60)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
XARELTO,50458-577-14,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-577,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,10/09/2018,N/A,NDA,"14 TABLET, FILM COATED in 1 BOTTLE (50458-577-14)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,Yes,12/31/2027
XARELTO,50458-577-10,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-577,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,10/09/2018,N/A,NDA,"10 BLISTER PACK in 1 BOX, UNIT-DOSE (50458-577-10) / 10 TABLET, FILM COATED in 1 BLISTER PACK (50458-577-01)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
XARELTO,50458-577-18,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-577,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,10/09/2018,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (50458-577-18)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
Xarelto,50458-578-07,15 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-578,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,09/20/2016,N/A,NDA,"7 TABLET, FILM COATED in 1 BOTTLE (50458-578-07)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,Yes,12/31/2027
Xarelto,50458-578-30,15 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-578,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,11/04/2011,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (50458-578-30)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
Xarelto,50458-578-10,15 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-578,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,11/04/2011,N/A,NDA,"10 BLISTER PACK in 1 CARTON (50458-578-10) / 10 TABLET, FILM COATED in 1 BLISTER PACK (50458-578-01)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
Xarelto,50458-578-90,15 mg/1,"TABLET, FILM COATED",ORAL,NDA022406,"Janssen Pharmaceuticals, Inc.",50458-578,rivaroxaban,RIVAROXABAN,HUMAN PRESCRIPTION DRUG,11/04/2011,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50458-578-90)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
