Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
NIPRIDE RTU,51754-1006-1,.5 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA209387,"EXELA PHARMA SCIENCES, LLC",51754-1006,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,03/20/2017,N/A,NDA,1 VIAL in 1 VIAL (51754-1006-1) / 100 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
NIPRIDE RTU,51754-1029-1,.2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA209387,"EXELA PHARMA SCIENCES, LLC",51754-1029,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,07/20/2018,N/A,NDA,1 VIAL in 1 CARTON (51754-1029-1) / 100 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
sodium nitroprusside,14335-131-01,50 mg/2mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA214199,"Hainan Poly Pharm. Co., Ltd.",14335-131,sodium nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,08/13/2024,N/A,ANDA,1 VIAL in 1 CARTON (14335-131-01) / 2 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,14335-132-01,.2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA215846,"Hainan Poly Pharm. Co., Ltd.",14335-132,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/31/2022,N/A,ANDA,1 VIAL in 1 CARTON (14335-132-01) / 50 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,14335-133-01,.2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA215846,"Hainan Poly Pharm. Co., Ltd.",14335-133,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/31/2022,N/A,ANDA,1 VIAL in 1 CARTON (14335-133-01) / 100 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,14335-134-01,.5 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA215846,"Hainan Poly Pharm. Co., Ltd.",14335-134,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/31/2022,N/A,ANDA,1 VIAL in 1 CARTON (14335-134-01) / 100 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
SODIUM NITROPRUSSIDE,42571-265-75,50 mg/2mL,INJECTION,INTRAVENOUS,ANDA209352,Micro Labs Limited,42571-265,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/30/2017,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (42571-265-75) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2027
Sodium Nitroprusside,43598-587-23,50 mg/2mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA210114,"Dr.Reddy's Laboratories Inc.,",43598-587,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/17/2019,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (43598-587-23) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
SODIUM NITROPRUSSIDE,55150-320-01,50 mg/2mL,INJECTION,INTRAVENOUS,ANDA211934,AuroMedics Pharma LLC,55150-320,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/10/2020,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55150-320-01) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,65145-101-01,50 mg/2mL,INJECTION,INTRAVENOUS,ANDA211016,Caplin Steriles Limited,65145-101,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,10/29/2025,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (65145-101-01) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium nitroprusside,67457-839-02,25 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA210763,Mylan Institutional LLC,67457-839,Sodium nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,08/10/2018,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (67457-839-02) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2027
Sodium nitroprusside,67457-999-02,25 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA210763,Mylan Institutional LLC,67457-999,Sodium nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,10/05/2020,08/31/2027,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (67457-999-02) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,N/A
Sodium Nitroprusside,70069-261-01,25 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA210882,"Somerset Therapeutics, LLC",70069-261,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,08/17/2018,N/A,ANDA,1 VIAL in 1 CARTON (70069-261-01) / 2 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2027
Sodium nitroprusside,70121-1189-1,25 mg/mL,INJECTION,INTRAVENOUS,ANDA209493,Amneal Pharmaceuticals LLC,70121-1189,Sodium nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,11/07/2017,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (70121-1189-1) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
sodium nitroprusside,70436-028-80,50 mg/2mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA214199,"Slate Run Pharmaceuticals, LLC",70436-028,sodium nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,10/15/2020,N/A,ANDA,1 VIAL in 1 CARTON (70436-028-80) / 2 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,71288-202-02,50 mg/2mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA211016,Meitheal Pharmaceuticals Inc.,71288-202,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/06/2019,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (71288-202-02) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,71839-120-01,50 mg/2mL,INJECTION,INTRAVENOUS,ANDA214971,BE Pharmaceuticals Inc.,71839-120,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,07/12/2021,N/A,ANDA,1 VIAL in 1 CARTON (71839-120-01) / 2 mL in 1 VIAL,"Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
SODIUM NITROPRUSSIDE,72485-105-01,50 mg/2mL,INJECTION,INTRAVENOUS,ANDA209352,Armas Pharmaceuticals Inc.,72485-105,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,03/27/2020,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (72485-105-01) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
Sodium Nitroprusside,75907-290-11,50 mg/2mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA210114,"Dr.Reddy's Laboratories Inc.,",75907-290,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/01/2025,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (75907-290-11) / 2 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
sodium nitroprusside in 0.9% sodium chloride,70436-205-80,.2 mg/mL,INJECTION,INTRAVENOUS,ANDA215846,"Slate Run Pharmaceuticals, LLC",70436-205,sodium nitroprusside in 0.9% sodium chloride,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/31/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (70436-205-80) / 50 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
sodium nitroprusside in 0.9% sodium chloride,70436-206-80,.2 mg/mL,INJECTION,INTRAVENOUS,ANDA215846,"Slate Run Pharmaceuticals, LLC",70436-206,sodium nitroprusside in 0.9% sodium chloride,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/31/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (70436-206-80) / 100 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
sodium nitroprusside in 0.9% sodium chloride,70436-207-80,.5 mg/mL,INJECTION,INTRAVENOUS,ANDA215846,"Slate Run Pharmaceuticals, LLC",70436-207,sodium nitroprusside in 0.9% sodium chloride,SODIUM NITROPRUSSIDE,HUMAN PRESCRIPTION DRUG,12/31/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (70436-207-80) / 100 mL in 1 VIAL, SINGLE-DOSE","Vasodilation [PE], Vasodilator [EPC]",N/A,No,12/31/2026
