Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
VERQUVO,0006-5028-04,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5028,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"10 BLISTER PACK in 1 CARTON (0006-5028-04) / 10 TABLET, FILM COATED in 1 BLISTER PACK (0006-5028-03)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5028-06,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5028,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,04/01/2023,N/A,NDA,"1 BOTTLE in 1 CARTON (0006-5028-06) / 14 TABLET, FILM COATED in 1 BOTTLE (0006-5028-05)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,Yes,12/31/2027
VERQUVO,0006-5028-01,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5028,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"14 TABLET, FILM COATED in 1 BOTTLE (0006-5028-01)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5028-02,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5028,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-5028-02)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5029-02,5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5029,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-5029-02)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5029-06,5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5029,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"1 BOTTLE in 1 CARTON (0006-5029-06) / 14 TABLET, FILM COATED in 1 BOTTLE (0006-5029-05)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,Yes,12/31/2027
VERQUVO,0006-5029-04,5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5029,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"10 BLISTER PACK in 1 CARTON (0006-5029-04) / 10 TABLET, FILM COATED in 1 BLISTER PACK (0006-5029-03)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5029-01,5 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5029,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"14 TABLET, FILM COATED in 1 BOTTLE (0006-5029-01)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5030-01,10 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5030,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-5030-01)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5030-02,10 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5030,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (0006-5030-02)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
VERQUVO,0006-5030-04,10 mg/1,"TABLET, FILM COATED",ORAL,NDA214377,Merck Sharp & Dohme LLC,0006-5030,vericiguat,VERICIGUAT,HUMAN PRESCRIPTION DRUG,02/01/2021,N/A,NDA,"10 BLISTER PACK in 1 CARTON (0006-5030-04) / 10 TABLET, FILM COATED in 1 BLISTER PACK (0006-5030-03)","Guanylate Cyclase Stimulators [MoA], Soluble Guanylate Cyclase Stimulator [EPC]",N/A,No,12/31/2027
